Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Sika Interplant,523606,SIKA,INE438E01032,Aerospace & Defense,Aerospace & Defense,1028.50,62.85,2180.54,0.32,8.40,-18.84,42.86,-36.98,34.56,0.45,9.68,16.61,202606.00,16.35,3.96,60.21,60.21,52.12
Silver Touch,543525,SILVERTUC,INE625X01026,IT - Software,Computers - Software & Consulting,151.65,46.15,1923.10,0.07,10.00,147.28,78.02,23.45,29.78,20.90,81.93,65.12,202606.00,3.28,0.79,55.71,55.63,27.82
Simplex Castings,513472,,INE658D01029,Industrial Products,Other Industrial Products,120.00,20.43,492.00,0.00,6.86,44.73,60.95,34.85,24.28,15.32,30.61,12.83,202606.00,5.84,1.67,58.22,74.24,20.07
Skipper,538562,SKIPPER,INE439E01022,Electrical Equipment,Heavy Electrical Equipment,533.40,26.55,6024.09,0.02,56.47,26.44,1309.83,4.46,23.52,17.18,42.72,23.50,202606.00,19.41,5.00,88.10,88.12,41.01
Sky Gold & Diam.,541967,SKYGOLD,INE01IU01018,Consumer Durables,"Gems, Jewellery And Watches",796.55,36.88,12336.41,0.00,104.90,136.94,2012.79,77.93,27.02,81.40,116.13,125.50,202606.00,21.63,6.67,117.29,145.49,76.05
Solarworld Ene.,544532,SOLARWORLD,INE0TY101024,Construction,Civil Construction,133.90,9.86,1160.56,0.00,9.50,-26.41,168.42,146.81,23.80,150.04,34.09,35.36,202606.00,13.51,1.10,-68.94,100.98,80.90
South West Pinn.,543986,SOUTHWEST,INE980Y01015,Commercial Services & Supplies,Diversified Commercial Services,201.00,16.40,656.26,0.00,9.34,289.17,61.68,53.36,20.02,39.23,135.81,100.03,202606.00,13.40,3.13,51.02,54.42,25.06
SPARC,532872,SPARC,INE232I01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,189.15,3.79,6138.35,0.00,-20.98,59.68,39.92,314.11,164.99,2855.80,631.12,668.01,202606.00,48.79,-0.65,108.25,108.25,98.91
Spectrum Electr.,544386,SPECTRUM,INE01EO01010,Industrial Manufacturing,Industrial Products,3173.60,99.75,4986.96,0.00,13.29,118.23,155.88,84.36,17.69,40.95,83.82,61.47,202606.00,31.82,8.46,69.75,71.94,25.81
Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",212.00,40.32,10360.89,0.22,45.72,77.51,132.35,115.83,21.15,71.31,20.65,12.64,202606.00,5.26,0.93,,124.41,65.85
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,421.20,8.19,966.40,0.00,19.71,54.59,196.26,37.82,37.14,75.33,86.75,102.18,202606.00,51.42,8.59,63.20,81.27,50.59
Sugs Lloyd,544501,,INE0XX801016,Electrical Equipment,Other Electrical Equipment,283.75,21.65,658.67,0.00,7.50,29.53,78.40,31.96,29.04,71.64,71.59,68.73,202606.00,13.10,3.23,21.49,133.97,103.30
Sunlite Recycli.,,SUNLITE,INE0U2N01013,Industrial Products,"Aluminium, Copper & Zinc Products",647.00,22.24,893.23,0.00,25.80,257.84,1642.41,116.13,46.52,97.95,183.35,150.55,202603.00,29.08,18.69,-36.20,92.83,33.95
Sunshine Picture,544881,SUNSHINE,INE1B3O01011,Entertainment,"Film Production, Distribution & Exhibition",364.85,28.62,1136.45,0.00,,,,,40.96,-27.96,12.83,16.70,202603.00,15.19,,-53.64,165.29,41.08
Sunteck Realty,512179,SUNTECK,INE805D01034,Realty,"Residential, Commercial Projects",277.00,19.05,4067.51,0.51,41.96,26.47,191.56,1.72,7.48,55.42,32.46,59.85,202606.00,14.54,2.88,422.03,422.46,45.82
Swaraj Suiting,544861,SWARAJ,INE0GMR01016,Textiles & Apparels,Other Textile Products,318.60,13.77,841.69,0.00,16.42,83.26,183.37,138.83,17.92,38.45,60.62,52.34,202606.00,24.69,6.22,73.25,111.80,38.06
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,18.75,20.79,1762.50,0.50,24.59,56.62,124.66,6.96,26.84,0.24,49.06,45.95,202606.00,0.90,0.26,56.22,56.22,29.91
T R I L,532928,TARIL,INE763I01026,Electrical Equipment,Heavy Electrical Equipment,279.15,32.37,8379.15,0.09,64.29,-8.66,572.34,8.13,23.31,14.60,-0.16,3.98,202606.00,8.61,2.05,79.01,86.58,21.56
Tara Chand Infra,,TARACHAND,INE555Z01020,Commercial Services & Supplies,Diversified Commercial Services,47.73,16.21,376.23,0.43,1.68,-70.39,67.63,10.74,18.25,10.71,-13.41,17.65,202606.00,2.91,0.21,55.25,62.92,26.43
Teamtech Formwork,,TEAMTECH,INE2OL601013,Other Construction Materials,Other Construction Materials,126.00,32.58,377.70,0.00,7.33,,31.74,,41.17,62.49,47.83,89.41,202603.00,5.26,14.32,-22.98,57.79,38.37
TechD Cybersec.,,TECHD,INE0Y5H01014,IT - Services,IT Enabled Services,572.00,30.46,427.83,0.00,7.67,149.84,33.63,98.76,40.88,73.86,67.14,57.84,202603.00,18.77,10.25,-72.87,146.27,89.95
Technocrats Plasma,544877,,INE19QK01022,Industrial Products,Other Industrial Products,388.20,45.49,679.35,0.00,3.55,,30.68,,66.98,166.03,84.22,197.85,202603.00,11.60,20.88,-50.93,114.68,208.78
Thangamayil Jew.,533158,THANGAMAYL,INE085J01014,Consumer Durables,"Gems, Jewellery And Watches",4953.75,39.19,15397.27,0.35,85.09,86.15,2666.38,71.16,25.49,83.21,264.16,189.38,202606.00,125.81,27.38,64.12,64.26,39.18
Thomas Scott,533941,THOMASCOTT,INE480M01011,Textiles & Apparels,Garments & Apparels,231.00,15.46,343.15,0.00,5.44,57.64,65.82,22.14,20.54,42.24,64.78,59.02,202606.00,14.42,3.71,44.71,91.23,60.08
TIPCO Engineering,544740,,INE1U6D01014,Industrial Manufacturing,Industrial Products,263.05,21.60,546.29,0.00,16.73,156.99,94.97,65.51,36.23,9.12,63.29,59.86,202603.00,12.19,8.06,-83.18,114.63,59.25
