Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Deepa Jewellers,544903,DEEPA,INE1M2N01020,Consumer Durables,"Gems, Jewellery And Watches",171.90,15.75,1652.45,0.00,48.61,,812.19,,51.56,37.91,158.23,161.30,202603.00,12.78,118.56,-38.03,68.20,27.88
Delton Cables,504240,,INE872E01016,Electrical Equipment,Other Electrical Equipment,731.00,33.04,631.62,0.27,7.59,146.43,286.36,83.18,16.55,54.60,36.27,49.50,202606.00,22.26,8.78,193.63,193.63,53.61
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,336.60,18.33,23304.33,0.00,380.29,102.64,1555.52,51.34,44.83,84.07,140.80,92.10,202606.00,18.98,5.49,23.55,394.58,101.40
Entero Healthcar,544122,ENTERO,INE010601016,Retailing,Pharmacy Retail,1803.50,60.85,7849.41,0.00,52.05,37.27,1940.50,38.23,10.47,31.94,25.84,63.44,202606.00,28.82,8.77,43.71,130.48,25.93
Enviro Infra,544290,EIEL,INE0LLY01014,Other Utilities,Water Supply & Management,198.40,19.03,3482.52,0.00,45.22,-12.52,359.18,49.09,20.18,15.49,-3.82,5.52,202606.00,10.30,2.27,-20.84,50.36,50.20
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,226.90,24.09,2283.28,0.00,18.17,13.35,365.84,23.87,21.71,37.53,52.62,35.54,202606.00,9.43,1.81,-46.82,57.46,32.43
Fedders Holding,511628,FEDDERSHOL,INE417D01020,Finance,Non Banking Financial Company (NBFC),49.20,12.99,990.99,0.00,10.82,-22.20,68.88,-11.01,11.19,-6.75,168.05,-267.99,202606.00,4.25,0.54,-9.79,61.65,37.71
Felix Industries,,FELIX,INE901X01013,Other Utilities,Water Supply & Management,204.00,17.45,351.00,0.00,5.51,53.66,28.22,36.86,19.28,122.11,79.64,137.94,202606.00,11.69,3.30,66.18,149.35,74.07
Fischer Medical,524743,FISCHER,INE771F01041,Healthcare Equipment & Supplies,Medical Equipment & Supplies,34.37,98.10,2401.37,0.14,3.79,-22.02,81.92,249.49,11.38,195.82,286.12,514.25,202606.00,0.38,0.06,58.93,819.53,1096.83
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,17285.95,20.69,22776.44,0.28,216.59,22.82,2440.01,6.21,36.05,8.44,82.00,27.39,202606.00,950.08,164.36,209.44,209.44,21.67
Freshara Agro,,FRESHARA,INE0SFW01015,Food Products,Other Food Products,460.75,29.89,1082.72,0.00,21.31,22.40,179.16,18.92,20.92,25.09,27.04,30.96,202603.00,15.41,9.07,,58.59,35.51
FSN E-Commerce,543384,NYKAA,INE388Y01029,Retailing,E-Retail/ E-Commerce,339.45,365.17,97228.58,0.00,79.76,243.10,2782.00,29.10,17.23,27.41,233.75,63.50,202606.00,0.89,0.28,121.25,121.53,24.90
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,421.90,30.96,12948.13,0.00,57.80,168.56,1345.69,125.28,35.14,94.97,131.34,122.44,202606.00,9.80,1.88,-17.62,132.40,58.74
Garden Reach Sh.,542011,GRSE,INE382Z01011,Aerospace & Defense,Aerospace & Defense,2360.00,33.76,27034.27,0.54,172.84,43.82,1814.62,38.53,42.82,39.64,42.86,74.68,202606.00,69.89,15.09,50.20,50.20,39.83
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4252.85,80.63,108894.22,0.22,362.99,24.65,1836.14,38.04,77.44,43.91,76.51,71.55,202606.00,50.97,14.18,489.90,489.90,30.80
GK Energy,544525,GKENERGY,INE1AG301022,Construction,Civil Construction,124.65,11.28,2528.12,0.39,59.67,61.53,505.19,71.09,40.87,40.71,46.17,43.07,202606.00,11.04,2.94,-49.61,171.29,75.19
GNG Electronics,544455,EBGNG,INE18JU01028,IT - Hardware,Computers Hardware & Equipments,675.15,54.03,7697.51,0.00,28.93,56.21,412.46,32.08,20.30,35.64,88.87,72.38,202606.00,12.49,2.54,-88.89,59.15,41.98
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,717.85,24.80,19898.35,0.42,109.14,-25.07,638.03,6.03,59.30,62.97,133.59,125.54,202606.00,28.16,3.94,104.74,104.74,34.13
Hexagon Nutri.,544785,HEXAGON,INE0JUI01012,Food Products,Packaged Foods,65.00,19.17,798.94,0.46,9.83,64.26,101.40,60.29,,,,,202603.00,3.45,0.80,273.02,273.02,40.91
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,30200.00,112.94,134608.54,0.03,294.15,123.52,2493.69,68.62,29.36,40.17,135.80,112.70,202606.00,258.09,65.99,118.14,121.83,22.17
HRS Aluglaze,544656,,INE1E1V01017,Industrial Manufacturing,Industrial Products,255.90,48.28,493.43,0.00,5.68,311.59,41.20,89.25,18.87,60.37,98.45,67.66,202603.00,5.30,2.95,58.21,127.32,44.14
Indo SMC,544681,,INE0WKY01013,Electrical Equipment,Other Electrical Equipment,502.95,35.50,1149.51,0.00,20.93,344.37,197.20,186.09,33.91,123.33,109.72,100.38,202603.00,14.17,9.16,26.03,312.90,248.79
Indo Thai Sec.,533676,INDOTHAI,INE337M01021,Capital Markets,Stockbroking & Allied,39.33,7.61,522.45,0.51,11.03,28.70,20.62,46.87,34.58,217.64,497.74,498.76,202606.00,5.40,0.85,115.17,130.46,139.21
Innovision,544732,INNOVISION,INE0ADB01012,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",255.65,35.33,608.79,0.00,-7.35,-156.46,263.82,18.29,20.28,9.81,25.95,13.02,202606.00,8.59,-2.96,-37.36,63.05,56.56
Jain Resource,544537,JAINREC,INE0YD401026,Diversified Metals,Diversified Metals,277.30,26.24,9569.24,0.00,69.41,21.02,2724.46,75.86,25.66,65.35,66.12,59.97,202606.00,10.44,2.01,-23.90,56.07,46.04
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,466.85,18.40,1039.68,1.06,11.17,48.34,70.75,16.61,22.09,12.52,34.84,4.43,202606.00,25.49,5.02,37.26,56.23,30.88
Jaykay Enter.,500306,JAYKAY,INE903A01025,Aerospace & Defense,Aerospace & Defense,158.35,58.61,2388.82,0.00,4.51,-78.19,74.57,34.48,8.18,117.55,85.18,466.39,202606.00,14.36,0.29,206.31,229.17,76.47
JD Cables,544524,,INE14VP01014,Industrial Products,Cables - Electricals,191.00,13.57,430.73,0.00,19.80,69.09,243.34,70.11,33.64,45.53,43.33,39.27,202603.00,14.07,8.78,-49.10,362.80,107.41
Jeena Sikho,544476,JSLL,INE0J5801029,Leisure Services,Wellness,502.55,26.41,6246.74,0.89,65.69,28.03,224.40,28.75,70.74,56.71,103.13,86.67,202606.00,19.03,5.28,88.23,88.18,57.83
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,976.50,69.04,22207.91,0.00,57.14,-19.99,508.47,23.97,21.32,17.44,-4.40,7.72,202606.00,14.15,2.51,60.90,156.89,31.08
Kaynes Tech,543664,KAYNES,INE918Z01012,Industrial Manufacturing,Industrial Products,3403.00,65.87,22875.83,0.00,56.43,-24.37,946.02,40.47,12.69,34.85,9.39,33.16,202606.00,51.57,8.42,44.36,51.37,47.68
KP Green Engg.,544150,,INE0QVH01025,Electrical Equipment,Heavy Electrical Equipment,264.00,9.76,1320.00,0.20,77.44,66.47,713.50,65.06,36.69,79.33,83.48,124.45,202603.00,27.15,15.49,-37.02,123.42,122.06
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1031.20,37.61,1541.39,0.12,11.67,32.92,57.60,-15.18,31.07,29.10,73.10,68.42,202606.00,27.47,7.81,76.63,93.00,56.93
KSH Internationa,544664,KSHINTL,INE987S01020,Industrial Products,Cables - Electricals,1066.50,55.15,7226.14,0.00,42.22,86.16,1164.24,108.38,21.46,80.67,64.04,59.14,202606.00,19.98,6.23,-67.24,61.23,43.59
Kwick Forensic,544895,,INE1SFA01019,Industrial Manufacturing,Industrial Products,147.60,23.38,316.39,0.00,,,,,51.41,62.56,58.18,56.07,202603.00,8.01,,-47.31,95.58,73.10
L. T. Elevator,544518,,INE0TJ801010,Industrial Manufacturing,Industrial Products,358.65,44.81,762.61,0.00,10.57,34.48,64.45,74.33,30.38,103.31,143.84,116.30,202603.00,8.88,5.52,54.96,149.19,47.84
Lalithaa Jewel,544879,LALITHAA,INE0K9O01026,Consumer Durables,"Gems, Jewellery And Watches",321.60,18.84,18000.26,0.00,208.38,-21.06,6039.56,26.19,37.98,48.18,178.65,123.28,202603.00,20.18,4.17,-53.01,63.35,23.23
Leela Palaces Hotels,544408,THELEELA,INE0AQ201015,Leisure Services,Hotels & Resorts,527.65,39.23,17621.27,0.00,48.76,456.44,351.96,28.08,8.73,19.10,240.90,21.50,202606.00,13.27,1.46,,105.68,21.10
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",1073.30,26.00,107258.68,0.38,1373.10,103.36,4996.70,43.10,16.41,26.04,39.20,39.02,202606.00,41.30,13.73,54.59,56.46,20.76
Lords Mark Industries,501261,,INE567L01025,Commercial Services & Supplies,Consulting Services,82.78,41.58,3531.54,0.00,32.16,107300.00,280.36,,13.42,,9132.98,13551.06,202606.00,-22.15,0.75,41.24,605.32,1661.97
Lumino Inds,544894,LUMINO,INE185Q01025,Industrial Products,Cables - Electricals,103.80,19.79,3161.32,0.00,63.70,,947.62,,26.61,6.51,28.40,8.37,202603.00,6.57,20.92,-1.03,97.95,38.97
M.V.K. Agro,,MVKAGRO,INE0SGC01015,Agricultural Food & other Products,Sugar,289.95,29.53,1464.35,0.00,6.38,84.93,65.55,105.94,14.37,113.64,399.79,216.78,202606.00,9.82,1.26,6.06,129.25,50.80
Mahamaya Lifesc.,544611,,INE0U9D01019,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,179.50,25.43,420.12,0.00,8.15,,165.90,,20.00,24.75,27.76,46.08,202603.00,7.06,3.48,-38.18,64.22,33.95
Mahindra Life.,532313,MAHLIFE,INE813A01018,Realty,"Residential, Commercial Projects",348.30,23.92,7431.84,1.00,85.55,66.92,962.13,2909.48,7.64,875.69,211.28,115.23,202606.00,15.58,4.01,106.33,106.53,24.77
Mangalam World.,544764,MWL,INE0JYY01029,Metals & Minerals Trading,Trading - Metals,41.48,23.69,1231.98,0.07,12.02,17.69,316.22,14.68,17.70,12.75,63.43,76.11,202606.00,1.75,0.40,44.17,53.72,23.30
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,2006.55,47.92,12665.80,0.04,81.59,61.31,403.96,39.51,35.41,58.81,77.23,63.59,202606.00,44.25,13.66,98.45,98.57,57.01
Marine Electric.,,MARINE,INE01JE01028,Industrial Manufacturing,Industrial Products,380.95,81.98,5331.18,0.07,17.51,48.75,259.16,55.20,18.22,21.81,51.55,46.51,202606.00,4.60,1.23,47.34,52.46,25.58
Marsons,517467,MARSONS,INE415B01044,Electrical Equipment,Heavy Electrical Equipment,121.90,47.47,2097.91,0.04,5.93,-26.15,49.26,4.74,25.39,33.29,43.23,52.04,202606.00,2.57,0.34,136.61,159.55,277.36
Merritronix,544773,,INE1RQS01010,Industrial Manufacturing,Industrial Products,365.00,39.65,638.15,0.00,3.81,,55.95,,41.14,37.28,85.91,79.79,202603.00,12.59,3.24,-16.14,273.10,43.13
Modison,506261,MODISONLTD,INE737D01021,Electrical Equipment,Other Electrical Equipment,481.30,14.58,1561.80,1.11,33.84,506.77,270.47,101.63,30.98,66.70,294.95,251.09,202606.00,31.30,10.43,82.83,82.83,28.51
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,366.65,16.06,2907.85,0.28,45.18,-0.15,90.89,-7.24,27.68,7.49,17.25,14.89,202606.00,22.85,5.70,53.28,61.56,32.08
Msafe Equipments,544695,,INE2B5L01011,Non - Ferrous Metals,Aluminium,300.00,22.92,612.00,0.00,7.27,44.25,31.79,39.92,37.21,44.24,86.50,66.82,202603.00,10.99,3.56,-30.69,89.38,56.17
Neetu Yoshi,544434,,INE0UZO01024,Industrial Products,Castings & Forgings,205.20,31.84,796.44,0.00,13.47,58.96,54.20,53.19,31.78,39.33,52.47,31.63,202603.00,6.45,3.47,51.91,290.55,82.31
Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,737.65,87.15,7417.77,0.00,31.97,34.89,281.75,23.69,15.34,32.16,11.62,35.11,202606.00,4.19,3.19,28.61,102.90,31.70
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4627.30,105.56,27508.15,0.06,85.32,179.92,819.69,172.13,37.48,107.70,102.07,96.42,202606.00,45.87,14.98,57.58,63.56,69.93
Nila Spaces,542231,NILASPACES,INE00S901012,Realty,"Residential, Commercial Projects",12.05,15.24,474.64,0.00,8.60,44.54,46.67,14.30,31.32,31.15,72.88,62.60,202606.00,0.79,0.22,105.92,105.92,467.94
Nisus Finance,544296,,INE0DQN01013,Finance,Holding Company,158.90,5.57,379.43,0.00,12.36,-30.20,184.99,551.37,32.00,754.94,126.36,224.21,202603.00,29.46,4.72,2.98,189.69,267.53
Niva Bupa Health,544286,NIVABUPA,INE995S01015,Insurance,General Insurance,80.56,85.48,14897.42,0.00,137.80,92.89,2471.26,27.93,3.15,27.91,-42.64,-15.82,202606.00,0.94,0.75,,127.48,32.88
Novus Loyalty,544735,,INE1TFS01019,Media,Web based media and service,213.00,35.69,331.23,0.00,3.90,,56.01,,33.39,21.79,148.13,116.70,202603.00,5.97,2.51,-77.71,156.48,28.83
Nurture Well Industries,531889,,INE882B01037,Food Products,Packaged Foods,21.31,8.48,496.22,0.00,13.47,-45.81,152.81,-38.84,22.92,6.15,-8.10,1.52,202606.00,2.49,0.46,172.62,266.79,484.50
OBSC Perfection,,OBSCP,INE0YHV01011,Auto Components,Auto Components & Equipments,932.00,76.56,2408.80,0.00,9.47,88.27,77.31,84.73,19.52,54.27,61.45,56.24,202606.00,12.47,3.66,39.61,80.80,32.15
Om Power Transmission,544750,OMPOWER,INE25E901019,Construction,Civil Construction,169.70,13.78,581.19,0.00,10.52,25.99,121.63,36.88,42.70,60.74,81.58,60.20,202603.00,15.01,3.07,-47.58,85.69,55.16
One Point One,544748,ONEPOINT,INE840Y01029,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),58.27,33.28,1532.16,0.00,16.31,72.78,158.32,129.42,10.88,52.41,31.61,55.20,202606.00,1.72,0.62,47.29,64.70,30.73
Onix Solar,513119,ONIXSOLAR,INE173M01012,Non - Ferrous Metals,Copper,416.10,25.53,1534.05,0.00,20.83,1962.38,93.74,107.39,10.21,77.60,645.78,844.92,202606.00,14.34,5.65,242.34,639.19,1887.93
Optivalue Tek,,OPTIVALUE,INE15B101011,IT - Services,IT Enabled Services,192.00,32.66,449.51,0.00,6.54,12.37,60.25,80.12,27.18,61.80,12.97,9.22,202603.00,5.88,2.79,-87.15,70.63,32.69
Oriana Power Ltd,,ORIANA,INE0OUT01019,Electrical Equipment,Other Electrical Equipment,1284.00,10.29,2608.96,0.00,130.41,19.02,1032.49,64.51,39.61,83.72,59.15,69.67,202603.00,124.19,64.42,99.09,188.03,137.89
