Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Pledged percentage
Embassy Develop,532832,EMBDL,INE069I01010,Realty,"Residential, Commercial Projects",54.49,,7577.54,0.00,-234.40,-41.27,216.75,-68.17,-2.44,-46.63,-1333.75,-456.31,202606.00,-6.80,-1.68,4.68,64.87
Esaar (India),531502,,INE404L01039,Commercial Services & Supplies,Diversified Commercial Services,12.13,3.26,97.53,0.00,1.65,109.64,6.29,220.92,30.86,321.33,243.75,198.75,202606.00,3.72,0.21,35.48,41.14
Eureka Forbes,543482,EUREKAFORB,INE0KCE01017,Consumer Durables,Household Appliances,393.05,38.03,7604.30,0.00,55.44,6.98,700.77,15.31,5.86,12.55,19.71,17.23,202606.00,9.16,2.87,88.95,53.66
Facor Alloys,532656,,INE828G01013,Ferrous Metals,Ferro & Silica Manganese,2.88,,56.31,0.00,22.06,67.85,0.29,480.00,-17.56,677.27,-142.42,8.27,202606.00,0.61,1.13,,70.91
Family Care,516110,,INE146N01016,Healthcare Services,Healthcare Service Provider,2.01,,10.88,0.00,-0.42,40.00,0.05,150.00,-23.20,-93.92,-113.98,-111.40,202606.00,-1.56,-0.08,,65.47
Felix Industries,,FELIX,INE901X01013,Other Utilities,Water Supply & Management,204.80,17.52,352.38,0.00,5.51,53.66,28.22,36.86,19.28,122.11,79.64,137.94,202606.00,11.69,3.30,66.18,40.46
Flexituff Vent.,533638,FLEXITUFF,INE060J01017,Textiles & Apparels,Other Textile Products,2.25,,7.36,0.00,-15.68,14.46,0.00,-100.00,-26.79,-97.41,-80.44,46.20,202606.00,-40.29,-4.78,2.45,77.00
Forbes & Co,502865,,INE518A01013,Consumer Durables,Household Appliances,340.15,36.11,438.79,0.00,3.60,-25.93,13.26,-40.94,5.11,-64.01,-55.56,-69.59,202606.00,9.42,2.79,28.92,98.25
Forbes Precision,544186,,INE0TT901016,Industrial Manufacturing,Industrial Products,166.00,25.19,856.47,3.02,9.03,137.01,67.55,28.89,21.05,14.08,22.58,20.43,202606.00,6.59,1.75,,94.40
Fourth Gen.,532403,,INE739B01039,IT - Software,Software Products,6.41,,2.28,0.00,-0.26,-8.33,0.00,,-10.98,-100.00,-118.92,-11.76,202606.00,-2.28,-0.73,,74.24
Future Market,533296,FMNL,INE360L01017,Commercial Services & Supplies,Diversified Commercial Services,9.12,6.64,55.30,0.00,1.81,25.81,24.64,0.82,9.28,-2.12,259.71,8.75,202606.00,1.37,0.32,27.05,78.69
