Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Pledged percentage
Onida Electronics,500279,ONIDA,INE831A01028,Consumer Durables,Consumer Electronics,33.77,,1247.86,0.00,-14.18,-13.53,182.41,29.51,-17.01,6.34,-259.16,-1035.57,202606.00,-2.08,-0.38,,28.42
Orient Green,533263,GREENPOWER,INE999K01014,Power,Power Generation,9.03,19.82,1059.22,0.00,23.95,-20.14,81.43,-6.81,7.19,0.71,0.48,-5.40,202606.00,0.54,0.20,85.44,99.99
P B A Infra.,532676,,INE160H01019,Construction,Civil Construction,9.45,,12.76,0.00,-1.18,-237.14,0.00,-100.00,-23.43,-46.57,-3836.31,-1584.78,202606.00,-61.38,-0.87,11.07,64.49
Pace E-Commerce,543637,,INE0N1L01018,Retailing,E-Retail/ E-Commerce,14.99,8.95,33.78,0.00,1.58,-13.66,57.92,26.88,7.53,38.69,13.90,29.43,202603.00,1.67,0.70,82.52,41.40
Pakka,516030,PAKKA,INE551D01018,"Paper, Forest & Jute Products",Paper & Paper Products,74.75,25.54,356.33,0.00,5.89,484.97,117.19,42.97,3.85,0.07,-49.22,-15.33,202606.00,3.02,1.24,-50.85,76.91
Panorama Studios,539469,PANORAMA,INE258R01028,Entertainment,"Film Production, Distribution & Exhibition",52.37,56.50,1364.40,0.11,12.71,165.95,183.07,34.26,8.70,-23.59,-44.35,-42.07,202606.00,0.93,0.52,-29.39,26.55
Patel Engineerin,531120,PATELENG,INE244B01030,Construction,Civil Construction,26.09,6.58,2588.58,0.00,98.50,24.63,1280.74,3.83,13.28,-1.44,4.20,-4.32,202606.00,2.82,0.98,22.58,86.57
Patspin India,514326,,INE790C01014,Textiles & Apparels,Other Textile Products,6.32,,19.54,0.00,-2.54,-7.63,11.01,-1.61,-8.82,3.28,-7.77,-385.00,202606.00,-3.75,-0.82,16.78,36.26
Pion. Embroider.,514300,PIONEEREMB,INE156C01018,Textiles & Apparels,Other Textile Products,21.05,,64.86,0.00,0.12,104.00,96.71,12.30,2.19,-4.97,-125.78,-36.24,202606.00,-0.11,0.04,,52.59
Pioneer Invest,507864,PIONRINV,INE746D01014,Finance,Other Financial Services,87.20,7.51,107.23,0.00,1.98,-45.15,6.70,-56.24,10.95,-11.15,73.72,-2.09,202606.00,11.61,1.61,97.67,43.18
Pramara Promotio,,PRAMARA,INE0O7A01017,Media,Advertising & Media Agencies,88.30,12.26,123.13,0.00,3.91,5.96,59.27,6.49,14.95,30.13,70.17,35.23,202603.00,7.20,2.80,28.76,37.12
Premier Energy,533100,,INE429K01012,Realty,"Residential, Commercial Projects",7.37,,30.48,0.00,-0.76,-153.33,0.00,,-1.86,,-720.00,9.60,202606.00,-0.37,-0.18,,78.94
Pro Fin Capital,511557,,INE732K01027,Commercial Services & Supplies,Diversified Commercial Services,2.49,,147.58,0.00,2.51,-1.18,36.76,249.43,-0.08,-1654.14,92.35,56.20,202606.00,-0.04,0.04,,33.28
Quint Digital,539515,QUINT,INE641R01017,Media,Electronic Media,47.94,,226.32,0.00,-2.97,-187.34,34.80,335.54,-0.91,229.09,-542.17,39.41,202606.00,3.41,-0.42,19.98,59.85
Raasi Refractor,502271,,INE858D01017,Industrial Manufacturing,Industrial Products,18.30,30.77,8.62,0.00,0.41,46.43,14.48,33.58,10.53,60.12,-68.54,-126.16,202606.00,0.66,0.87,-48.13,99.82
Radaan Media.,590070,RADAAN,INE874F01027,Entertainment,Media & Entertainment,2.91,,15.76,0.00,-0.44,70.47,1.50,417.24,-38.00,-21.03,-120.59,-596.92,202606.00,-0.69,-0.08,,48.47
Rajshree Sugars,500354,RAJSREESUG,INE562B01019,Agricultural Food & other Products,Sugar,32.81,,108.73,0.00,-23.33,-64.99,153.23,8.73,2.82,2.64,48.62,67.29,202606.00,-2.43,-7.04,28.14,100.00
Ramky Infra,533262,RAMKY,INE874I01013,Construction,Civil Construction,320.00,11.88,2214.32,0.30,38.79,-47.18,471.23,24.26,13.66,4.52,-4.40,-38.17,202606.00,34.10,5.68,45.03,25.70
Refex Industries,532884,REFEX,INE056I01025,Other Utilities,Waste Management,267.00,12.87,3663.78,0.55,64.56,145.38,916.31,160.42,22.71,37.90,56.27,121.31,202606.00,18.10,4.65,18.81,43.51
Refex Renewables,531260,,INE332F01018,Construction,Civil Construction,344.10,,154.77,0.00,-3.14,59.05,22.20,32.62,3.27,7.82,-8.22,-5.52,202606.00,-85.29,-6.89,-41.41,42.66
Relicab Cable,539760,,INE773T01014,Electrical Equipment,Other Electrical Equipment,35.21,19.98,35.55,0.00,0.42,-22.22,17.19,59.91,17.82,59.12,-8.72,8.11,202606.00,1.76,0.42,9.43,99.94
Rita Finance and,543256,,INE018S01016,Finance,Non Banking Financial Company (NBFC),12.00,19.35,12.00,0.00,0.15,-31.82,0.43,16.22,5.88,29.91,6.90,34.29,202606.00,0.62,0.15,-2.74,77.32
RKEC Projects,,RKEC,INE786W01010,Construction,Civil Construction,20.00,,51.67,0.00,-17.30,-616.42,17.32,-77.23,-5.54,-68.90,-406.36,-200.12,202606.00,-21.44,-6.70,,75.24
Royal Cush. Vin.,526193,,INE618A01011,Consumer Durables,Granites & Marbles,12.06,,44.12,0.00,-5.13,-1121.43,8.25,-34.58,-0.17,-14.56,-717.56,-63.94,202606.00,-3.46,-1.40,22.93,76.52
RPP Infra Proj.,533284,RPPINFRA,INE324L01013,Construction,Civil Construction,56.07,134.31,278.02,0.88,2.77,-74.45,347.09,0.04,4.94,3.37,-96.57,-97.42,202606.00,0.83,0.56,-36.10,26.77
Rudra Gas,544121,,INE0OYK01010,Construction,Civil Construction,80.00,7.74,66.70,0.00,5.75,40.24,70.91,17.28,22.55,20.89,28.46,39.45,202603.00,10.34,6.90,-58.48,33.33
S J Logistics (I,,SJLOGISTIC,INE0F3301020,Transport Services,Logistics Solution Provider,312.45,6.54,494.41,0.00,43.43,49.50,370.89,33.62,32.38,30.11,44.43,58.72,202603.00,49.57,28.40,24.13,39.80
Sadbhav Infra.,539346,SADBHIN,INE764L01010,Construction,Civil Construction,2.46,1.02,86.65,0.00,52.95,223.43,200.26,7.50,17.62,9.00,1002.22,8.88,202606.00,0.04,0.95,-6.77,55.49
Sagar Cements,502090,SAGCEM,INE229C01021,Cement & Cement Products,Cement & Cement Products,148.40,,1939.70,0.00,-28.10,-1994.26,706.07,5.28,1.97,13.42,76.99,12.56,202606.00,-2.71,-1.77,,29.99
Sai Capital,531931,SAICAPI,INE531X01018,Commercial Services & Supplies,Diversified Commercial Services,152.00,3.53,43.77,0.00,3.40,3.28,0.23,53.33,4.98,27.12,4.38,23.37,202606.00,43.07,10.94,68.48,37.51
Sakthi Sugars,507315,SAKHTISUG,INE623A01011,Agricultural Food & other Products,Sugar,19.14,8.31,227.48,0.00,-1.83,-66.36,376.91,24.63,14.08,16.25,110.85,69.61,202606.00,2.31,-0.15,29.97,62.24
Sangal Papers,516096,,INE384D01022,"Paper, Forest & Jute Products",Paper & Paper Products,189.95,5.85,24.88,0.00,2.68,235.00,55.91,17.53,8.01,1.32,43.58,18.35,202606.00,32.51,20.50,-8.02,38.76
Sarup Industries,514412,,INE305D01019,Consumer Durables,Footwear,114.00,74.10,37.05,0.00,0.05,-58.33,3.10,-21.12,4.14,-6.50,-31.51,-42.01,202606.00,1.54,0.15,30.61,28.94
SBC Exports,542725,SBC,INE04AK01028,Textiles & Apparels,Garments & Apparels,47.81,67.05,2276.67,0.00,9.43,269.80,106.04,72.82,16.67,46.75,139.59,130.97,202606.00,0.71,0.20,47.23,39.98
Sea TV Network,533268,,INE351L01016,Entertainment,TV Broadcasting & Software Production,3.00,,3.60,0.00,-0.44,-300.00,2.41,28.19,,-7.84,75.41,47.57,202606.00,-0.12,-0.37,31.95,51.19
SEL Mfg. Co,532886,SELMC,INE105I01020,Textiles & Apparels,Other Textile Products,27.79,,92.08,0.00,-42.00,-0.02,3.01,-47.65,-13.90,-29.50,-0.71,13.59,202606.00,-50.95,-12.68,5.65,36.00
SEPC,532945,SEPC,INE964H01014,Construction,Civil Construction,5.15,36.69,986.24,0.00,-11.05,-166.77,273.80,35.36,5.03,80.42,-41.59,21.89,202606.00,0.14,-0.06,35.76,79.36
Setco Automotive,505075,SETCO,INE878E01021,Auto Components,Auto Components & Equipments,17.37,,232.33,74.85,136.42,807.18,250.63,18.99,20.48,16.55,99.79,-10.56,202603.00,-0.01,8.93,25.96,71.28
Sh. Krishna Pap.,500388,,INE970C01012,"Paper, Forest & Jute Products",Paper & Paper Products,90.00,34.28,121.70,0.00,6.38,47.73,59.50,7.61,10.13,23.58,58.48,2.92,202606.00,18.44,4.72,,84.38
Shalimar Paints,509874,SHALPAINTS,INE849C01026,Consumer Durables,Paints,83.50,,698.99,0.00,-21.26,-26.77,137.72,-10.90,-7.93,-10.68,7.99,38.35,202606.00,-8.30,-2.54,-17.60,70.51
Shalimar Wires,532455,,INE655D01025,Textiles & Apparels,Other Textile Products,17.86,8.59,76.36,0.00,2.20,117.82,37.40,13.89,16.74,12.15,307.80,28.96,202606.00,1.64,0.51,145.56,45.03
Share India Sec.,540725,SHAREINDIA,INE932X01026,Capital Markets,Stockbroking & Allied,196.45,11.84,4298.85,0.77,124.41,47.48,448.09,31.25,18.41,14.62,17.62,24.47,202606.00,16.61,5.67,-9.79,57.80
Shree Bhavya,521131,,INE363D01018,Textiles & Apparels,Other Textile Products,22.50,9.59,21.38,0.00,0.69,-5.48,36.25,-14.30,9.23,-13.51,-10.80,-11.36,202606.00,2.35,0.73,14.47,40.25
Shrem InvIT,,SHREMINVIT,INE0GTI23014,Construction,Civil Construction,100.50,7.92,6138.98,2.99,153.95,-33.14,507.14,-5.37,9.54,-15.38,-24.75,-19.41,202606.00,12.69,2.56,10.04,48.40
Shrenik,,SHRENIK,INE632X01030,"Paper, Forest & Jute Products",Paper & Paper Products,0.29,295.83,17.75,0.00,-0.20,-185.71,6.26,7.38,,79.97,700.00,53.40,202606.00,0.00,0.00,-8.67,99.94
Sical Logistics,520086,SICALLOG,INE075B01020,Transport Services,Logistics Solution Provider,95.60,3091.02,762.75,0.00,21.24,203.56,132.58,35.92,9.85,51.67,100.85,87.14,202606.00,4.13,2.52,26.79,56.01
Silgo Retail,,SILGO,INE01II01013,Consumer Durables,"Gems, Jewellery And Watches",69.32,32.58,221.17,0.00,2.15,93.69,12.15,10.76,8.17,9.42,45.71,74.03,202606.00,2.12,0.67,27.09,38.65
Simplex Infra,523838,SIMPLEXINF,INE059B01024,Construction,Civil Construction,240.45,42.08,1901.87,0.00,10.67,125.00,290.55,19.77,2.40,4.58,194.67,131.33,202606.00,5.79,1.32,27.12,33.09
Solara Active,541540,SOLARA,INE624Z01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,716.65,806.76,3444.98,0.00,16.31,55.04,381.60,19.57,4.86,15.49,-82.59,-13.41,202606.00,-1.54,3.41,24.01,37.11
SpiceJet,500285,SPICEJET,INE285B01017,Transport Services,Airline,8.08,,1233.09,0.00,-269.27,-1104.04,1384.31,12.45,9.10,-15.10,-437.70,10.24,202512.00,-5.61,-1.76,26.31,39.77
Standard Battery,504180,,INE502C01039,Finance,Non Banking Financial Company (NBFC),38.27,,19.77,0.00,-0.14,0.00,0.00,,-41.32,,5.66,-11.32,202606.00,-1.92,-0.54,24.01,84.27
Star Paper Mills,516022,STARPAPER,INE733A01018,"Paper, Forest & Jute Products",Paper & Paper Products,163.55,8.25,255.31,1.53,11.01,-14.05,103.46,2.27,4.18,-2.69,-22.70,-54.98,202606.00,19.84,7.05,-29.98,47.21
Steel Exchange,534748,STEELXIND,INE503B01021,Industrial Products,Iron & Steel Products,11.56,46.39,1474.46,0.00,15.03,46.92,269.71,-10.10,9.34,-12.78,-5.30,2.62,202606.00,0.25,0.12,31.89,99.95
Sterling & Wils.,542760,SWSOLAR,INE00M201021,Construction,Civil Construction,176.10,13.19,4112.71,0.00,53.27,69.60,1590.13,-9.74,26.78,3.19,185.88,-3.96,202606.00,-12.30,2.32,30.66,27.62
Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,1167.90,18.59,10764.87,0.42,165.49,0.75,1265.41,13.01,18.32,8.07,54.61,12.58,202606.00,66.56,17.02,69.99,38.10
Sudal Industries,506003,,INE618D01015,Non - Ferrous Metals,Aluminium,45.18,21.11,37.80,0.00,3.13,663.41,53.12,27.42,15.50,19.09,-58.85,41.14,202606.00,2.14,3.74,25.17,82.28
Super Tannery,523842,SUPTANERY,INE460D01038,Consumer Durables,Leather And Leather Products,9.92,15.34,107.11,0.51,2.40,11.47,75.87,11.92,8.23,-11.51,4.65,3.20,202606.00,0.65,0.22,3.50,51.12
Supertex Inds.,526133,,INE881B01054,Textiles & Apparels,Other Textile Products,5.62,8.39,6.38,0.00,0.23,162.16,5.10,-37.65,5.53,-14.29,290.00,50.68,202606.00,0.67,0.20,47.36,32.66
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals,Petrochemicals,292.10,40.94,9156.05,0.05,-36.00,-264.24,1013.75,-16.44,-0.58,-16.72,-64.87,52.68,202606.00,7.13,-1.00,,39.55
SwarnsaritaJewel,526365,SWARNSAR,INE967A01012,Consumer Durables,"Gems, Jewellery And Watches",38.75,6.51,80.91,0.00,10.71,76.73,205.93,35.53,11.00,21.63,143.05,45.24,202606.00,5.95,5.13,25.15,49.91
Swastik Pipe,,SWASTIK,INE0DGC01025,Industrial Products,Iron & Steel Products,16.65,,38.69,0.00,-47.88,-396.84,146.07,-61.60,-20.60,-46.92,-804.83,-455.89,202603.00,-24.78,-20.61,,38.09
Tarapur Trans,533203,TARAPUR,INE747K01017,Electrical Equipment,Heavy Electrical Equipment,12.37,,24.12,0.00,-0.44,-540.00,0.00,,2.60,,90.63,30.50,202606.00,-1.22,-0.23,23.60,93.31
Tembo Global,,TEMBO,INE869Y01028,Industrial Products,Iron & Steel Products,55.30,10.05,1025.55,0.18,31.21,57.99,302.35,21.86,22.84,34.06,58.53,60.21,202606.00,5.73,1.62,98.57,40.65
TGB Banquets,532845,TGBHOTELS,INE797H01018,Leisure Services,Hotels & Resorts,9.27,18.84,27.15,0.00,0.19,5.56,8.33,-6.09,3.70,-3.46,-27.27,-0.30,202606.00,0.49,0.06,7.30,30.41
Themis Medicare,530199,THEMISMED,INE083B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,122.25,,1125.93,0.40,24.61,-282.28,86.96,-10.88,2.74,-12.76,-320.73,-910.04,202606.00,4.34,2.67,-68.82,43.39
Thyrocare Tech.,539871,THYROCARE,INE594H01019,Healthcare Services,Healthcare Service Provider,545.45,48.08,8681.67,1.70,51.33,34.06,240.02,24.34,35.38,21.09,69.85,37.73,202606.00,11.08,3.28,35.69,100.00
Transwar.Fin.,532812,TFL,INE804H01012,Finance,Non Banking Financial Company (NBFC),11.65,,64.21,0.00,-0.12,85.71,2.55,-35.44,-0.38,-12.07,4.73,-650.00,202606.00,-0.67,-0.02,17.76,47.16
Tree House Edu.,533540,TREEHOUSE,INE040M01013,Other Consumer Services,Education,6.00,,25.38,0.00,-2.13,-1431.25,1.15,-20.14,-7.02,-46.64,-451.21,-1374.11,202606.00,-2.70,-0.50,19.82,83.17
Tricom Fruit,531716,,INE843F01014,Food Products,Other Food Products,1.22,,2.34,0.00,-0.07,,0.00,,,,,,202603.00,-0.07,-0.04,,62.69
TruAlt Bioenergy,544545,TRUALT,INE0MWH01014,Agricultural Food & other Products,Other Agricultural Products,402.90,22.10,3454.93,0.00,59.27,1108.25,626.88,106.29,10.44,1.80,-9.56,16.14,202606.00,18.24,6.66,24.44,36.85
True Green,533407,,INE672K01025,Textiles & Apparels,Other Textile Products,191.10,11.75,629.80,0.00,21.85,5702.56,227.57,3141.74,13.89,1764.83,4189.31,5932.08,202606.00,16.25,6.63,169.28,57.50
Tulsyan NEC,513629,,INE463D01016,Industrial Products,Iron & Steel Products,28.00,,46.09,0.00,-21.41,-108.88,146.70,-42.98,-3.12,-18.04,9.47,-271.15,202606.00,-45.86,-13.01,,99.63
TV Vision,540083,TVVISION,INE871L01013,Entertainment,TV Broadcasting & Software Production,2.67,,10.34,0.00,-3.64,29.87,0.24,-96.83,,-82.53,-32.14,-61.07,202606.00,-8.96,-0.99,-35.27,49.81
TVS Supply,543965,TVSSCS,INE395N01027,Transport Services,Logistics Solution Provider,126.35,78.66,5574.85,0.00,22.48,-84.26,3335.22,28.66,10.06,16.89,-36.93,20.74,202606.00,1.47,0.47,60.82,31.87
Valor Estate,533160,DBREALTY,INE879I01012,Realty,"Residential, Commercial Projects",96.25,,5220.61,0.00,-1.33,-127.70,110.79,-86.82,1.55,-49.50,70.90,136.18,202606.00,0.22,-0.02,25.81,44.72
Vardhman Polytex,514175,VARDMNPOLY,INE835A01029,Textiles & Apparels,Other Textile Products,5.84,31.61,288.28,0.00,311.19,757.89,60.75,2.03,,-15.18,-64.75,-50.16,202606.00,6.60,6.44,26.18,74.03
Vedavaag Systems,533056,VEDAVAAG,INE359B01010,IT - Services,IT Enabled Services,20.69,11.69,48.53,2.39,1.10,-48.84,22.12,-28.90,5.60,4.43,-51.35,-34.83,202606.00,1.77,0.47,-12.49,42.43
Veefin Solutions,543931,,INE0Q0M01015,IT - Services,IT Enabled Services,258.55,28.99,660.32,0.00,9.50,,113.97,,9.85,339.10,73.13,207.36,202603.00,8.92,2.63,56.34,72.12
Ventive Hospital,544321,VENTIVE,INE781S01027,Leisure Services,Hotels & Resorts,565.55,27.24,13207.96,0.00,124.19,199.85,542.80,6.97,10.79,24.99,295.16,21.78,202606.00,20.53,3.46,,36.36
Veranda Learning,543514,VERANDA,INE0IQ001011,Other Consumer Services,E-Learning,219.15,32.78,2114.95,0.00,33.87,854.40,149.54,41.52,12.83,32.02,129.38,304.18,202606.00,15.04,3.02,28.75,30.45
Vertoz,,VERTOZ,INE188Y01031,Media,Advertising & Media Agencies,38.17,12.34,325.32,0.25,7.36,5.02,81.64,15.82,14.16,14.12,-2.87,43.73,202606.00,3.10,0.79,-12.72,62.95
Vijay Textiles,530151,,INE256G01033,Textiles & Apparels,Other Textile Products,3.60,,6.60,0.00,-3.83,80.03,1.41,-53.77,-2.20,-39.49,38.56,-303.85,202503.00,-7.89,-2.09,5.42,50.27
Vikas Wsp,519307,VIKASWSP,INE706A01022,Agricultural Food & other Products,Other Agricultural Products,0.86,,17.59,0.00,-0.30,96.58,0.00,,-10.14,,-119.68,-6435.98,202606.00,-2.86,-0.01,,56.92
Vintage Coffee,538920,VINCOFE,INE498Q01014,Agricultural Food & other Products,Tea & Coffee,167.70,31.22,2456.56,0.09,20.79,46.10,161.00,58.45,18.18,67.12,57.99,78.77,202606.00,5.42,1.43,137.76,25.95
Vipul Ltd,511726,VIPULLTD,INE946H01037,Realty,"Residential, Commercial Projects",13.51,,190.44,0.00,1.21,-67.56,9.19,-18.38,-0.44,-19.72,-116.05,-257.11,202512.00,-1.98,0.09,11.57,30.71
VISA Chrome,532721,VISACHROME,INE286H01012,Ferrous Metals,Ferro & Silica Manganese,33.41,,487.09,0.00,-9.56,-320.79,120.44,-29.56,-5.58,-15.21,-46.90,-97.39,202606.00,79.97,-0.74,17.00,28.69
Visagar Polytex,506146,VIVIDHA,INE370E01029,Textiles & Apparels,Garments & Apparels,0.54,,15.79,0.00,-0.39,35.00,0.23,109.09,-17.81,118.18,27.72,34.57,202606.00,-0.05,-0.01,-3.45,83.69
Vishnu Prakash R,543974,VPRPL,INE0AE001013,Construction,Civil Construction,34.50,,430.04,0.00,-39.32,-660.91,137.88,-50.12,-6.76,-43.32,-466.80,-196.25,202606.00,-15.76,-3.15,,95.25
VMS Industries,533427,,INE932K01015,Transport Infrastructure,Port & Port services,18.19,29.88,44.53,2.75,0.46,6.98,44.83,13.09,5.08,-27.00,-77.53,-108.71,202606.00,0.61,0.19,26.04,47.63
Waa Solar,541445,,INE799N01012,Power,Power Generation,51.51,105.13,68.34,0.00,-1.17,-114.19,18.96,36.80,3.28,-1.70,-90.67,49.66,202603.00,0.49,-0.88,-59.58,75.16
Walchan. Inds.,507410,WALCHANNAG,INE711A01022,Industrial Manufacturing,Industrial Products,201.00,,1364.84,0.00,1.18,111.36,90.83,83.75,4.17,37.98,97.53,138.79,202606.00,-0.46,0.17,23.32,49.20
Wanbury,524212,WANBURY,INE107F01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,224.00,13.24,783.24,0.00,3.24,-75.98,165.58,1.47,30.66,3.63,38.01,11.93,202606.00,16.01,0.93,103.78,62.18
Wardwizard Inno.,538970,WARDINMOBI,INE945P01024,Automobiles,2/3 Wheelers,5.66,166.98,170.26,1.77,0.19,-83.04,61.64,91.01,7.04,-3.31,-81.42,-38.03,202606.00,0.03,0.01,-40.45,34.53
Websol Energy,517498,WEBELSOLAR,INE855C01023,Electrical Equipment,Other Electrical Equipment,73.26,10.11,3180.68,0.33,77.79,15.79,372.60,70.33,63.18,76.28,57.83,44.37,202606.00,7.30,1.79,145.67,89.39
Wework India,544570,WEWORK,INE085001019,Commercial Services & Supplies,Diversified Commercial Services,673.40,108.05,9351.55,0.00,-4.58,68.65,680.20,27.39,20.57,27.10,-54.22,30.12,202606.00,6.10,-0.33,30.34,34.97
Windsor Machines,522029,WINDMACHIN,INE052A01021,Industrial Manufacturing,Industrial Products,300.85,1044.53,3112.57,0.00,-0.91,-37.88,148.87,31.35,2.61,51.03,113.61,-3.35,202606.00,0.93,-0.09,-26.77,48.78
Zee Learn,533287,ZEELEARN,INE565L01011,Other Consumer Services,Education,6.80,8.30,222.83,0.00,8.42,313.62,93.32,17.92,12.64,9.62,33.56,-2.92,202606.00,1.38,0.26,36.16,29.16
Zuari Agro Chem.,534742,ZUARI,INE840M01016,Fertilizers & Agrochemicals,Fertilizers,213.40,2.87,897.53,0.00,118.69,19.70,615.21,-50.63,16.44,-43.98,21.60,-41.74,202606.00,223.33,28.17,-41.76,27.64
