Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Ceinsys Tech,538734,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,972.05,15.14,2035.21,0.36,37.17,69.96,170.71,19.89,27.46,58.04,113.75,82.04,202603.00,63.72,17.75,47.54,63.33,44.39
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,1034.60,29.73,17773.16,0.28,242.17,113.63,2973.49,17.42,33.83,10.59,64.96,17.71,202603.00,34.79,14.10,69.09,69.09,25.49
CFF Fluid,543920,,INE0NJ001013,Aerospace & Defense,Aerospace & Defense,709.00,37.96,1487.07,0.14,20.07,104.80,104.61,59.64,23.47,43.40,64.36,44.93,202603.00,18.69,9.57,38.01,56.89,43.48
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services,Hotels & Resorts,778.10,26.39,17039.92,0.13,163.01,31.64,558.22,6.94,17.07,61.24,357.09,61.36,202603.00,29.46,7.44,56.69,60.17,34.89
Choice Intl.,531358,CHOICEIN,INE102B01014,Finance,Holding Company,669.75,68.56,14920.46,0.00,67.84,16.70,306.71,21.23,17.96,21.50,33.79,35.45,202603.00,9.77,2.71,47.92,53.59,41.74
CIAN Agro,519477,,INE052V01019,Agricultural Food & other Products,Edible Oil,1492.55,18.75,4177.03,0.00,63.93,664.71,656.48,33.91,12.27,117.14,441.03,234.83,202603.00,79.57,22.84,722.02,722.02,97.51
Connplex Cinemas,,CONNPLEX,INE0EAS01014,Entertainment,"Film Production, Distribution & Exhibition",241.00,17.65,460.31,0.00,13.03,38.91,83.46,51.97,43.57,54.29,40.90,32.91,202603.00,13.65,6.82,-25.48,150.96,79.82
CWD,543378,,INE0H8H01019,Consumer Durables,Consumer Electronics,299.35,53.97,664.84,0.00,7.96,83.41,109.68,308.49,37.77,358.45,390.84,296.91,202603.00,5.55,3.58,66.89,78.67,87.94
DEE Development,544198,DEEDEV,INE841L01016,Industrial Manufacturing,Industrial Products,624.60,54.82,4326.20,0.00,27.68,-16.38,361.57,26.26,10.92,38.03,80.02,48.04,202603.00,11.17,4.04,0.75,88.30,24.24
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,492.10,8.52,3149.44,0.60,-7.22,417.40,248.71,48.72,16.48,54.60,75.33,47.43,202603.00,28.12,-2.24,62.74,62.74,37.67
