Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Om Power Transmission,544750,OMPOWER,INE25E901019,Construction,Civil Construction,170.05,14.57,582.33,0.00,16.65,36.48,174.62,67.20,42.70,60.74,81.58,60.20,202603.00,15.01,6.24,-47.58,85.69,55.16
One Point One,544748,ONEPOINT,INE840Y01029,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),61.66,41.29,1621.27,0.00,10.27,18.08,96.20,43.48,10.88,22.24,42.03,17.36,202603.00,1.45,0.39,47.29,64.70,30.73
Oriana Power Ltd,,ORIANA,INE0OUT01019,Electrical Equipment,Other Electrical Equipment,1705.00,13.73,3464.42,0.00,130.41,19.02,1032.49,64.51,39.61,83.72,59.15,69.67,202603.00,124.19,64.42,99.09,188.03,137.89
Oriental Rail,531859,,INE457G01029,Industrial Products,Other Industrial Products,144.95,23.02,972.04,0.07,11.88,121.23,153.48,9.46,12.17,-4.79,44.56,21.84,202603.00,6.30,1.77,120.20,136.83,20.78
OSEL Devices,,OSELDEVICE,INE0RMF01018,Healthcare Equipment & Supplies,Medical Equipment & Supplies,443.60,26.98,789.36,0.00,14.06,16.78,145.81,47.10,24.40,56.95,45.89,59.71,202603.00,16.53,7.95,-12.93,84.46,52.90
Oswal Pumps,544418,OSWALPUMPS,INE0BYP01024,Industrial Products,"Compressors, Pumps & Diesel Engines",365.45,11.03,4166.31,0.00,92.53,43.90,509.74,39.79,38.24,44.33,34.37,22.37,202603.00,33.01,8.12,-17.27,122.59,75.02
P N Gadgil Jewe.,544256,PNGJL,INE953R01016,Consumer Durables,"Gems, Jewellery And Watches",552.05,18.21,7491.76,0.00,90.26,45.60,3544.31,123.16,20.92,41.56,88.27,82.87,202603.00,30.20,6.65,31.21,77.09,33.75
Pace Digitek,544550,PACEDIGITK,INE0S3G01027,Telecom - Services,Telecom - Infrastructure,186.70,13.54,4029.97,0.00,105.92,73.27,1096.78,60.52,21.26,8.30,10.95,-6.16,202603.00,13.79,4.59,-21.90,173.96,73.79
Panache Digilife,,PANACHE,INE895W01019,IT - Services,IT Enabled Services,356.25,31.76,570.50,0.00,8.51,402.27,94.55,57.53,23.67,101.08,206.48,138.10,202603.00,9.62,5.31,93.76,113.33,27.75
Parmeshwar Metal,544330,,INE0QQJ01021,Industrial Products,"Aluminium, Copper & Zinc Products",197.10,9.29,301.66,0.38,23.46,250.15,1127.70,50.08,43.50,42.72,195.90,183.63,202603.00,21.23,15.33,-43.66,53.98,26.62
Parth Electrical,,PARTH,INE1H7V01011,Electrical Equipment,Other Electrical Equipment,450.00,43.19,615.06,0.00,8.13,35.73,117.61,12.26,21.05,13.36,40.99,18.40,202603.00,10.42,5.95,,80.29,44.57
Piccadily Agro,530305,PICCADIL,INE546C01010,Beverages,Breweries & Distilleries,581.05,41.66,5727.55,0.00,44.70,12.14,335.47,31.44,18.01,30.23,34.36,27.55,202603.00,13.95,4.53,80.63,83.29,20.15
Premier Energies,544238,PREMIERENE,INE0BS701011,Electrical Equipment,Other Electrical Equipment,1061.80,31.96,48200.58,0.09,456.84,64.44,2230.30,37.60,33.32,20.03,62.55,33.48,202603.00,33.33,10.08,293.96,369.81,76.27
Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1074.15,68.63,8318.67,0.09,50.55,72.95,280.81,159.24,31.53,181.38,90.43,170.15,202603.00,15.67,4.38,-95.14,80.81,55.23
Rajesh Power,544291,,INE0VN801010,Other Utilities,Multi Utilities,860.00,11.25,1548.64,0.11,79.48,32.19,990.12,30.45,48.56,51.87,59.42,58.26,202603.00,76.38,44.14,158.50,173.42,98.81
Rajoo Engineers,522257,RAJOOENG,INE535F01024,Industrial Manufacturing,Industrial Products,54.59,20.42,975.40,0.27,1.83,-89.35,79.40,-11.68,24.49,35.72,26.10,31.32,202603.00,2.67,0.09,59.79,64.42,29.16
RDB Infrastruc.,533285,,INE245L01028,Realty,"Residential, Commercial Projects",25.39,45.34,567.88,0.00,4.33,273.28,21.91,7.72,7.27,18.55,125.99,-43.17,202603.00,0.60,0.21,55.12,65.54,20.57
RMC Switchgears,540358,RMC,INE655V01019,Electrical Equipment,Other Electrical Equipment,369.25,9.62,390.73,0.00,19.48,90.05,194.96,86.07,37.19,113.95,137.94,95.87,202509.00,38.51,18.46,260.12,278.34,96.72
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1126.40,75.20,18557.52,0.00,76.79,111.83,513.92,43.49,28.35,36.57,84.55,56.38,202603.00,14.98,4.66,34.79,155.01,64.57
Saatvik Green,544526,SAATVIKGL,INE13B501022,Electrical Equipment,Other Electrical Equipment,443.40,15.62,5635.86,0.00,60.42,-33.60,1607.66,74.95,32.92,110.73,67.20,68.29,202603.00,28.11,4.77,26.45,323.65,95.51
Sathlokhar Sys.,,SSEGL,INE0RFP01011,Construction,Civil Construction,367.35,11.55,954.30,0.00,30.26,64.64,277.37,48.91,37.09,105.39,92.89,99.37,202603.00,31.69,11.65,5.17,147.22,111.17
Savy Infra,,SAVY,INE0UCN01017,Construction,Civil Construction,151.95,9.66,316.19,0.00,18.29,,215.70,,61.88,178.95,141.95,136.78,202509.00,18.46,8.79,25.85,568.32,271.44
SEAMEC Ltd,526807,SEAMECLTD,INE497B01018,Transport Services,Shipping,1650.10,16.66,4195.39,0.00,103.70,141.04,327.07,63.85,20.04,46.12,230.17,86.59,202603.00,98.88,40.70,106.32,106.32,29.63
Servotech Renew,,SERVOTECH,INE782X01033,Electrical Equipment,Other Electrical Equipment,97.02,60.41,2191.17,0.05,11.73,49.43,209.64,66.21,15.52,8.47,8.34,21.89,202603.00,1.61,0.52,47.83,50.82,36.72
Shakti Pumps,531431,SHAKTIPUMP,INE908D01010,Industrial Products,"Compressors, Pumps & Diesel Engines",517.35,24.81,6384.01,0.19,38.33,-65.23,857.77,28.93,23.73,7.21,-36.97,-30.11,202603.00,20.87,3.11,112.10,120.18,40.74
Shanti Gold,544459,SHANTIGOLD,INE06ZD01017,Consumer Durables,"Gems, Jewellery And Watches",233.95,11.99,1686.67,0.00,51.93,465.07,658.93,121.65,33.49,82.46,150.94,117.07,202603.00,19.44,7.20,-3.93,92.23,43.76
Shringar House,544512,SHRINGARMS,INE1B3L01017,Consumer Durables,"Gems, Jewellery And Watches",211.00,17.61,2034.75,0.00,34.01,123.46,725.56,106.50,26.83,57.07,89.05,71.82,202603.00,11.98,3.53,-23.11,70.36,33.20
Sigma Advanced System,532408,SIGMAADV,INE933B01012,Aerospace & Defense,Aerospace & Defense,437.00,27.77,7701.71,0.00,128.45,1400.69,322.82,469.05,60.82,,1026.42,559.06,202603.00,15.21,7.29,145.15,227.73,529.70
Silver Touch,543525,SILVERTUC,INE625X01026,IT - Software,Computers - Software & Consulting,176.80,62.76,2242.00,0.03,13.22,43.54,100.53,17.35,28.93,19.84,64.65,69.34,202603.00,2.82,1.04,53.99,53.91,28.26
Simplex Castings,513472,,INE658D01011,Industrial Products,Other Industrial Products,508.95,19.03,417.29,0.00,6.18,83.33,54.76,-18.39,24.28,18.05,44.75,20.30,202603.00,25.93,7.54,58.15,74.24,20.28
Skipper,538562,SKIPPER,INE439E01022,Electrical Equipment,Heavy Electrical Equipment,554.00,29.08,6256.75,0.02,75.61,70.33,1666.58,29.42,23.32,20.07,46.41,25.98,202603.00,18.36,6.69,87.75,87.77,41.01
Sky Gold & Diam.,541967,SKYGOLD,INE01IU01018,Consumer Durables,"Gems, Jewellery And Watches",525.50,29.58,8138.66,0.00,90.72,120.80,1911.51,80.64,27.02,77.42,133.07,120.08,202603.00,17.78,5.44,117.29,145.49,76.05
Solarworld Ene.,544532,SOLARWORLD,INE0TY101024,Construction,Civil Construction,206.60,14.86,1790.67,0.00,49.06,419.70,591.81,235.47,23.80,152.61,56.58,37.73,202603.00,13.90,5.66,-68.94,100.98,80.90
South West Pinn.,543986,SOUTHWEST,INE980Y01015,Commercial Services & Supplies,Diversified Commercial Services,271.00,26.29,808.40,0.00,11.34,24.34,77.73,5.31,19.16,35.57,130.71,71.73,202603.00,10.33,3.80,51.29,54.69,25.14
SPARC,532872,SPARC,INE232I01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,208.70,4.36,6772.78,0.00,1760.70,2987.34,1853.22,6715.81,165.00,2518.32,553.15,588.24,202603.00,47.83,54.26,108.26,108.26,98.91
Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",139.80,28.80,6832.35,0.00,100.92,11.45,307.50,61.82,21.15,40.39,4.26,-2.90,202603.00,4.85,1.96,,139.96,69.02
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,525.35,10.88,1205.35,0.00,54.10,124.67,445.75,95.87,37.14,94.19,101.89,106.32,202603.00,48.39,23.58,63.20,81.27,50.59
Sunteck Realty,512179,SUNTECK,INE805D01034,Realty,"Residential, Commercial Projects",293.30,21.04,4306.93,0.53,62.83,26.51,339.04,64.54,7.54,31.73,35.91,63.87,202603.00,13.92,4.34,424.86,425.29,45.82
Suraj Estate,544054,SURAJEST,INE843S01025,Realty,"Residential, Commercial Projects",210.90,10.29,1007.54,0.00,25.17,25.88,180.05,6.01,17.27,15.71,-3.33,-12.39,202512.00,20.48,5.26,37.79,55.48,26.27
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals,Petrochemicals,330.00,37.71,10344.08,0.03,251.32,1693.84,869.65,1.62,3.87,-11.48,190.08,-44.20,202603.00,8.75,8.57,78.73,85.72,44.85
Swaraj Suiting,,SWARAJ,INE0GMR01016,Textiles & Apparels,Other Textile Products,232.95,11.04,591.45,0.00,24.68,34.57,207.25,22.42,17.92,38.45,60.62,52.34,202603.00,21.14,9.72,75.32,111.80,38.06
Swelect Energy,532051,SWELECTES,INE409B01013,Electrical Equipment,Heavy Electrical Equipment,636.00,17.07,964.08,0.46,11.09,16.19,202.42,-7.49,8.52,5.70,1047.24,56.29,202603.00,36.39,6.73,224.40,224.40,38.81
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,15.13,18.74,1422.22,0.00,24.57,40.48,134.00,-9.74,26.84,5.65,56.50,43.74,202603.00,0.81,0.26,56.22,56.22,29.91
T R I L,532928,TARIL,INE763I01026,Electrical Equipment,Heavy Electrical Equipment,317.45,36.05,9528.82,0.06,91.39,-2.55,782.67,15.70,23.30,24.39,24.83,17.02,202603.00,8.81,2.97,78.99,86.56,21.59
Tara Chand Infra,,TARACHAND,INE555Z01020,Commercial Services & Supplies,Diversified Commercial Services,56.16,15.95,442.68,0.35,8.57,9.03,89.55,9.70,18.25,14.94,30.94,32.50,202603.00,3.52,1.09,55.25,62.92,26.43
Thangamayil Jew.,533158,THANGAMAYL,INE085J01014,Consumer Durables,"Gems, Jewellery And Watches",4249.00,37.36,13206.73,0.30,142.66,354.33,2839.17,105.63,25.49,73.38,197.73,164.48,202603.00,113.14,45.90,64.12,64.26,39.26
Thomas Scott,533941,THOMASCOTT,INE480M01011,Textiles & Apparels,Garments & Apparels,285.25,20.62,418.48,0.00,6.02,63.22,77.81,63.40,20.54,76.79,58.07,72.14,202603.00,13.16,4.10,44.71,91.23,60.08
TIPCO Engineering,544740,,INE1U6D01014,Industrial Manufacturing,Industrial Products,156.65,12.86,325.32,0.00,16.73,156.99,94.97,65.51,36.23,9.12,63.29,59.86,202603.00,12.19,8.06,-83.18,114.63,59.25
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,490.65,15.87,6587.30,0.17,96.50,-23.76,1863.46,-4.24,29.18,29.62,27.80,5.65,202603.00,30.06,7.19,-13.46,56.27,29.72
True Colors,544531,,INE1LDV01015,Industrial Manufacturing,Industrial Products,140.65,11.13,346.76,0.00,16.44,-24.13,150.43,6.86,25.22,29.08,26.20,13.10,202603.00,12.64,6.67,-63.57,99.57,55.21
Unified Data,544406,,INE1ABX01018,IT - Services,IT Enabled Services,421.00,20.75,845.80,1.32,23.48,94.05,138.97,21.47,45.25,30.75,38.14,12.00,202603.00,20.28,11.69,-89.94,59.89,37.62
Utssav CZ Gold,,UTSSAV,INE06IJ01010,Consumer Durables,"Gems, Jewellery And Watches",289.95,11.85,700.17,0.00,29.64,95.13,679.49,87.81,28.82,78.69,131.43,130.21,202603.00,24.46,12.27,18.39,112.10,69.25
V-Marc India,,VMARCIND,INE0GXK01018,Industrial Products,Cables - Electricals,1426.00,34.81,3482.38,0.00,63.63,157.30,1105.46,97.52,41.38,100.55,177.85,105.62,202603.00,40.98,26.06,107.51,112.36,94.30
Vikram Solar,544488,VIKRAMSOLR,INE078V01014,Electrical Equipment,Other Electrical Equipment,198.90,15.19,7206.77,0.00,110.42,21.86,1452.82,21.73,30.53,40.28,239.34,86.30,202603.00,12.98,3.05,180.73,214.05,32.31
Virtual Galaxy,,VGINFOTECH,INE0VRH01015,IT - Software,Software Products,139.65,7.54,347.30,0.72,14.49,195.71,54.66,189.21,33.74,51.54,43.49,52.37,202603.00,18.53,5.83,124.57,194.74,46.38
Viviana Power,,VIVIANA,INE0MEG01014,Construction,Civil Construction,945.00,19.07,956.82,0.00,43.26,245.25,432.34,208.24,50.69,166.32,195.18,171.10,202603.00,49.56,42.73,150.97,155.46,140.31
Vivid Electromech,,VIVIDEL,INE24H301028,Electrical Equipment,Other Electrical Equipment,940.00,26.44,835.44,0.00,22.16,41.69,129.57,27.96,58.63,28.91,56.10,58.46,202603.00,45.13,31.64,95.98,508.93,50.00
Viyash Scientific,512529,VIYASH,INE807F01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,265.45,58.08,11596.84,0.00,66.38,455.37,919.96,129.02,19.05,120.47,815.72,303.29,202603.00,4.06,1.19,56.42,73.24,34.02
Waaree Energies,544277,WAAREEENER,INE377N01017,Electrical Equipment,Other Electrical Equipment,3112.30,22.84,89525.74,0.06,1126.26,70.64,8480.25,111.80,38.78,83.72,111.07,117.10,202603.00,129.02,36.89,76.01,99.63,57.82
Waaree Renewab.,534618,WAAREERTL,INE299N01021,Electrical Equipment,Other Electrical Equipment,986.00,21.51,10288.48,0.10,155.71,60.69,1102.40,131.31,83.61,108.51,108.05,106.20,202603.00,45.88,14.93,105.31,105.48,111.73
Welspun Special.,500365,WELSPLSOL,INE731F01037,Industrial Products,Iron & Steel Products,42.48,124.13,2814.76,0.00,4.26,19.66,219.75,9.79,10.17,22.45,610.59,51.94,202603.00,0.34,0.06,53.90,53.90,28.48
Workmates Core2,544610,,INE1I1301016,IT - Software,Computers - Software & Consulting,292.75,23.08,378.20,0.67,7.05,-0.42,69.00,21.46,37.23,37.25,16.50,22.42,202603.00,12.68,5.46,-81.37,102.93,70.60
Yash Highvoltage,544310,,INE00GK01023,Electrical Equipment,Other Electrical Equipment,713.00,52.32,2035.69,0.14,23.72,68.89,135.57,46.53,28.66,56.63,82.16,77.12,202603.00,13.08,8.31,-28.40,50.48,37.55
Yatra Online,543992,YATRA,INE0JR601024,Leisure Services,"Tour, Travel Related Services",100.40,31.30,1575.46,0.00,8.20,-46.12,189.01,-13.68,7.24,27.17,37.87,80.91,202603.00,2.98,0.52,70.03,88.85,38.34
