Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Price to book value
Petronet LNG,532522,PETRONET,INE347G01014,Gas,LPG/CNG/PNG/LNG Supplier,275.00,10.54,41250.00,3.66,1370.74,25.19,9442.09,-23.33,22.74,-14.69,-0.82,-3.43,202603.00,26.08,9.14,5.56,1.85
Rashi Peripheral,544119,RPTECH,INE0J1F01024,IT - Hardware,Computers Hardware & Equipments,557.65,13.27,3674.89,0.36,86.84,70.49,4489.38,51.00,16.82,14.92,34.68,50.60,202603.00,42.12,12.78,,1.79
Route Mobile,543228,ROUTE,INE450U01017,Telecom - Services,Other Telecom Services,511.20,9.93,3220.74,2.16,114.43,48.78,1130.90,-3.75,17.24,-3.66,-2.33,1.53,202603.00,37.94,17.35,-0.61,1.17
S P I C,590030,SPIC,INE147A01011,Fertilizers & Agrochemicals,Fertilizers,68.62,6.62,1397.39,2.90,29.49,51.46,584.15,-22.56,17.50,-4.22,34.26,5.39,202603.00,10.38,1.45,-11.12,1.03
Sai Silks,543989,KALAMANDIR,INE438K01021,Retailing,Speciality Retail,108.85,11.82,1669.40,0.91,32.65,141.67,419.06,5.07,13.96,13.11,65.13,19.44,202603.00,9.19,2.13,5.96,1.35
Saksoft,590051,SAKSOFT,INE667G01023,IT - Software,Computers - Software & Consulting,145.60,14.09,1929.96,0.54,35.93,19.65,248.85,3.74,25.50,14.06,28.53,27.91,202603.00,10.05,2.71,18.51,2.47
Siyaram Silk,503811,SIYSIL,INE076B01028,Textiles & Apparels,Other Textile Products,593.95,11.66,2694.77,2.02,97.78,35.71,853.29,15.91,20.10,15.79,18.28,20.60,202603.00,50.89,21.55,-1.19,1.84
The Bombay Burmah,501425,BBTC,INE050A01025,Food Products,Packaged Foods,1496.10,8.63,10438.59,1.13,780.80,39.72,4817.99,6.62,33.00,6.78,7.31,9.43,202603.00,178.10,63.63,31.41,1.49
Vaibhav Global,532156,VAIBHAVGBL,INE884A01027,Consumer Durables,"Gems, Jewellery And Watches",230.90,14.50,3857.60,2.56,91.14,167.05,934.71,9.99,16.29,9.24,74.14,23.60,202603.00,15.93,5.46,35.78,2.35
Veedol Corporat,590005,VEEDOL,INE484C01030,Petroleum Products,Lubricants,1452.55,13.20,2530.93,3.73,57.46,-3.75,606.98,14.04,24.23,10.05,11.42,16.74,202603.00,109.97,32.98,18.69,2.45
Zensar Tech.,504067,ZENSARTECH,INE520A01027,IT - Software,Computers - Software & Consulting,506.75,14.55,11528.34,2.54,210.60,19.17,1450.40,6.73,23.54,7.70,26.54,12.17,202603.00,34.05,9.26,35.61,2.45
