Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
Asia Capital,538777,,INE131Q01011,Finance,Non Banking Financial Company (NBFC),69.09,152.57,21.36,0.00,0.01,-80.00,0.09,80.00,3.02,-52.63,-53.33,-95.00,202603.00,0.45,0.03,-11.21,-18.02,-11.21
Asian Star Co.,531847,ASTAR,INE194D01017,Consumer Durables,"Gems, Jewellery And Watches",650.00,25.74,1040.44,0.23,-0.42,91.07,745.97,-12.68,3.56,-2.49,-8.76,-22.81,202603.00,25.25,-0.25,-22.55,-13.66,-22.55
Asian Tea & Exp,519532,,INE822B01017,Commercial Services & Supplies,Trading & Distributors,9.94,,24.79,0.00,-0.06,-110.17,16.64,368.73,2.69,44.07,-139.29,-27.35,202512.00,-0.09,-0.02,-66.88,-13.08,-64.35
Auto Pins (I),531994,,INE706C01028,Auto Components,Auto Components & Equipments,211.00,446.00,120.42,0.00,0.03,-78.57,10.65,-21.05,6.77,-20.07,-18.18,-21.57,202603.00,0.47,0.05,-31.77,-6.29,-31.77
Available Fin.,531310,AVAILFC,INE325G01010,Finance,Other Financial Services,159.92,1.37,163.18,0.00,26.62,28.97,0.15,7.14,0.03,5.36,13.77,10.34,202512.00,117.13,26.09,-20.70,-6.17,-20.70
Axita Cotton,542285,AXITA,INE02EZ01022,Textiles & Apparels,Other Textile Products,8.21,165.35,314.17,0.00,-2.34,-25.81,61.03,-56.36,6.32,-43.25,216.67,-34.00,202603.00,0.05,-0.06,-51.79,-12.24,-51.87
Balaji Amines,530999,BALAMINES,INE050E01027,Chemicals & Petrochemicals,Specialty Chemicals,1775.60,34.41,5753.12,0.62,64.77,57.79,394.79,11.92,11.03,2.61,6.17,14.33,202603.00,51.60,19.51,-19.79,-15.31,-19.79
Balaxi Pharma,,BALAXI,INE618N01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,26.21,101.90,144.70,0.00,0.61,-92.94,70.71,-7.29,3.11,-7.65,-94.35,-73.59,202603.00,0.26,0.11,-69.46,-7.05,-68.62
Benara Bearings,541178,,INE495Z01011,Industrial Manufacturing,Industrial Products,10.45,,18.50,0.00,-7.60,65.25,2.67,-46.81,-13.10,-22.46,43.55,15.50,202509.00,-7.47,-4.29,-32.32,-25.00,-32.32
Beryl Drugs,524606,,INE415H01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,20.84,25.17,10.57,0.00,0.56,273.33,5.47,4.79,7.18,-8.70,-27.59,95.16,202603.00,0.83,1.10,-18.29,-10.39,-18.29
Best Agrolife,539660,BESTAGRO,INE052T01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,16.33,65.30,579.18,1.22,-37.24,-70.12,155.69,-43.25,5.16,-30.74,-87.31,-50.02,202603.00,0.25,-1.05,-64.12,-10.38,-64.13
Bhagawati Gas,500051,,INE099C01010,Chemicals & Petrochemicals,Industrial Gases,5.88,,9.84,0.00,-0.25,-112.25,0.00,-100.00,7.22,10.53,-265.89,14.80,202512.00,-1.28,-0.15,-44.07,-25.44,-44.07
Bharat Immunolog,524663,,INE994B01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,17.56,,75.82,0.00,-4.92,-59.74,0.00,-100.00,-9.27,-89.99,-42.40,-77.66,202309.00,-4.18,-1.14,-30.96,-12.61,-30.96
Birla Precision,522105,BIRLAPREC,INE372E01025,Industrial Manufacturing,Industrial Products,46.22,25.55,316.09,0.11,1.29,596.15,55.34,3.77,6.92,5.25,889.60,19.29,202512.00,1.84,0.19,-19.03,-5.60,-18.74
Bombay Talkies,511246,,INE910D01024,Entertainment,"Film Production, Distribution & Exhibition",3.89,,21.01,0.00,-0.04,0.00,0.02,-50.00,-3.68,0.00,-13.33,15.79,202603.00,-0.03,-0.01,-51.93,-37.35,-51.93
Capital India,530879,CIFL,INE345H01024,Finance,Non Banking Financial Company (NBFC),24.12,,943.23,0.08,-2.98,72.88,125.15,-10.18,0.86,-13.71,-3264.86,-67.94,202603.00,0.99,0.00,-15.84,-6.96,-16.24
Chandra Pr. Intl,530309,,INE368D01025,Commercial Services & Supplies,Trading & Distributors,14.32,81.06,39.72,0.00,5.99,5000.00,164.27,-45.32,4.49,-39.13,-79.24,-35.13,202603.00,1.05,2.16,-60.61,-6.07,-60.60
Chembond Materi.,530871,CHEMBOND,INE995D01025,Chemicals & Petrochemicals,Specialty Chemicals,166.40,16.12,223.78,1.05,3.48,-7.44,71.75,37.43,10.43,24.23,-11.37,32.65,202603.00,9.62,2.60,-16.47,-17.17,-16.47
Chemcon Special.,543233,CHEMCON,INE03YM01018,Chemicals & Petrochemicals,Specialty Chemicals,186.46,28.94,683.02,3.49,6.37,61.27,75.42,37.40,6.42,15.71,-3.40,-8.30,202603.00,6.44,1.74,-24.40,-7.47,-24.40
Chemcrux Enterp.,540395,,INE298W01016,Chemicals & Petrochemicals,Specialty Chemicals,90.44,35.91,133.93,1.11,1.85,780.95,24.28,54.45,7.40,15.20,0.54,20.80,202603.00,2.52,1.25,-35.76,-5.36,-35.76
Cindrella Fin.,531283,,INE897D01015,Finance,Non Banking Financial Company (NBFC),9.92,51.62,4.13,0.00,-0.06,-700.00,0.02,-33.33,0.46,-37.50,-57.89,-70.59,202603.00,0.19,-0.14,-62.93,-43.00,-62.93
