Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
IndiaNivesh,501700,,INE131H01028,Finance,Non Banking Financial Company (NBFC),7.26,,27.41,0.00,1.82,156.34,1.85,262.75,4.63,-53.21,-543.22,-127.50,202512.00,-2.34,0.48,-29.38,-17.08,-29.38
Inspire Films,,INSPIRE,INE0NDX01019,Entertainment,Media & Entertainment,10.85,39.92,14.77,0.00,2.10,256.72,3.22,-14.13,2.92,30.63,107.25,142.07,202603.00,0.27,1.54,-95.86,-40.76,-54.96
Jainam Ferro,,JAINAM,INE02KC01010,Ferrous Metals,Ferro & Silica Manganese,250.10,43.46,292.90,0.00,1.23,-47.21,97.40,-9.12,7.04,-7.13,-37.19,-40.82,202603.00,5.76,1.05,-36.05,-6.97,-33.81
Jalan Transol.,,JALAN,INE349X01015,Transport Services,Logistics Solution Provider,2.05,59.60,2.98,0.00,-0.03,100.34,1.35,419.23,,189.87,102.75,113.16,202603.00,0.01,-0.02,-41.52,-38.17,-41.52
Jindal Poly Inve,536773,JPOLYINVST,INE147P01019,Finance,Investment Company,1013.60,1.20,1065.29,0.00,702.05,2000.06,961.80,12230.77,12.83,2549.02,171.30,2249.30,202512.00,845.71,667.86,-20.97,-76.61,-20.97
JK Agri Genetics,536493,,INE690O01011,Agricultural Food & other Products,Other Agricultural Products,329.00,,152.56,0.00,-9.10,-574.07,22.96,-16.78,5.35,-2.60,7.65,124.90,202603.00,-15.46,-19.62,-10.37,-7.78,-10.37
JMD Ventures,511092,,INE047E01031,Entertainment,"Film Production, Distribution & Exhibition",5.84,54.35,16.85,0.00,-0.10,-158.82,0.15,-6.25,1.61,-83.90,-74.17,-111.11,202603.00,0.11,-0.03,-50.13,-54.26,-50.13
JSW Holdings,532642,JSWHL,INE824G01012,Finance,Investment Company,13177.00,98.52,14626.47,0.00,13.54,37.24,33.14,12.49,0.51,-27.67,-24.19,-29.32,202603.00,132.12,12.20,-23.49,-23.87,-23.49
Jupiter Info.,534623,,INE524N01014,Retailing,Internet & Catalogue Retail,59.69,1196.20,59.81,0.00,-0.74,56.02,-0.08,-123.53,1.50,25.93,-97.86,-22.17,202603.00,0.05,-0.73,-74.91,-23.85,-74.91
Kachchh Minerals,531778,,INE059E01010,Minerals & Mining,Industrial Minerals,29.47,,15.62,0.00,-0.06,14.29,0.00,,2.28,-100.00,-444.44,-955.56,202512.00,-1.85,-0.11,-51.00,-37.18,-51.00
Kakatiya Textile,521054,,INE092E01011,Textiles & Apparels,Other Textile Products,9.67,,5.62,0.00,-2.09,-689.66,8.19,2.25,19.03,277.46,-47.58,-34.94,202512.00,-2.29,-3.60,-24.95,-7.27,-24.95
Kanchi Karpooram,538896,KANCHI,INE081G01019,Chemicals & Petrochemicals,Commodity Chemicals,364.50,30.68,158.33,0.27,0.65,-15.58,39.23,16.37,3.91,-2.45,-63.87,-58.31,202603.00,11.88,1.50,-28.42,-10.38,-28.42
Karma Energy Ltd,533451,KARMAENG,INE725L01011,Power,Power Generation,45.73,220.46,52.91,0.00,-0.82,-373.33,0.88,-6.38,-3.77,12.18,-68.42,-570.49,202603.00,0.91,-0.71,-55.91,-8.67,-55.91
Kay Power &Paper,530255,,INE961B01013,"Paper, Forest & Jute Products",Paper & Paper Products,10.53,36.43,36.79,0.00,1.06,10.42,4.89,-59.79,1.54,-37.81,-9.82,1664.29,202603.00,0.29,0.30,-39.80,-16.38,-10.53
KCK Industries,,KCK,INE0J1E01027,Agricultural Food & other Products,Other Agricultural Products,13.90,163.72,88.41,0.00,0.03,-86.36,8.11,-44.15,4.26,-49.74,-68.60,-91.37,202509.00,0.08,0.00,-59.16,-19.78,-39.94
KEN Fin.Serv.,530547,,INE395E01018,Finance,Non Banking Financial Company (NBFC),14.27,9.95,4.28,0.00,0.22,2100.00,0.15,-11.76,6.36,66.67,437.50,-1531.03,202603.00,1.43,0.73,-11.48,-49.64,-11.48
Khadim India,540775,KHADIM,INE834I01025,Consumer Durables,Footwear,101.73,44.73,186.96,0.00,0.77,-86.10,83.56,-10.92,6.87,-12.18,-22.59,-29.96,202603.00,1.71,0.42,-35.85,-17.77,-35.38
Kiri Industries,532967,KIRIINDUS,INE415I01015,Chemicals & Petrochemicals,Dyes And Pigments,412.00,,2684.92,0.00,5022.79,-107.76,173.59,-2.82,10.52,-1.23,-120.18,-91.06,202512.00,826.57,836.69,-14.80,-20.93,-12.77
KKalpana Inds.,526409,,INE301C01028,Chemicals & Petrochemicals,Specialty Chemicals,6.98,83.11,65.66,0.00,0.03,-91.18,9.80,-0.31,2.03,-7.75,154.48,-34.04,202603.00,0.08,0.00,-25.36,-48.42,-25.36
KMG Milk Food,519415,,INE873N01015,Food Products,Packaged Foods,50.00,663.00,26.52,0.00,-0.12,73.91,0.00,-100.00,9.55,-30.72,108.70,71.25,202603.00,0.08,-0.23,-47.09,-29.33,-47.09
Kuantum Papers,532937,KUANTUM,INE529I01021,"Paper, Forest & Jute Products",Paper & Paper Products,75.58,15.72,659.54,3.97,14.34,-45.10,300.94,8.51,5.19,-1.25,-64.35,-34.43,202603.00,4.81,1.64,-38.27,-5.84,-38.27
Laffans Petroch,524522,,INE919B01011,Chemicals & Petrochemicals,Trading - Chemicals,30.62,59.76,24.50,0.00,-3.26,-33.61,1.89,46.51,0.40,-39.46,-61.32,7.14,202603.00,0.51,-4.07,-13.34,-33.32,-13.34
Lak. Electrical,504258,,INE284C01018,Electrical Equipment,Other Electrical Equipment,798.00,163.59,196.31,0.50,1.19,-55.93,68.47,17.85,0.82,11.90,-67.91,-77.02,202603.00,4.84,4.84,-60.81,-13.00,-60.81
Lak. Prec. Screw,506079,LAKPRE,INE651C01018,Auto Components,Auto Components & Equipments,5.65,,6.18,0.00,-12.66,30.21,51.35,-16.37,0.28,-6.06,50.33,108.09,201712.00,-30.30,-11.57,-18.06,-9.65,-18.06
Lancer Containe.,539841,LANCER,INE359U01028,Transport Services,Logistics Solution Provider,10.05,63.06,355.03,0.00,10.90,133.60,138.87,17.97,1.95,-43.64,266.57,-96.34,202603.00,0.16,0.31,-61.64,-22.21,-52.38
Link Pharma Chem,524748,,INE302F01011,Chemicals & Petrochemicals,Commodity Chemicals,28.00,155.38,12.43,0.00,-0.41,-17.14,6.59,2.17,3.48,7.86,107.77,1015.38,202603.00,0.18,-0.92,-48.03,-10.89,-48.03
LMW,500252,LMW,INE269B01029,Industrial Manufacturing,Industrial Products,15709.00,119.69,16781.92,0.19,63.69,33.86,933.16,16.12,6.91,6.49,68.54,19.21,202603.00,122.37,59.62,-26.70,-12.08,-26.70
M R P L,500109,MRPL,INE103A01014,Petroleum Products,Refineries & Marketing,144.96,13.20,25405.67,2.76,116.99,-68.43,23949.69,-2.63,17.69,-6.35,3186.51,170.36,202603.00,10.98,0.67,-10.28,-6.66,-10.28
Madala Holdings,532344,,INE002B01016,Realty,Real Estate related services,190.00,103.51,280.51,0.00,-7.21,-441.71,3.59,10.80,4.42,8.08,-65.26,10.59,202603.00,1.83,-4.87,-19.33,-24.13,-22.67
Madras Fertilize,590134,MADRASFERT,INE414A01015,Fertilizers & Agrochemicals,Fertilizers,67.36,12.47,1085.18,0.00,20.89,153.30,699.21,26.09,14.82,-9.50,35.40,-13.45,202603.00,4.99,1.30,-22.28,-12.61,-22.28
Manaksia,532932,MANAKSIA,INE015D01022,Industrial Products,Iron & Steel Products,63.66,7.97,417.19,0.00,12.49,-9.03,236.68,-11.87,10.63,7.26,24.74,-23.80,202603.00,7.99,1.80,-10.21,-12.38,-10.21
Marinetrans Indi,,MARINETRAN,INE0P1P01017,Transport Services,Logistics Solution Provider,15.90,33.72,20.23,0.00,0.29,11.54,70.44,-10.79,5.32,-19.12,20.00,-13.98,202603.00,0.47,0.23,-36.23,-5.37,-27.12
Meghmani Organi.,543331,MOL,INE0CT101020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,48.78,43.16,1240.54,0.00,8.03,-59.49,474.34,-14.30,6.67,4.53,336.93,22.31,202603.00,1.13,0.32,-49.51,-5.21,-49.51
Milton Industri.,,MILTON,INE376Y01016,Consumer Durables,Plywood Boards/ Laminates,40.50,38.24,68.83,0.00,1.12,55.56,24.40,11.31,5.98,5.07,50.00,66.17,202603.00,1.06,0.66,-14.40,-8.68,-14.40
Miven Mach. Tool,522036,,INE338P01014,Industrial Manufacturing,Industrial Products,96.50,,28.98,0.00,0.03,118.75,0.17,,,,27.87,28.77,202603.00,-1.46,0.10,-44.97,-44.97,-44.97
MKVentures Cap.,514238,,INE874A01010,Finance,Investment Company,955.55,34.61,367.26,0.03,0.47,108.87,2.28,-20.83,13.23,-35.25,11.80,-19.32,202603.00,27.61,1.22,-13.79,-13.25,-13.46
MMTC,513377,MMTC,INE123F01029,Commercial Services & Supplies,Trading & Distributors,64.88,97.29,9732.00,0.00,126.04,1461.46,0.61,190.48,8.66,20.51,2.50,-32.80,202603.00,2.58,0.84,-31.45,-92.63,-31.45
Morarka Finance,511549,,INE367A01015,Finance,Non Banking Financial Company (NBFC),54.10,17.03,24.35,1.85,0.10,-80.77,0.06,-82.35,1.58,-11.55,-48.93,-14.36,202603.00,3.18,0.22,-32.65,-27.64,-32.65
N K Industries,519494,NKIND,INE542C01019,Agricultural Food & other Products,Edible Oil,66.20,,39.79,0.00,-0.09,96.62,2.77,-39.52,,-19.49,-1.97,33.71,202603.00,-6.02,-0.15,-57.93,-9.96,-57.93
NACL Industries,524709,NACLIND,INE295D01020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,157.65,216.97,3692.85,0.00,-0.86,98.91,360.95,79.19,8.08,28.35,114.09,264.92,202603.00,0.20,-0.04,-43.99,-9.19,-43.73
Nahar Capital,532952,NAHARCAP,INE049I01012,Finance,Investment Company,254.75,6.76,426.61,0.59,18.19,-14.24,7.83,135.14,5.03,-39.97,26.76,-59.59,202603.00,37.70,10.86,-16.05,-5.77,-16.05
Nalwa Sons Invst,532256,NSIL,INE023A01030,Finance,Investment Company,5602.00,52.81,2879.43,0.00,5.51,121.44,27.38,122.96,0.48,-19.27,16.72,18.29,202603.00,106.13,10.71,-15.67,-8.85,-15.67
Narendra Prop.,531416,,INE603F01012,Realty,"Residential, Commercial Projects",37.84,13.65,26.89,2.64,0.01,-97.14,0.00,-100.00,6.93,-13.32,114.13,-102.56,202603.00,2.77,0.01,-22.91,-17.15,-22.91
National Perox.,544205,,INE0PO601011,Chemicals & Petrochemicals,Commodity Chemicals,580.75,29.07,333.76,0.00,7.93,222.19,85.68,16.26,4.42,0.99,925.90,90.42,202603.00,19.21,13.80,,-8.41,-27.20
Natl. Plywood,516062,,INE497C01016,"Paper, Forest & Jute Products",Forest Products,2.80,,6.90,0.00,-0.55,-184.62,2.11,-79.37,,11.09,-180.85,-590.41,201912.00,-0.77,-0.22,,-8.97,-44.23
Natl.Fertilizer,523630,NFL,INE870D01012,Fertilizers & Agrochemicals,Fertilizers,76.00,17.63,3728.41,2.05,151.54,12.43,4347.19,-2.45,9.09,8.67,23.90,35.50,202603.00,4.31,3.09,-22.72,-10.08,-22.72
Netlink Solns(I),509040,,INE040F01033,IT - Software,Software Products,192.80,24.02,48.76,0.00,-0.02,98.97,0.01,0.00,6.09,-80.00,-53.76,34.17,202603.00,8.03,-0.08,-24.30,-71.19,-24.30
NOCIL,500730,NOCIL,INE163A01018,Chemicals & Petrochemicals,Specialty Chemicals,168.13,47.14,2808.19,1.19,17.00,-18.23,330.35,-2.75,4.66,-6.44,-42.09,-26.66,202603.00,3.33,1.02,-26.26,-6.94,-26.20
Objectone Inform,535657,,INE860E01011,IT - Software,Computers - Software & Consulting,7.29,85.11,7.66,0.00,0.52,116.67,4.34,-13.55,2.99,-19.53,-89.02,-59.24,202603.00,0.09,0.49,-62.00,-13.04,-62.00
Ola Electric,544225,OLAELEC,INE0LXG01040,Automobiles,2/3 Wheelers,41.49,,18300.53,0.00,-500.00,42.53,265.00,-56.63,-19.56,-50.09,18.61,43.98,202603.00,-4.16,-1.13,12.35,-5.04,-11.72
Ortel Commu.,539015,ORTEL,INE849L01019,Entertainment,TV Broadcasting & Software Production,1.60,,5.28,0.00,-9.31,-278.46,10.47,-42.41,-13.42,-27.55,-9.34,-18.72,202106.00,-8.74,-2.82,-8.34,-28.25,-12.54
Pacific Inds,523483,,INE883C01025,Consumer Durables,Granites & Marbles,136.85,47.40,94.33,0.00,0.37,-83.98,38.53,-35.36,1.09,-36.65,-73.40,-32.84,202603.00,2.89,0.54,-32.36,-6.13,-32.36
Paramount Cosmet,507970,,INE143I01013,Personal Products,Personal Care,35.50,344.80,17.24,0.00,-0.05,-150.00,2.79,-53.34,7.94,4.96,66.67,53.54,202603.00,0.10,-0.10,-38.02,-7.15,-38.02
Parvati Sweetner,541347,,INE295Z01015,Agricultural Food & other Products,Sugar,7.29,,108.73,0.00,-3.73,-178.36,0.06,-98.45,2.18,-81.80,-1716.67,-137.91,202512.00,-0.58,-0.25,-20.86,-9.12,-20.86
Paul Merchants,539113,PML,INE291E01019,Finance,Other Financial Services,539.85,18.24,166.49,0.00,2.29,225.07,482.12,-17.23,2.54,-37.85,110.64,-123.20,202603.00,871.40,7.43,-40.73,-33.38,-40.83
PBM Polytex,514087,,INE501F01018,Textiles & Apparels,Other Textile Products,56.97,,39.19,0.00,-1.37,-226.19,47.96,-3.62,-1.35,-5.50,73.61,-70.34,202603.00,-2.28,-1.99,-11.56,-6.27,-11.56
PNC Infratech,539150,PNCINFRA,INE195J01029,Construction,Civil Construction,204.80,11.73,5253.92,0.29,107.76,35.08,1616.98,-5.11,8.46,-20.69,-42.27,-44.98,202603.00,32.42,4.20,-11.27,-12.29,-11.27
Prabha Energy,544379,PRABHA,INE0I0M01023,Oil,Oil Exploration & Production,157.13,3774.04,2151.20,0.00,0.10,111.24,1.44,41.18,0.10,54.68,139.31,63.98,202603.00,0.03,0.01,,-43.26,-39.31
Prashant India,519014,,INE100E01012,Textiles & Apparels,Other Textile Products,21.00,,8.90,0.00,-2.67,-2866.67,0.01,-80.00,-13.33,-46.88,-880.00,-38.10,202512.00,17.14,-6.30,-12.64,-52.71,-12.64
Prerna Infra.,531802,,INE426H01014,Realty,"Residential, Commercial Projects",25.43,28.35,91.87,0.00,1.39,1350.00,0.14,-96.78,3.84,-9.36,147.33,-71.43,202603.00,0.90,0.40,-30.82,-19.50,-30.81
Primo Chemicals,506852,PRIMO,INE607A01022,Chemicals & Petrochemicals,Commodity Chemicals,23.02,36.01,557.87,0.00,6.07,1580.49,144.86,-6.79,6.48,2.22,348.99,-0.06,202603.00,0.63,0.25,-51.69,-7.11,-51.69
Priti Internati.,,PRITI,INE974Z01015,Consumer Durables,"Furniture, Home Furnishing",43.51,64.56,58.10,0.00,0.17,-79.76,6.03,-62.00,1.76,-66.60,-79.21,-119.07,202603.00,0.67,0.13,-52.76,-32.27,-50.52
Prolife Indust.,,PROLIFE,INE994V01012,Chemicals & Petrochemicals,Dyes And Pigments,57.00,5.49,23.34,0.53,2.76,200.00,25.77,-10.49,12.17,-1.50,-9.19,-27.82,202603.00,10.38,6.74,-14.96,-11.31,-14.96
Quadpro ITeS,,QUADPRO,INE0GOJ01027,IT - Services,IT Enabled Services,2.15,51.76,10.87,0.00,-0.02,-108.33,3.29,-10.60,2.05,-17.96,-67.19,-50.37,202603.00,0.04,0.00,-35.43,-9.37,-35.43
Raasi Refractor,502271,,INE858D01017,Industrial Manufacturing,Industrial Products,13.75,1.43,6.48,0.00,-2.08,8.77,18.31,732.27,13.63,53.64,307.34,558.14,202512.00,9.61,-4.41,-57.23,-17.18,-57.23
Rain Industries,500339,RAIN,INE855B01025,Chemicals & Petrochemicals,Petrochemicals,188.07,20.97,6325.73,0.53,157.87,188.19,4520.73,19.98,8.26,14.39,154.25,87.00,202603.00,8.97,3.61,-69.07,-6.92,-69.07
Raj Television,532826,RAJTV,INE952H01027,Entertainment,TV Broadcasting & Software Production,17.10,112.37,88.77,0.00,0.22,104.91,21.32,-1.89,2.63,-44.33,103.76,121.61,202603.00,0.15,0.04,-10.17,-6.17,-10.17
Ram Info,530951,,INE357B01022,IT - Services,IT Enabled Services,45.79,20.16,37.50,0.00,0.11,-76.79,10.08,125.00,4.69,102.25,4.49,80.16,202603.00,2.27,0.16,-37.85,-20.09,-33.59
Ranjeet Mechatr.,541945,,INE01A501027,Construction,Civil Construction,6.30,76.36,25.20,0.00,-0.06,-103.82,14.26,85.44,5.45,170.06,-50.75,-26.48,202603.00,0.08,-0.02,-32.56,-8.25,-22.54
Raymond,500330,RAYMOND,INE301A01014,Realty,"Residential, Commercial Projects",540.40,13.21,3597.64,0.00,11.93,-89.28,602.91,8.15,3.95,13.63,-96.42,75.24,202603.00,801.99,0.17,-23.22,-35.42,-23.22
Rossell India,533168,ROSSELLIND,INE847C01020,Agricultural Food & other Products,Tea & Coffee,55.11,12.92,207.75,0.73,-23.79,-7.94,16.58,82.60,9.08,24.59,-18.71,-4.37,202603.00,4.21,-6.31,-16.27,-13.83,-16.27
RRIL,531307,RRIL,INE951M01037,Textiles & Apparels,Other Textile Products,19.96,27.91,241.94,0.00,2.94,46.27,27.40,-10.19,9.79,8.11,27.13,24.34,202603.00,0.72,0.24,-14.27,-7.57,-14.27
Ruchira Papers,532785,RUCHIRA,INE803H01014,"Paper, Forest & Jute Products",Paper & Paper Products,116.87,7.90,348.80,4.28,9.53,-48.21,182.01,12.57,11.06,-1.58,-34.44,-24.54,202603.00,14.79,3.19,-13.25,-6.85,-13.25
Sahara Housing,511533,,INE135C01012,Finance,Housing Finance Company,39.13,80.56,27.39,0.00,0.07,-65.00,1.87,-13.02,2.87,-16.94,-47.69,-38.80,202603.00,0.49,0.10,-37.90,-13.85,-37.90
Sahara Maritime,544056,,INE0PSJ01011,Transport Services,Logistics Solution Provider,19.15,7.54,5.88,0.00,0.84,47.37,11.14,-36.16,8.46,-27.69,225.00,58.23,202603.00,2.54,2.74,-20.90,-11.24,-11.88
Sakuma Exports,532713,SAKUMA,INE190H01024,Commercial Services & Supplies,Trading & Distributors,2.00,32.97,313.54,0.00,6.52,44.89,714.68,-2.32,1.74,-25.39,-16.14,-48.24,202603.00,0.06,0.04,-27.87,-18.65,-27.87
Salora Intl.,500370,,INE924A01013,Commercial Services & Supplies,Trading & Distributors,29.03,,25.58,0.00,-2.87,-133.33,11.12,-78.91,-1.13,-59.66,-27.07,-113.95,202603.00,-4.62,-3.26,-11.21,-19.22,-11.21
Sanblue Corp.,521222,,INE602D01027,Textiles & Apparels,Trading - Textile Products,34.36,90.42,17.18,0.00,-0.07,-250.00,0.86,-48.50,0.41,91.02,-42.42,3.12,202603.00,0.38,-0.14,-34.94,-5.50,-34.94
Sangal Papers,516096,,INE384D01022,"Paper, Forest & Jute Products",Paper & Paper Products,156.75,8.66,20.53,0.00,0.92,113.95,36.72,-21.56,7.72,-0.49,-21.78,-18.18,202603.00,18.13,7.04,-11.16,-7.43,-11.16
Sanmit Infra,532435,,INE799C01049,Petroleum Products,Refineries & Marketing,64.80,51.71,102.39,0.00,1.65,3.77,32.31,-29.64,7.65,-26.13,26.92,138.72,202603.00,1.25,1.04,-27.38,-9.51,-27.38
Sanofi India,500674,SANOFI,INE058A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,3097.10,21.69,7132.62,2.42,102.60,-14.14,472.30,-11.87,57.51,-12.98,-13.44,-12.06,202603.00,134.70,44.61,-13.00,-12.79,-13.00
Sarthak Metals,540393,SMLT,INE017W01010,Industrial Products,Iron & Steel Products,73.58,21.85,100.73,0.68,1.49,122.39,61.99,28.93,5.61,7.75,12.17,13.34,202603.00,3.37,1.09,-46.52,-22.21,-46.52
Satia Industries,539201,SATIA,INE170E01023,"Paper, Forest & Jute Products",Paper & Paper Products,57.50,14.06,575.00,0.70,5.80,-83.63,389.56,-1.79,3.94,-3.51,-65.25,-53.68,202603.00,4.09,0.58,-40.28,-8.26,-40.28
Semac Construct,505368,SEMAC,INE617A01013,Construction,Civil Construction,303.95,13.21,94.75,0.00,4.53,392.71,74.87,2.14,10.00,40.42,219.30,294.67,202603.00,23.00,15.17,-25.79,-9.28,-25.65
Seshachal Tech.,531794,,INE331F01028,IT - Software,Software Products,95.30,331.00,6.62,0.00,-0.09,0.00,5.55,302.17,1.58,90.65,-89.47,-84.62,202603.00,0.29,-1.30,-59.89,-42.38,-59.89
Seshasayee Paper,502450,SESHAPAPER,INE630A01024,"Paper, Forest & Jute Products",Paper & Paper Products,233.85,17.87,1474.85,0.86,26.05,-3.77,591.84,17.81,5.60,-2.50,-24.40,-13.90,202603.00,13.09,4.13,-40.70,-6.35,-40.70
Sh. Ganesh Elas.,530797,,INE400N01017,Commercial Services & Supplies,Trading & Distributors,18.95,,10.43,0.00,0.04,102.19,2.53,75.69,-10.84,-75.75,67.35,69.92,202603.00,-0.87,0.07,-18.29,-26.89,-18.29
Shankara Building,540425,SHANKARA,INE274V01019,Retailing,Speciality Retail,121.02,73.37,293.47,2.48,7.35,-74.17,340.50,-79.23,2.73,-76.06,-94.83,-86.10,202603.00,1.59,3.04,-60.90,-30.31,-60.11
Shree Ganesh Bio,539470,,INE051N01026,Pharmaceuticals & Biotechnology,Biotechnology,0.62,65.03,24.71,0.00,-0.15,84.21,2.12,-29.57,0.80,-78.35,35.71,8.57,202603.00,0.01,0.00,-42.89,-56.99,-42.89
Shreyans Inds.,516016,SHREYANIND,INE231C01019,"Paper, Forest & Jute Products",Paper & Paper Products,145.45,31.07,201.01,2.06,-10.48,-156.77,167.70,-6.35,2.48,0.98,-87.34,-77.14,202603.00,4.68,-7.58,-55.46,-10.39,-55.46
Shri Hare-Krish.,,SHKSIL,INE0NON01025,Ferrous Metals,Sponge Iron,43.90,13.59,84.25,0.00,1.55,-64.85,27.21,-35.63,7.76,-17.19,-32.61,-40.06,202603.00,3.23,0.81,-64.88,-10.91,-16.19
Siyaram Recycli.,544047,,INE0QSK01017,Industrial Products,Other Industrial Products,37.00,21.27,80.62,0.00,0.71,-89.70,149.84,-43.65,7.34,-29.26,-74.04,-37.36,202603.00,1.74,0.33,-30.52,-9.76,-19.11
SKF India,500472,SKFINDIA,INE640A01023,Industrial Products,Abrasives & Bearings,1639.80,51.22,8106.84,0.88,-20.23,-128.78,594.54,20.68,13.32,-56.71,-72.03,-66.70,202603.00,53.85,-4.10,-32.92,-20.91,-32.92
Smart Finsec,539494,,INE766D01020,Finance,Non Banking Financial Company (NBFC),8.67,26.54,26.01,0.00,0.17,-15.00,0.50,13.64,8.41,-16.88,-16.24,-13.38,202603.00,0.33,0.06,-11.42,-59.99,-11.42
Solve Plastic,,BALCO,INE0U0201016,Industrial Products,Plastic Products - Industrial,20.40,20.25,8.91,0.00,0.02,100.70,23.76,11.13,7.89,9.94,109.19,152.15,202603.00,1.01,0.05,-35.70,-8.09,-27.40
South. Magnesium,513498,,INE308N01012,Minerals & Mining,Industrial Minerals,79.30,183.00,23.79,0.00,0.06,185.71,0.90,11.11,3.65,-72.97,-95.94,-99.49,202603.00,0.43,0.20,-66.73,-26.81,-66.73
Spinaroo Comm.,544392,,INE10XX01012,"Paper, Forest & Jute Products",Paper & Paper Products,59.99,77.70,41.96,0.00,0.09,-89.02,19.90,8.74,6.27,-0.10,-62.50,-50.85,202603.00,0.77,0.13,-56.38,-9.58,-16.57
SPL Industries,532651,SPLIL,INE978G01016,Textiles & Apparels,Trading - Textile Products,32.28,13.26,93.61,0.00,3.96,34.69,23.28,-24.22,3.68,-50.12,20.89,-310.57,202603.00,2.43,1.37,-33.35,-37.49,-33.35
Star Paper Mills,516022,STARPAPER,INE733A01018,"Paper, Forest & Jute Products",Paper & Paper Products,137.43,6.55,214.53,2.55,-1.29,-125.75,112.59,-1.31,5.03,-6.05,-16.62,-49.82,202603.00,20.98,-0.83,-23.78,-5.94,-23.78
Sterlite Tech.,532374,STLTECH,INE089C01029,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,536.15,549.51,26173.11,0.00,59.00,744.40,1441.00,36.98,7.75,18.74,137.80,36.78,202603.00,1.15,1.21,-35.04,-11.84,-30.50
Stovec Inds.,504959,,INE755D01015,Industrial Manufacturing,Industrial Products,1691.50,59.12,353.52,0.71,1.66,-35.66,46.69,-4.83,7.52,-12.49,-44.58,-50.46,202603.00,28.64,7.95,-27.92,-5.65,-27.92
Suncare Traders,539526,,INE452S01025,Commercial Services & Supplies,Trading & Distributors,0.49,18.94,12.50,0.00,-1.32,-560.00,0.34,-46.88,2.15,,29.41,263.93,202603.00,0.03,-0.05,-21.77,-25.24,-10.15
Sunil Healthcare,537253,,INE671C01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,63.50,15.84,65.12,0.00,1.52,355.56,19.72,-6.98,6.52,5.15,411.36,23.26,202603.00,3.91,1.48,-14.65,-7.40,-14.65
Superior Finleas,539835,,INE574R01028,Finance,Non Banking Financial Company (NBFC),2.15,129.00,6.45,0.00,0.02,125.00,0.11,10.00,0.12,-46.88,400.00,80.00,202603.00,0.02,0.01,-46.69,-32.79,-46.69
Supreme Holdings,530677,SUPREME,INE822E01011,Realty,"Residential, Commercial Projects",46.15,457.33,178.36,0.00,-0.09,95.27,2.25,1223.53,0.11,-94.25,-96.22,-127.58,202603.00,0.10,-0.02,-68.49,-62.65,-67.58
Supreme Infra.,532904,SUPREMEINF,INE550H01011,Construction,Civil Construction,83.38,,812.98,0.00,-49.22,86.46,29.62,314.27,,1.36,28.89,81.64,202512.00,346.12,-5.09,-30.97,-21.41,-30.97
Suraj,531638,SURAJLTD,INE713C01016,Industrial Products,Iron & Steel Products,224.37,55.16,412.04,0.67,2.52,142.57,43.43,-26.08,7.65,-11.93,-41.55,-43.02,202603.00,4.07,1.37,-28.13,-17.50,-28.13
Suryaamba Spinni,533101,,INE360J01011,Textiles & Apparels,Other Textile Products,119.00,11.33,34.89,0.84,0.72,-9.52,47.54,-13.81,8.22,-3.56,165.52,3.73,202603.00,10.37,2.46,-27.25,-5.88,-27.25
Swadeshi Polytex,503816,,INE243N01029,Textiles & Apparels,Other Textile Products,34.38,32.08,134.08,0.00,0.92,284.00,0.00,-100.00,4.47,-97.50,84.96,19.43,202603.00,1.07,0.24,-50.69,-93.91,-50.69
T & I Global,522294,,INE811B01010,Industrial Manufacturing,Industrial Products,163.05,18.00,82.63,0.00,2.56,383.02,25.01,26.50,2.27,20.21,56.66,-47.40,202512.00,14.40,5.05,-38.74,-6.57,-38.74
Tai Industries,519483,,INE358D01018,Commercial Services & Supplies,Trading & Distributors,27.98,167.90,16.79,0.00,0.04,0.00,61.60,2.94,0.83,-43.36,-90.91,-397.06,202603.00,0.17,0.07,-72.11,-14.76,-72.11
Tarmat,532869,TARMAT,INE924H01018,Construction,Civil Construction,51.76,33.70,129.73,0.00,1.13,232.35,27.31,4.48,1.55,33.91,145.22,108.85,202512.00,1.58,0.45,-41.45,-17.60,-32.64
Teamo Production,533048,TPHQ,INE065J01024,Construction,Civil Construction,0.52,570.00,57.00,0.00,-6.24,-4900.00,15.19,-3.98,0.35,73.38,-97.04,-447.68,202603.00,0.00,-0.06,-69.90,-48.87,-67.38
Technopack Poly.,543656,,INE0MXP01015,Consumer Durables,Plastic Products - Consumer,12.25,10.93,13.23,0.00,0.81,-6.90,4.50,-44.03,7.81,-50.64,-29.65,-24.38,202603.00,1.12,0.75,-19.16,-9.53,-19.16
