Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
Star Paper Mills,516022,STARPAPER,INE733A01018,"Paper, Forest & Jute Products",Paper & Paper Products,163.55,8.25,255.31,1.53,11.01,-14.05,103.46,2.27,4.18,-2.69,-22.70,-54.98,202606.00,19.84,7.05,-29.98,-5.94,-29.98
Sterlite Tech.,532374,STLTECH,INE089C01029,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,854.95,186.04,43949.34,0.00,197.00,1870.00,1910.00,87.44,7.65,36.18,1489.53,72.71,202606.00,4.98,4.04,-46.59,-11.84,-42.86
Stovec Inds.,504959,,INE755D01015,Industrial Manufacturing,Industrial Products,1611.00,61.56,336.71,0.75,2.45,-17.23,52.77,-7.01,7.52,-12.53,-46.16,-41.21,202606.00,26.20,11.73,-27.92,-5.65,-27.92
Sunil Healthcare,537253,SUNLOC,INE671C01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,76.00,21.12,77.94,0.00,0.46,-49.45,18.99,-16.12,6.52,-0.58,1950.00,9.81,202606.00,3.48,0.45,-14.65,-7.40,-14.65
Superior Finleas,539835,,INE574R01028,Finance,Non Banking Financial Company (NBFC),1.65,165.00,4.95,0.00,-0.04,0.00,0.09,12.50,0.12,-26.53,160.00,400.00,202606.00,0.01,-0.01,-46.69,-32.79,-46.69
Suraj,531638,SURAJLTD,INE713C01016,Industrial Products,Iron & Steel Products,196.00,40.22,359.94,0.77,3.24,109.03,39.03,-22.47,7.10,-15.18,-1.10,-26.64,202606.00,4.87,1.76,-31.19,-17.50,-31.19
Suryaamba Spinni,533101,,INE360J01011,Textiles & Apparels,Other Textile Products,120.00,18.32,35.18,0.83,-0.55,-190.16,49.27,-6.21,8.20,-6.07,20.75,-19.72,202606.00,6.41,-1.88,-27.41,-5.88,-27.41
Swadeshi Polytex,503816,,INE243N01029,Textiles & Apparels,Other Textile Products,36.83,33.40,143.64,0.00,0.92,8.24,0.00,,1.33,-97.50,86.96,22.35,202606.00,1.09,0.24,-93.41,-93.91,-93.41
Tai Industries,519483,,INE358D01018,Commercial Services & Supplies,Trading & Distributors,27.75,,16.65,0.00,-0.43,,35.44,39.64,1.53,-23.19,-135.05,-227.78,202606.00,-0.57,-0.72,-71.21,-14.91,-71.21
Teamo Production,533048,TPHQ,INE065J01024,Construction,Civil Construction,0.52,9.73,57.01,0.00,6.47,811.27,33.68,19.14,0.35,-43.77,108.54,262.65,202606.00,0.05,0.06,-69.90,-48.87,-67.38
Technopack Poly.,543656,,INE0MXP01015,Consumer Durables,Plastic Products - Consumer,11.05,9.86,11.93,0.00,0.81,-6.90,4.50,-44.03,7.81,-50.64,-29.65,-24.38,202603.00,1.12,0.75,-19.16,-9.53,-19.16
TGV Sraac,507753,TGVSL,INE284B01028,Chemicals & Petrochemicals,Commodity Chemicals,104.30,8.04,1116.95,0.95,45.42,17.20,543.08,10.62,12.96,7.60,18.18,27.94,202606.00,12.94,4.24,-28.87,-5.70,-28.87
Thakkers Develp.,526654,THAKDEV,INE403F01017,Realty,"Residential, Commercial Projects",128.15,8.43,115.34,0.00,10.05,583.67,18.38,104.45,4.55,20.75,64.94,58.86,202606.00,15.18,11.17,-31.86,-15.65,-31.86
Thinkink Picture,539310,,INE365S01045,Media,Advertising & Media Agencies,0.19,44.30,27.02,0.00,-0.21,-139.62,0.00,-100.00,1.16,-84.31,74.29,11.48,202606.00,0.00,0.00,-32.64,-53.88,-32.64
TransIndia Real,543955,TREL,INE0O3901029,Transport Services,Logistics Solution Provider,26.30,16.89,646.19,1.90,11.48,12.33,21.85,4.25,2.92,0.71,21.01,-1.67,202606.00,1.67,0.47,,-14.99,-17.25
Transpek Inds.,506687,TRANSPEK,INE687A01016,Chemicals & Petrochemicals,Commodity Chemicals,1296.50,18.56,724.17,1.54,8.93,-42.68,151.06,-2.06,8.37,-5.24,-29.13,-12.89,202606.00,69.82,15.99,-18.38,-9.09,-18.38
Tranway21 Tech.,542923,,INE0BIW01023,IT - Software,Computers - Software & Consulting,5.08,59.78,5.38,0.00,-0.66,-214.29,2.15,-16.99,1.41,-24.96,150.00,-381.82,202603.00,0.08,-0.62,-23.37,-18.69,-23.37
TRF,505854,TRF,INE391D01019,Industrial Manufacturing,Industrial Products,212.10,44.52,233.31,0.00,1.88,-46.44,26.03,11.14,9.42,-17.73,-78.45,-75.27,202606.00,-5.54,1.71,-62.27,-21.70,-62.27
Trigyn Techno.,517562,TRIGYN,INE948A01012,IT - Software,Computers - Software & Consulting,54.00,15.28,166.25,0.00,3.49,177.75,252.76,12.59,2.29,14.33,1352.00,35.84,202606.00,3.27,1.13,-60.67,-8.45,-60.67
Tuticorin Alkali,506808,TUTIALKA,INE400A01014,Chemicals & Petrochemicals,Commodity Chemicals,59.79,21.77,728.46,0.00,6.73,-31.88,80.71,5.99,22.18,9.25,-6.74,-20.11,202606.00,2.75,0.55,-28.73,-12.89,-28.73
TV Vision,540083,TVVISION,INE871L01013,Entertainment,TV Broadcasting & Software Production,2.67,,10.34,0.00,-3.64,29.87,0.24,-96.83,,-82.53,-32.14,-61.07,202606.00,-8.96,-0.99,-35.27,-41.66,-35.27
Tyche Industries,532384,,INE443B01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,109.80,25.29,112.54,3.17,-0.04,-101.65,9.10,-28.35,6.83,-21.02,-64.74,-112.38,202606.00,4.34,-0.04,-21.34,-10.73,-21.34
Udayshivakumar,543861,USK,INE0N0Y01013,Construction,Civil Construction,20.52,9.58,113.61,0.00,2.46,131.82,46.25,-20.48,3.72,-31.68,170.60,415.02,202606.00,2.14,0.44,-52.71,-9.66,-52.71
Ugar Sugar Works,530363,UGARSUGAR,INE071E01023,Agricultural Food & other Products,Sugar,53.50,20.89,601.91,0.18,1.49,110.85,477.88,34.11,9.00,17.18,258.90,221.18,202606.00,2.56,0.13,-49.07,-6.13,-49.07
United Leasing,507808,,INE357P01014,Textiles & Apparels,Other Textile Products,32.50,,9.75,0.00,-0.14,,1.08,-24.48,4.18,-12.39,-200.00,3.49,202606.00,-0.37,-0.47,-40.63,-11.90,-40.63
Valiant Organics,540145,VALIANTORG,INE565V01010,Chemicals & Petrochemicals,Specialty Chemicals,388.00,21.53,1087.73,0.00,29.26,254.27,231.54,13.27,5.47,1.41,894.69,66.23,202606.00,19.30,10.36,-30.78,-11.11,-30.05
Veer Energy,503657,,INE255E01030,Power,Power Generation,13.37,50.02,20.02,0.00,0.51,64.52,1.75,169.23,0.39,-43.16,66.67,-9.62,202606.00,0.27,0.34,-51.29,-10.89,-51.29
Vinyl Chemicals,524129,VINYLINDIA,INE250B01029,Chemicals & Petrochemicals,Trading - Chemicals,219.35,21.56,402.21,3.18,6.62,48.76,99.64,-34.11,14.86,-3.22,-14.59,-44.73,202606.00,10.18,3.61,-28.24,-13.63,-28.24
VLS Finance,511333,VLSFINANCE,INE709A01018,Finance,Investment Company,233.00,15.68,731.13,0.63,95.99,34.91,123.59,25.38,0.96,-9.58,93.28,47.57,202606.00,14.23,30.59,-21.78,-22.36,-27.04
Waa Solar,541445,,INE799N01012,Power,Power Generation,51.51,105.13,68.34,0.00,-1.17,-114.19,18.96,36.80,3.28,-1.70,-90.67,49.66,202603.00,0.49,-0.88,-59.58,-17.10,-59.58
Welspun Investme,533252,WELINV,INE389K01018,Finance,Investment Company,2276.00,269.72,830.74,0.00,-0.15,25.00,0.13,225.00,0.58,2.32,-11.49,-12.63,202606.00,8.43,-0.41,-17.92,-12.07,-17.92
WEP Solutions,532373,,INE434B01029,IT - Services,IT Enabled Services,32.94,65.43,121.73,1.52,0.34,-37.04,16.08,-0.25,6.68,2.59,-45.61,0.13,202606.00,0.51,0.09,-26.55,-9.69,-26.23
Zenith Fibres,514266,,INE106C01013,Textiles & Apparels,Other Textile Products,54.10,5.79,21.34,1.85,1.14,200.00,15.45,58.95,5.63,-11.22,124.39,-15.79,202606.00,9.33,2.89,-10.77,-7.20,-10.77
Zenith Health,530665,,INE812B01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,3.20,107.52,17.19,0.00,0.14,800.00,3.43,8.89,0.27,-9.40,245.45,188.89,202606.00,0.03,0.03,-50.00,-7.12,-50.00
Zenlabs Ethica,530697,,INE546F01013,Commercial Services & Supplies,Diversified Commercial Services,29.99,,19.51,0.00,-0.57,-2000.00,14.18,23.52,5.07,-1.82,-276.92,-62.15,202606.00,-3.90,-0.88,-71.89,-11.15,-71.89
Zuari Agro Chem.,534742,ZUARI,INE840M01016,Fertilizers & Agrochemicals,Fertilizers,213.40,2.87,897.53,0.00,118.69,19.70,615.21,-50.63,16.44,-43.98,21.60,-41.74,202606.00,223.33,28.17,-41.76,-11.09,-41.76
