Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
Madala Holdings,532344,,INE002B01016,Realty,Real Estate related services,189.75,164.78,280.14,0.00,3.43,-22.75,3.86,13.86,4.37,10.13,-83.81,0.12,202606.00,1.15,2.32,-19.33,-24.13,-22.67
Madras Fertilize,590134,MADRASFERT,INE414A01015,Fertilizers & Agrochemicals,Fertilizers,60.87,12.57,980.64,0.00,34.59,-21.49,814.01,21.12,14.82,-4.53,15.01,-19.22,202606.00,4.40,2.15,-22.28,-12.61,-22.28
Maithan Alloys,590078,MAITHANALL,INE683C01011,Ferrous Metals,Ferro & Silica Manganese,1009.30,10.11,2938.20,1.69,395.72,-26.69,539.53,-14.67,7.67,0.82,-59.07,29.10,202606.00,99.81,135.01,-65.45,-9.03,-65.45
Man Infra,533169,MANINFRA,INE949H01023,Realty,"Residential, Commercial Projects",125.00,23.25,5045.87,0.69,62.74,28.92,218.31,19.36,13.24,-29.86,-16.93,-32.16,202606.00,5.37,1.77,-12.96,-30.65,-10.50
Manaksia,532932,MANAKSIA,INE015D01022,Industrial Products,Iron & Steel Products,68.23,7.15,447.12,0.00,26.68,70.07,222.76,28.47,9.83,4.27,39.53,-4.62,202606.00,9.59,3.89,-14.54,-12.38,-14.54
Marathon Nextgen,503101,MARATHON,INE182D01020,Realty,"Residential, Commercial Projects",416.30,14.42,2807.71,0.23,52.43,-16.12,197.50,40.26,7.60,-1.06,-7.00,-8.32,202606.00,28.67,7.45,-23.66,-11.53,-13.49
Marinetrans Indi,,MARINETRAN,INE0P1P01017,Transport Services,Logistics Solution Provider,15.30,32.45,19.47,0.00,0.29,11.54,70.44,-10.79,5.31,-19.27,20.00,-13.04,202603.00,0.47,0.23,-36.23,-5.37,-27.12
Martin Burn,523566,,INE199D01016,Realty,"Residential, Commercial Projects",46.31,6.90,23.85,0.00,2.41,183.53,0.62,,2.47,158.33,-45.51,50.73,202606.00,6.71,4.68,-18.53,-58.99,-18.53
Meghmani Organi.,543331,MOL,INE0CT101020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,59.30,23.46,1508.08,0.00,48.19,280.05,542.83,-11.54,6.71,-7.73,240.98,1.81,202606.00,2.53,1.89,-49.30,-5.21,-49.30
Mehta Integrat.,511377,,INE240B01012,Finance,Non Banking Financial Company (NBFC),29.01,,14.51,0.00,-0.08,-214.29,0.07,-68.18,0.50,-50.00,-112.77,-800.00,202606.00,-0.12,-0.16,-44.97,-11.49,-44.97
Milton Industri.,,MILTON,INE376Y01016,Consumer Durables,Plywood Boards/ Laminates,38.00,35.88,64.58,0.00,1.12,55.56,24.40,11.31,5.98,5.07,50.00,66.17,202603.00,1.06,0.66,-14.40,-8.68,-14.40
Miven Mach. Tool,522036,,INE338P01014,Industrial Manufacturing,Industrial Products,68.00,,20.43,0.00,-0.16,5.88,0.03,,,,31.75,32.00,202606.00,-1.43,-0.53,-44.97,-44.97,-44.97
MKVentures Cap.,514238,,INE874A01010,Finance,Investment Company,1003.00,53.54,385.50,0.03,0.89,-79.25,6.21,2.99,13.23,-23.19,-16.47,-19.49,202606.00,18.73,2.32,-13.79,-13.25,-13.46
Morarka Finance,511549,,INE367A01015,Finance,Non Banking Financial Company (NBFC),64.90,17.47,29.19,2.31,0.38,171.43,0.58,100.00,1.58,26.13,29.46,38.46,202606.00,3.71,0.84,-32.65,-27.64,-32.65
N K Industries,519494,NKIND,INE542C01019,Agricultural Food & other Products,Edible Oil,56.00,,33.65,0.00,-0.65,5.80,2.27,-42.09,,-30.68,17.32,51.64,202606.00,-5.96,-1.08,-56.95,-11.21,-56.95
NACL Industries,524709,NACLIND,INE295D01020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,150.80,136.25,3532.42,0.00,20.84,59.82,383.33,-14.50,8.13,11.90,129.61,599.95,202606.00,0.53,0.89,-48.61,-9.19,-48.36
Nalwa Sons Invst,532256,NSIL,INE023A01030,Finance,Investment Company,5375.95,49.90,2763.24,0.00,26.69,3.37,34.38,-7.31,0.48,-19.76,27.78,31.82,202606.00,107.80,51.91,-15.67,-8.85,-15.67
Narendra Prop.,531416,,INE603F01012,Realty,"Residential, Commercial Projects",39.00,13.26,27.70,2.55,0.88,14.29,0.00,-100.00,6.93,-64.09,18.08,-10800.00,202606.00,2.94,1.24,-22.91,-17.15,-22.91
