Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
Carnation Inds.,530609,,INE081B01028,Industrial Products,Other Industrial Products,84.90,,29.35,0.00,0.76,255.10,1.70,,11.27,,-109.15,180.95,202603.00,-0.38,2.20,23.77,9.08,1.40
CDG Petchem,534796,,INE198N01017,Industrial Products,Plastic Products - Industrial,196.85,378.75,181.80,0.00,2.73,2766.67,22.18,306.97,-5.10,-43.01,-61.23,-326.32,202503.00,-3.61,1.73,14.34,12.99,-0.71
Ceenik Exports,531119,,INE418D01010,Consumer Durables,"Gems, Jewellery And Watches",204.90,,82.37,6.10,-4.89,-44.25,0.00,,-18.75,,40.82,95.69,202603.00,-23.41,-12.16,,2.77,-8.75
Celebrity Fash.,532695,CELEBRITY,INE185H01016,Textiles & Apparels,Garments & Apparels,7.91,,51.06,0.00,-1.62,24.65,43.49,-15.57,-12.31,4.11,13.91,10.71,202603.00,-2.44,-0.25,,6.05,-1.58
Central Bank,532885,CENTRALBK,INE483A01010,Banks,Public Sector Bank,30.77,6.24,27851.16,3.90,747.78,-32.49,9697.80,12.07,5.62,7.01,12.82,13.27,202603.00,5.00,0.82,36.61,12.83,1.30
Centrum Capital,501150,CENTRUM,INE660C01027,Finance,Other Financial Services,22.45,,1092.93,0.00,-31.27,-573.32,1029.69,-7.75,7.45,7.41,-7.36,-17.49,202603.00,-2.84,0.28,-10.01,51.52,0.74
Chaman Metallics,,CMNL,INE06PV01010,Ferrous Metals,Sponge Iron,126.50,,305.30,0.00,-1.62,-78.12,344.75,326.41,5.37,214.36,-118.09,163.00,202603.00,-1.73,-0.67,,4.62,0.90
Chola Financial,504973,CHOLAHLDNG,INE149A01033,Finance,Investment Company,1582.00,12.17,29706.39,0.08,1625.55,11.99,10366.20,16.30,9.75,17.70,12.28,13.82,202603.00,130.01,36.59,23.68,13.61,1.51
Cholaman.Inv.&Fn,511243,CHOLAFIN,INE121A01024,Finance,Non Banking Financial Company (NBFC),1537.70,25.05,131079.87,0.13,1645.20,30.62,8416.71,19.46,9.70,20.02,22.71,16.22,202603.00,61.41,19.31,23.72,6.93,1.49
Chrome Silicon,513005,,INE114E01013,Ferrous Metals,Ferro & Silica Manganese,45.49,,74.58,0.00,-2.56,96.58,0.00,-100.00,-17.41,-98.54,88.55,84.92,202603.00,-6.00,-1.56,,2.27,-327.00
