Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
Kuwer Industries,530421,,INE430F01010,Chemicals & Petrochemicals,Commodity Chemicals,12.79,129.00,11.61,0.00,0.09,-82.69,13.55,-9.91,6.45,-1.20,-96.59,-50.06,202512.00,0.10,0.10,39.88,2.03,1.02
L&T Finance Ltd,533519,LTF,INE498L01015,Finance,Non Banking Financial Company (NBFC),286.60,23.91,71807.81,0.96,809.16,26.79,4771.03,18.60,8.40,12.49,13.57,14.00,202603.00,11.90,3.22,254.65,3.94,1.60
Lagnam Spintex,,LAGNAM,INE548Z01017,Textiles & Apparels,Other Textile Products,77.51,9.52,136.95,0.00,8.35,-2.22,179.65,10.31,10.07,-0.09,11.21,2.11,202603.00,8.14,4.73,13.82,2.64,1.65
Lak. Prec. Screw,506079,LAKPRE,INE651C01018,Auto Components,Auto Components & Equipments,5.65,,6.18,0.00,-12.66,30.21,51.35,-16.37,0.28,-6.06,50.33,108.09,201712.00,-30.30,-11.57,-18.06,11.16,0.13
Laxmi India Fin.,544465,LAXMIINDIA,INE06WU01026,Finance,Non Banking Financial Company (NBFC),113.24,11.92,593.30,0.00,20.52,40.84,92.84,25.00,12.72,29.02,38.26,25.71,202603.00,9.52,3.93,,2.87,1.48
Lexus Granito,,LEXUS,INE500X01013,Consumer Durables,"Furniture, Home Furnishing",17.77,,36.95,0.00,0.71,-5950.00,13.71,-28.33,-1.77,-13.08,42.89,130.72,202512.00,1.09,0.35,,3.33,-0.88
LIC Housing Fin.,500253,LICHSGFIN,INE115A01026,Finance,Housing Finance Company,533.15,5.23,29326.61,1.88,1492.63,8.68,7211.92,-1.25,8.59,2.58,2.97,1.83,202603.00,101.87,27.13,24.69,6.70,1.36
Lime Chemicals,507759,,INE891G01011,Chemicals & Petrochemicals,Commodity Chemicals,14.98,,9.74,0.00,-0.08,-233.33,1.53,-41.15,5.63,-37.57,-400.00,81.08,202512.00,-0.23,-0.12,30.45,2.77,0.13
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance,Non Banking Financial Company (NBFC),303.65,14.29,42206.47,2.47,940.48,105.16,5538.73,13.37,8.72,13.43,30.74,12.33,202603.00,20.54,6.75,11.83,4.82,1.44
M Lakhamsi Ind,512153,,INE808W01012,Commercial Services & Supplies,Trading & Distributors,11.07,9.17,6.60,0.90,0.28,-9.68,39.72,29.85,7.90,-4.06,16.13,193.75,202603.00,1.21,0.47,0.28,2.91,1.68
Mac Charles(I),507836,MCCHRLS-B,INE435D01014,Leisure Services,Hotels & Resorts,682.05,,893.49,0.00,-15.34,57.98,32.02,1567.71,5.41,1022.08,46.57,378.11,202603.00,-88.76,-11.71,,10.26,0.55
Mahasagar Travel,526795,,INE007G01014,Transport Services,Road Transport,5.75,19.65,4.52,0.00,0.11,-83.82,9.37,-5.26,15.82,-0.97,27.78,24.81,202603.00,0.29,0.14,27.87,14.90,1.32
Mahindra Holiday,533088,MHRIL,INE998I01010,Leisure Services,Hotels & Resorts,218.43,58.96,4413.51,0.00,41.49,-43.13,820.29,5.32,7.75,7.58,-41.43,4.91,202603.00,3.44,2.06,-13.74,4.92,1.83
Manappuram Fin.,531213,MANAPPURAM,INE522D01027,Finance,Non Banking Financial Company (NBFC),325.40,27.45,27542.99,1.08,404.79,311.30,2613.83,10.71,8.26,-4.97,-17.46,-1.71,202603.00,10.68,4.30,-15.44,3.60,1.34
Manba Finance,544262,MANBA,INE939X01013,Finance,Non Banking Financial Company (NBFC),106.71,11.82,536.10,0.70,11.13,38.78,93.38,37.30,12.49,31.04,20.00,32.98,202603.00,9.03,2.22,-9.33,3.80,1.40
Manomay Tex Indi,540396,MANOMAY,INE784W01015,Textiles & Apparels,Other Textile Products,177.01,16.27,319.48,0.00,5.00,50.15,203.97,13.86,11.92,1.98,2.03,-1.41,202603.00,10.88,2.77,14.80,2.34,1.85
Mantra Capital,511577,,INE304E01010,Finance,Non Banking Financial Company (NBFC),15.22,,54.46,0.00,-4.83,-20.75,5.59,219.43,-9.31,375.80,-53.13,13.40,202603.00,-4.21,-1.51,,3.34,-1.27
Maral Overseas,521018,MARALOVER,INE882A01013,Textiles & Apparels,Other Textile Products,56.28,60.52,233.62,0.00,13.31,5886.96,258.22,-6.00,7.50,-6.32,115.92,112.14,202603.00,0.79,3.21,30.78,3.38,1.04
Maris Spinners,531503,,INE866D01010,Textiles & Apparels,Other Textile Products,29.99,,24.51,0.00,0.33,-74.81,45.91,2.18,7.58,-0.38,-16.67,16.84,202603.00,-1.77,0.40,23.08,3.61,0.76
MAS FINANC SER,540749,MASFIN,INE348L01012,Finance,Non Banking Financial Company (NBFC),308.95,14.96,5606.00,0.55,104.48,25.04,542.47,23.54,11.26,24.93,20.72,18.67,202603.00,20.46,5.68,18.56,3.47,1.56
Mcleod Russel,532654,MCLEODRUSS,INE942G01012,Agricultural Food & other Products,Tea & Coffee,78.41,36.98,819.04,0.00,-72.67,142.46,130.35,-21.22,-4.68,-2.62,110.20,-223.63,202603.00,-11.82,-6.96,29.67,33.57,-0.54
Minolta Finance,532164,,INE514C01026,Finance,Non Banking Financial Company (NBFC),1.50,,15.00,0.00,-0.07,-75.00,5.38,1482.35,6.31,1072.55,-14400.00,5435.71,202603.00,-0.14,-0.01,,19.11,0.79
Moneyboxx Fin.,538446,MONEYBOXX,INE296Q01012,Finance,Non Banking Financial Company (NBFC),70.02,364.78,488.80,0.00,0.47,108.88,63.13,21.22,9.05,16.47,7.20,28.17,202603.00,0.19,0.07,28.88,2.28,1.02
Morgan Ventures,526237,,INE902C01015,Finance,Non Banking Financial Company (NBFC),48.63,11.63,48.14,0.00,2.71,-59.55,12.66,1.93,8.83,-32.35,-83.10,-44.74,202603.00,4.18,2.74,-11.44,2.10,1.49
Mudunuru,538743,,INE491C01027,IT - Software,Computers - Software & Consulting,8.61,,27.21,0.00,0.19,165.52,1.32,65.00,-27.01,222.61,48.24,86.73,202512.00,-0.42,0.06,14.78,5.06,-10.83
Mufin Green,542774,MUFIN,INE08KJ01020,Finance,Non Banking Financial Company (NBFC),123.21,75.50,2134.38,0.00,11.09,184.36,64.66,59.50,10.73,30.13,39.33,33.46,202603.00,1.63,0.64,44.78,2.43,1.32
Muthoot Cap.Serv,511766,MUTHOOTCAP,INE296G01013,Finance,Non Banking Financial Company (NBFC),198.98,26.46,327.27,0.00,5.37,1.87,166.60,21.33,8.87,30.99,-72.89,2.27,202603.00,6.79,3.26,-46.03,4.94,1.05
Muthoot Microfin,544055,MUTHOOTMF,INE046W01019,Finance,Microfinance Institutions,179.98,18.02,3068.52,0.00,71.12,117.73,631.81,13.83,9.30,-7.52,176.52,63.60,202603.00,9.99,4.17,-10.71,3.40,1.24
NDTV,532529,NDTV,INE155G01029,Entertainment,TV Broadcasting & Software Production,83.15,,938.14,0.00,-98.57,-60.71,147.96,16.46,-72.49,13.60,-50.97,-50.54,202603.00,-28.59,-8.67,,2.01,-9.24
Neo Infracon,514332,,INE216I01017,Realty,"Residential, Commercial Projects",41.46,24.47,22.02,0.00,0.79,-38.76,2.06,-59.53,9.61,-21.88,13.92,-9.38,202603.00,1.70,1.49,93.94,2.08,1.96
Newtime Infra.,531959,,INE997D01021,Commercial Services & Supplies,Trading & Distributors,1.88,,98.67,0.00,-0.46,70.13,1.00,-1.96,1.30,-49.87,20.74,-118.23,202512.00,-0.03,-0.01,12.97,3.28,0.17
Northern Arc,544260,NORTHARC,INE850M01015,Finance,Non Banking Financial Company (NBFC),281.60,11.21,4549.86,0.00,132.65,250.90,741.66,23.09,9.71,14.76,33.32,17.54,202603.00,25.13,8.20,-0.90,3.15,1.60
Nouveau Global,531465,,INE317B01042,Commercial Services & Supplies,Trading & Distributors,0.49,,9.09,0.00,-0.12,-9.09,0.00,,-2.28,,-174.07,-16.90,202603.00,-0.02,-0.01,13.04,21.05,-1.18
Olympic Cards,534190,,INE550L01013,Consumer Durables,Leisure Products,3.00,,4.89,0.00,-1.55,-66.67,1.86,-35.19,-4.16,11.06,94.12,-26.86,202603.00,-0.16,-0.95,24.66,13.04,-0.52
Organic Coatings,531157,,INE412E01011,Chemicals & Petrochemicals,Specialty Chemicals,18.90,,18.85,0.00,-0.96,-7.87,5.87,73.16,-8.15,-21.58,-187.39,-264.00,202512.00,-3.20,-0.96,6.03,4.52,-3.25
Orient Beverages,507690,,INE247F01018,Beverages,Other Beverages,217.25,12.22,46.93,0.00,-0.65,-1183.33,44.24,8.91,12.17,8.65,69.91,48.49,202603.00,17.77,-3.01,12.88,4.40,1.70
Paisalo Digital,532900,PAISALO,INE420C01059,Finance,Non Banking Financial Company (NBFC),51.58,19.73,4691.31,0.19,72.23,57.98,260.92,34.65,12.33,23.45,19.06,17.31,202603.00,2.61,0.79,34.37,2.43,1.85
Peninsula Land,503031,PENINLAND,INE138A01028,Realty,"Residential, Commercial Projects",17.13,,568.25,0.00,-118.32,74.32,40.88,-35.20,5.34,-43.16,18.29,-71.45,202603.00,-4.63,-3.56,,4.24,0.58
Phyto Chem (I),524808,,INE037C01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,27.55,,11.85,0.00,-0.48,-131.58,2.97,-18.63,3.27,-21.33,-72.90,36.87,202512.00,-6.23,-1.12,,2.76,-0.63
Piramal Finance.,544597,PIRAMALFIN,INE202B01038,Finance,Housing Finance Company,1926.80,167.48,43676.26,0.00,501.77,-901.31,3424.01,19.99,6.49,15.41,-46.28,24.54,202603.00,66.44,22.14,105.02,2.84,1.02
PNB Gilts,532366,PNBGILTS,INE859A01011,Finance,Investment Company,78.79,7.87,1418.30,1.27,12.99,-82.51,424.11,1.28,6.14,1.35,-22.07,-4.29,202603.00,10.09,0.72,60.30,14.56,1.18
PNB Housing,540173,PNBHOUSING,INE572E01012,Finance,Housing Finance Company,1030.50,11.72,26853.79,0.49,655.80,19.15,2181.53,7.90,9.40,10.66,18.34,13.40,202603.00,87.94,25.17,29.69,3.70,1.59
Polycon Intl.,531397,,INE262C01014,Industrial Products,Packaging,20.94,,10.24,0.00,-0.92,-178.79,4.57,-6.35,-2.69,-20.08,-35.21,-84.56,202603.00,-5.88,-1.88,,30.47,-0.47
Poonawalla Fin,524000,POONAWALLA,INE511C01022,Finance,Non Banking Financial Company (NBFC),382.85,62.20,33702.93,0.00,254.79,308.78,2115.49,81.39,7.50,62.07,618.38,153.52,202603.00,6.67,3.13,2.70,4.68,1.26
Popular Vehicles,544144,PVSL,INE772T01024,Automobiles,Auto Dealer,97.54,,694.47,0.00,-4.96,63.34,1754.45,27.84,4.23,15.16,73.40,15.61,202603.00,-1.75,-0.70,,2.24,0.74
Power Fin.Corpn.,532810,PFC,INE134E01011,Finance,Financial Institution,428.60,5.46,141442.36,3.69,8597.61,10.81,28919.52,-1.18,9.71,7.78,12.67,8.70,202603.00,78.49,21.21,17.69,7.62,1.62
Prec. Electronic,517258,,INE143C01024,Industrial Manufacturing,Industrial Products,155.00,351.93,214.68,0.00,2.03,-19.44,22.77,26.08,7.43,67.77,205.17,102.76,202603.00,0.44,1.47,35.23,4.50,1.36
Prime Focus,532748,PFOCUS,INE367G01038,Entertainment,Media & Entertainment,233.40,77.12,18111.62,0.00,117.70,-24.77,1384.47,41.42,11.50,29.92,320.63,80.94,202603.00,2.82,1.06,-19.80,2.74,1.70
Pro Fin Capital,511557,,INE732K01027,Commercial Services & Supplies,Diversified Commercial Services,3.55,216.88,210.37,0.00,-12.49,66.16,-8.23,74.37,4.58,-615.31,102.64,116.53,202512.00,0.02,-0.21,-5.97,2.99,1.38
Pun. & Sind Bank,533295,PSB,INE608A01012,Banks,Public Sector Bank,23.98,12.87,17015.21,0.29,421.83,34.86,3029.99,-4.08,5.95,4.36,30.11,6.99,202603.00,1.86,0.59,-1.26,11.48,1.21
Punjab Natl.Bank,532461,PNB,INE160A01022,Banks,Public Sector Bank,106.05,6.63,121882.66,2.83,5602.47,12.07,32797.77,0.84,5.61,5.45,-0.49,6.17,202603.00,16.00,4.87,73.95,12.22,1.21
Puravankara,532891,PURVA,INE323I01011,Realty,"Residential, Commercial Projects",219.02,81.53,5194.05,0.00,109.95,231.95,1501.92,177.33,12.45,85.73,135.07,137.49,202603.00,2.69,4.78,2.74,2.78,1.11
Qgo Finance,538646,,INE837C01013,Finance,Non Banking Financial Company (NBFC),42.25,8.72,29.38,1.42,0.95,25.00,5.03,24.50,13.46,10.78,9.77,8.32,202603.00,4.85,1.37,24.18,4.89,1.41
Quality Foils,,QFIL,INE0O1M01015,Industrial Products,Iron & Steel Products,43.90,8.52,12.53,0.00,0.65,8.33,89.75,21.56,7.00,22.09,226.67,89.62,202603.00,5.15,2.28,-6.00,2.08,1.46
Raghuvir Synth,514316,,INE969C01022,Textiles & Apparels,Other Textile Products,101.45,,393.12,0.00,-3.67,-189.08,24.18,-73.14,1.30,-23.31,-115.12,-51.43,202603.00,-0.35,-0.95,23.00,2.27,0.48
Rainbow Foundat.,531694,,INE230F01014,Realty,"Residential, Commercial Projects",41.47,27.55,205.77,0.00,0.73,-27.27,38.37,12.26,6.64,36.40,4.48,33.37,202512.00,1.43,0.15,186.67,6.99,1.30
Raja Bahadur Int,503127,,INE491N01016,Realty,"Residential, Commercial Projects",5000.00,95.42,125.00,0.00,0.78,-21.21,7.31,2.96,7.12,3.24,247.19,-24.80,202603.00,52.40,31.20,30.12,24.54,1.29
Ratnabhumi Dev.,540796,,INE821Y01011,Realty,"Residential, Commercial Projects",304.00,133.92,416.48,0.00,0.30,-88.05,14.68,-56.45,11.00,-70.95,-45.53,-16.88,202603.00,2.27,0.22,138.24,2.73,1.31
RBL Bank,540065,RBLBANK,INE976G01028,Banks,Private Sector Bank,345.00,25.97,21360.25,0.29,229.71,234.37,3720.25,7.04,5.77,2.11,18.36,5.10,202603.00,13.31,3.72,-3.32,9.48,1.13
RDB Real Estate,544346,,INE0AK901016,Realty,"Residential, Commercial Projects",139.95,,368.19,0.00,-4.97,16.47,179.49,454.67,2.95,178.86,-581.52,-5.86,202603.00,-3.37,-1.89,,2.24,0.85
Real Touch Fin,538611,,INE840I01014,Finance,Other Financial Services,46.40,12.02,58.89,0.00,0.86,-50.00,8.72,14.89,10.16,35.61,9.87,8.46,202512.00,3.86,0.68,47.04,2.88,1.36
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,337.65,5.45,88910.81,5.33,3375.08,-21.69,14563.82,-5.02,9.71,5.70,2.75,5.15,202603.00,61.93,12.82,13.48,6.05,1.57
Remedium Life,539561,,INE549S01036,Commercial Services & Supplies,Trading & Distributors,0.38,15.74,33.52,0.00,8.62,,111.06,,,,,,202503.00,0.02,0.10,,10.34,1.57
Repco Home Fin,535322,REPCOHOME,INE612J01015,Finance,Housing Finance Company,384.00,5.05,2402.36,1.17,135.18,12.04,453.52,6.42,10.17,4.40,3.04,1.70,202603.00,75.99,21.61,14.56,3.02,1.59
Restaurant Brand,543248,RBA,INE07T201019,Leisure Services,Restaurants,68.66,,4002.03,0.00,-47.43,23.58,706.84,11.74,-0.46,10.66,14.44,22.30,202603.00,-3.21,-0.74,8.85,2.73,-0.07
Richfield Fin,539435,,INE201C01012,Finance,Other Financial Services,27.57,59.09,20.68,0.00,-0.16,-245.45,4.30,150.00,9.08,180.46,169.23,371.58,202603.00,0.47,-0.21,227.10,4.72,1.10
Royal Orch.Hotel,532699,ROHLTD,INE283H01019,Leisure Services,Hotels & Resorts,336.90,29.85,923.96,0.74,8.21,-47.15,113.17,30.47,10.84,20.25,-34.48,20.91,202603.00,11.73,2.90,-13.01,2.48,1.93
RPSG Ventures,542333,RPSGVENT,INE425Y01011,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),918.70,,3039.65,0.00,-72.00,-327.88,2927.03,15.18,10.69,17.85,-156.46,15.80,202603.00,-41.70,-17.38,5.60,3.29,1.43
S.A.L Steel,532604,SALSTEEL,INE658G01014,Ferrous Metals,Sponge Iron,59.60,,862.81,0.00,-1.02,82.91,11.97,-89.76,1.08,-61.85,-624.23,-36.74,202603.00,-0.02,-0.07,,2.38,0.19
Sainik Finance,530265,,INE584B01013,Cement & Cement Products,Cement & Cement Products,37.84,9.87,41.17,0.00,1.26,-52.81,4.76,-9.51,10.57,0.90,-32.52,-4.87,202603.00,3.83,1.16,264.26,2.17,1.42
Sakthi Finance,511066,,INE302E01014,Finance,Investment Company,27.69,10.39,179.17,2.89,5.62,22.44,49.28,-6.49,10.87,-2.00,3.54,4.50,202603.00,2.67,0.87,11.33,4.84,1.19
Sakthi Sugars,507315,SAKHTISUG,INE623A01011,Agricultural Food & other Products,Sugar,17.48,7.39,207.75,0.00,86.50,16.73,301.92,-6.19,14.14,-3.18,-25.13,1.33,202603.00,2.37,7.28,31.43,3.16,1.39
Salguti Industri,526554,,INE159C01012,Industrial Products,Packaging,31.49,,23.74,0.00,-0.28,-240.00,27.53,14.18,5.38,24.72,-181.25,1.33,202603.00,-0.17,-0.37,,4.15,0.90
Salona Cotspin,590056,SALONA,INE498E01010,Textiles & Apparels,Other Textile Products,277.70,93.68,146.14,0.36,-1.37,53.08,110.46,-25.26,8.33,-10.30,-50.16,7.32,202603.00,2.96,-2.60,-55.39,2.26,1.24
Sammaan Capital,535789,SAMMAANCAP,INE148I01020,Finance,Housing Finance Company,177.01,,20512.90,0.00,-8101.41,-594.46,1357.66,-35.58,4.92,-5.87,63.97,36.09,202603.00,-61.66,-69.92,,2.73,0.59
Samrat Forgings,543229,,INE412J01010,Industrial Products,Castings & Forgings,202.00,24.75,101.00,0.00,1.49,28.45,49.78,13.42,11.88,13.83,-17.74,-2.16,202512.00,8.16,2.98,12.36,2.31,1.74
Saptarishi Agro,519238,,INE233P01017,Agricultural Food & other Products,Other Agricultural Products,34.15,130.55,116.19,0.00,1.66,-47.30,20.60,-56.51,6.06,-10.51,-58.41,-353.36,202603.00,0.26,0.49,14.05,3.49,1.68
Sarthak Global,530993,,INE075H01019,Commercial Services & Supplies,Trading & Distributors,41.00,1230.00,12.30,0.00,-0.34,-312.50,4.21,18.59,4.27,-27.80,-66.67,82.61,202603.00,0.03,-1.13,-44.97,5.85,1.03
Satin Creditcare,539404,SATIN,INE836B01017,Finance,Microfinance Institutions,217.82,7.24,2406.28,0.00,162.04,640.16,919.50,49.48,13.84,21.11,78.41,34.54,202603.00,30.07,14.67,278.40,3.84,1.33
Sayaji Industr,540728,,INE327G01032,Agricultural Food & other Products,Other Agricultural Products,139.91,258.17,353.69,0.00,10.63,241.60,267.59,8.53,8.18,6.75,103.45,481.73,202603.00,0.54,4.34,15.93,2.45,1.05
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,964.40,10.69,890200.76,1.80,20507.98,0.22,131080.12,3.34,6.13,5.02,7.40,-0.89,202603.00,90.24,21.28,13.10,11.44,1.36
SBI Cards,543066,SBICARD,INE018E01016,Finance,Non Banking Financial Company (NBFC),624.40,27.42,59418.48,0.40,609.30,14.06,4934.50,5.57,10.10,10.10,13.06,-0.56,202603.00,22.77,6.40,-1.56,2.80,1.95
SDC Techmedia,535647,,INE807O01011,Entertainment,"Film Production, Distribution & Exhibition",18.05,,11.71,0.00,-0.60,-300.00,5.07,-1.74,11.80,1.88,93.87,246.32,202509.00,-0.15,-0.92,31.04,12.18,0.86
Sh. Karthik Pap.,516106,,INE538D01015,"Paper, Forest & Jute Products",Paper & Paper Products,6.53,,12.48,0.00,0.29,178.38,16.74,17.97,2.12,9.94,-100.00,-29.68,202603.00,0.18,0.15,,8.02,1.00
Shahi Shipping,526508,,INE825D01016,Transport Services,Shipping,13.05,,18.91,0.00,-0.69,-303.23,1.59,-48.21,-16.67,-38.94,50.70,66.04,202603.00,-1.26,-0.48,,18.29,-3.61
Shalimar Wires,532455,,INE655D01025,Textiles & Apparels,Other Textile Products,19.08,10.59,81.58,0.00,2.32,707.69,38.33,5.45,16.74,7.77,288.89,23.41,202603.00,1.36,0.54,145.56,2.12,1.54
Sharika Enterpr.,540786,,INE669Y01022,Commercial Services & Supplies,Trading & Distributors,13.26,,57.42,0.00,-2.29,-151.34,21.01,20.89,-21.98,-7.65,-15491.30,-550.52,202603.00,-2.04,-0.56,,2.14,-3.13
Shiva Cement,532323,,INE555C01029,Cement & Cement Products,Cement & Cement Products,17.24,,508.58,0.00,-28.63,46.56,121.36,14.12,-1.43,39.85,9.95,317.52,202603.00,-4.26,-0.97,,24.94,-0.17
Shivagrico Impl.,522237,,INE092H01014,Industrial Manufacturing,Industrial Products,23.50,30.18,11.77,0.00,0.14,-39.13,12.10,-2.81,6.90,10.35,69.57,14.63,202603.00,0.78,0.28,135.13,2.12,1.68
Shivam Autotech,532776,SHIVAMAUTO,INE637H01024,Auto Components,Auto Components & Equipments,18.12,,238.27,0.00,-26.72,-71.75,109.43,1.47,-0.47,-9.78,-63.79,-28.43,202603.00,-6.19,-2.03,,10.76,-0.03
Shoppers Stop,532638,SHOPERSTOP,INE498B01024,Retailing,Diversified Retail,354.55,,3904.47,0.00,-16.35,-24983.33,1209.79,13.70,7.05,8.98,-268.47,5.03,202603.00,-3.28,-1.48,,11.40,0.88
Shree Vasu Logis,,SVLL,INE00CE01017,Transport Services,Logistics Solution Provider,615.30,122.35,707.21,0.00,3.37,206.36,62.45,52.61,14.36,53.43,165.14,50.03,202603.00,5.03,2.93,41.16,5.09,1.39
Shri Keshav,530977,,INE260E01014,Cement & Cement Products,Cement & Cement Products,151.35,,265.06,0.00,-9.76,-121.32,47.26,22.98,6.25,32.82,-5.83,42.78,202603.00,-3.73,-5.57,,2.64,0.95
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance,Non Banking Financial Company (NBFC),947.15,22.23,222848.35,1.14,3020.95,40.94,12513.43,9.25,11.47,9.54,22.12,12.00,202603.00,53.28,16.06,18.38,3.80,1.62
Sical Logistics,520086,SICALLOG,INE075B01020,Transport Services,Logistics Solution Provider,65.56,402.68,523.07,0.00,-8.78,-134.67,105.17,29.65,9.85,73.87,102.74,264.57,202603.00,5.69,-1.25,26.79,3.69,1.02
Sikozy Realtors,524642,,INE528E01022,Realty,"Residential, Commercial Projects",1.37,,6.11,0.00,-0.15,-150.00,0.00,,-71.43,,-111.76,-25.00,202603.00,-0.08,-0.03,,5.00,-5.00
SJVN,533206,SJVN,INE002L01015,Power,Power Generation,75.16,46.00,29536.34,1.94,-117.84,7.54,1496.47,196.68,5.93,47.40,-21.82,48.09,202603.00,1.63,-0.30,-22.68,2.27,1.88
SKIL Infrastr,539861,SKIL,INE429F01012,Construction,Civil Construction,1.00,2.43,21.66,0.00,-4.01,-195.93,0.00,,1.10,,117.25,59.63,202403.00,0.41,-0.19,26.95,10.09,1.60
Smartworks Cowor,544447,SMARTWORKS,INE0NAZ01010,Commercial Services & Supplies,Diversified Commercial Services,434.75,471.75,4967.54,0.00,16.62,300.24,519.68,44.99,8.30,30.69,116.27,34.74,202603.00,0.92,1.45,27.46,9.00,1.04
Soni Medicare,539378,,INE848R01018,Healthcare Services,Hospital,73.00,,31.13,0.00,-1.13,-769.23,5.65,-27.47,6.64,-11.81,-40.14,-480.00,202512.00,-4.67,-2.65,19.08,123.33,-0.80
South Ind.Bank,532218,SOUTHBANK,INE683A01023,Banks,Private Sector Bank,41.42,7.45,10842.07,0.97,407.50,19.09,2559.48,7.84,6.42,4.60,11.54,6.41,202603.00,5.56,1.56,23.33,11.16,1.31
Space Incubatric,541890,,INE797Z01028,IT - Software,Computers - Software & Consulting,0.20,,6.92,0.00,-9.70,-19500.00,10.63,,0.35,,-146.67,30.30,202603.00,-0.01,-0.28,,2.49,0.16
Spel Semiconduct,517166,,INE252A01019,Electrical Equipment,Other Electrical Equipment,157.40,,725.93,0.00,0.77,118.66,2.18,-11.02,0.12,-20.10,39.59,79.96,202603.00,-5.17,0.17,,6.87,0.01
SRG Housing,534680,SRGHFL,INE559N01010,Finance,Housing Finance Company,284.25,13.74,446.45,0.00,9.25,49.43,57.23,33.87,11.77,29.00,33.16,24.99,202603.00,20.69,5.89,16.39,2.89,1.52
Sri Havisha,531322,HAVISHA,INE293B01029,Leisure Services,Hotels & Resorts,1.51,,23.18,0.00,-1.06,44.21,3.30,-3.51,-1.34,-7.34,-18.03,-85.00,202603.00,-0.33,-0.07,,2.37,-0.19
Sri Nacha. Cott.,521234,,INE443E01016,Textiles & Apparels,Other Textile Products,28.10,,12.08,0.00,-5.07,-731.15,14.88,-18.73,-5.51,-6.71,-116.20,-437.50,202603.00,-8.84,-11.79,,3.98,-0.95
Standard Surfact,526231,,INE307D01015,Chemicals & Petrochemicals,Commodity Chemicals,52.02,20.27,42.98,0.00,0.49,206.25,64.53,57.31,5.37,36.34,315.69,511.63,202512.00,2.57,0.59,-21.69,2.33,1.89
Star Housing Fin,539017,,INE526R01028,Finance,Housing Finance Company,7.57,9.00,59.78,1.32,0.49,-75.98,25.82,7.45,12.10,23.79,-38.86,22.44,202512.00,0.47,0.03,146.13,2.67,1.16
Std. Capital Mkt,511700,,INE625D01028,Finance,Non Banking Financial Company (NBFC),0.38,1.16,93.27,0.00,77.04,6.90,175.26,236.59,16.80,299.52,183.92,309.85,202603.00,0.33,0.31,178.56,5.00,1.49
Steelco Gujarat,500399,,INE629B01032,Industrial Products,Iron & Steel Products,132.80,,395.69,0.00,-16.06,-108.30,33.64,1557.14,-12.21,1300.24,-85.70,-96.39,202603.00,-12.51,-5.39,,83.38,-1.44
Steelman Telecom,543622,,INE0MSK01016,Telecom - Services,Other Telecom Services,62.10,,60.09,0.00,-8.97,18.08,116.82,15.09,-8.61,13.16,84.22,2.51,202509.00,-0.83,-2.90,,2.74,-1.52
Sundaram Finance,590071,SUNDARMFIN,INE660A01013,Finance,Non Banking Financial Company (NBFC),4188.90,22.01,46540.30,0.84,554.17,1.41,2560.40,13.34,9.45,15.23,14.07,12.23,202603.00,185.32,49.88,16.86,4.68,1.58
Sunil Agro Foods,530953,,INE224D01012,Agricultural Food & other Products,Other Agricultural Products,78.72,49.25,23.64,0.00,0.22,340.00,45.49,-24.13,9.02,-14.07,144.04,102.48,202603.00,1.33,0.73,-18.29,2.50,1.15
Sunraj Diamond,523425,,INE459D01014,Consumer Durables,"Gems, Jewellery And Watches",16.00,,8.53,0.00,-0.02,92.31,0.02,-97.83,-1.02,26.49,-140.00,-660.00,202603.00,-0.04,-0.04,,15.29,-17.00
Supra Pacific,540168,,INE268T01015,Finance,Non Banking Financial Company (NBFC),31.04,19.36,152.53,0.64,2.80,288.89,23.49,59.25,15.77,84.93,591.23,101.73,202603.00,1.60,0.57,135.59,3.77,1.23
Supreme Infra.,532904,SUPREMEINF,INE550H01011,Construction,Civil Construction,83.38,,812.98,0.00,-49.22,86.46,29.62,314.27,,1.36,28.89,81.64,202512.00,346.12,-5.09,-30.97,4.19,0.00
Suryoday Small,543279,SURYODAY,INE428Q01011,Banks,Other Bank,163.59,11.44,1738.80,0.00,49.72,247.19,601.59,27.84,7.33,10.57,32.24,8.64,202603.00,14.30,4.68,25.02,8.24,1.19
Swan Defence,533107,SWANDEF,INE542F01020,Industrial Manufacturing,Ship Building & Allied Services,2060.20,,10853.58,0.00,-142.22,-588.38,236.28,4712.22,-7.55,3913.37,-26.37,-186.92,202603.00,-42.89,-27.00,,40.03,-17.34
Synergy Green,541929,SGIL,INE00QT01015,Industrial Products,Castings & Forgings,524.85,161.22,815.77,0.19,0.41,-89.58,119.04,22.13,9.28,1.15,-70.04,-24.71,202603.00,3.00,0.26,87.13,2.25,1.39
