Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Pledged percentage
Dr Agarwal's Eye,526783,DRAGARWQ,INE934C01018,Healthcare Services,Hospital,4966.50,34.24,2400.22,0.12,16.24,1.56,120.01,20.21,17.36,29.26
Easy Trip Plann.,543272,EASEMYTRIP,INE07O001026,Leisure Services,"Tour, Travel Related Services",7.16,108.57,2853.01,0.00,3.41,-82.61,151.66,0.72,20.89,25.91
Educomp Sol.,532696,EDUCOMP,INE216H01027,Other Consumer Services,Education,0.99,,12.12,0.00,-160.68,-5.40,112.60,-5.71,,94.41
Embassy Develop,532832,EMBDL,INE069I01010,Realty,"Residential, Commercial Projects",60.38,,8396.64,0.00,-323.43,-310.73,342.46,-61.47,-2.38,68.24
Esaar (India),531502,,INE404L01039,Commercial Services & Supplies,Diversified Commercial Services,10.44,1.92,21.34,0.00,25.01,1216.52,21.46,751.59,30.86,99.82
Eureka Forbes,543482,EUREKAFORB,INE0KCE01017,Consumer Durables,Household Appliances,440.25,44.81,8514.60,0.00,51.09,3.84,683.83,11.64,5.86,53.66
Facor Alloys,532656,,INE828G01013,Ferrous Metals,Ferro & Silica Manganese,2.70,,52.80,0.00,-2.10,25.53,0.13,-23.53,-17.56,70.91
Family Care,516110,,INE146N01016,Healthcare Services,Healthcare Service Provider,3.20,,17.28,0.00,-2.42,87.88,0.06,200.00,-25.62,61.71
Felix Industries,,FELIX,INE901X01013,Other Utilities,Water Supply & Management,199.30,19.82,342.92,0.00,4.95,41.01,26.78,242.46,14.31,40.46
Flexituff Vent.,533638,FLEXITUFF,INE060J01017,Textiles & Apparels,Other Textile Products,6.89,,22.61,0.00,-29.32,-87.83,-0.27,-100.43,8.07,77.00
Forbes & Co,502865,,INE518A01013,Consumer Durables,Household Appliances,328.35,31.59,423.57,0.00,-1.97,-125.79,17.19,-80.62,8.76,98.25
Forbes Precision,544186,,INE0TT901016,Industrial Manufacturing,Industrial Products,164.00,29.41,846.15,3.05,11.06,21.27,70.96,7.61,22.01,94.40
Fourth Gen.,532403,,INE739B01039,IT - Software,Software Products,8.75,,3.11,0.00,-0.18,-125.00,0.00,-100.00,-10.98,74.24
Future Market,533296,FMNL,INE360L01017,Commercial Services & Supplies,Diversified Commercial Services,10.73,8.22,65.07,0.00,1.96,108.79,25.43,5.08,9.28,84.32
Ganesha Ecosphe.,514167,GANECOS,INE845D01014,Textiles & Apparels,Other Textile Products,923.20,64.74,2473.81,0.49,23.21,-2.31,423.94,23.10,5.42,31.87
Garnet Intl.,512493,,INE590B01010,Finance,Investment Company,58.21,24.06,114.30,0.00,0.54,42.11,0.42,-76.27,11.24,49.73
Gautam Gems,540936,,INE063Z01017,Consumer Durables,"Gems, Jewellery And Watches",3.18,18.56,12.99,0.00,0.41,1266.67,20.22,-11.20,2.08,57.93
Gayatri Highways,541546,GAYAHWS,INE287Z01012,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",2.28,,54.64,0.00,6.90,-26.28,14.55,1133.05,67.14,90.89
Gayatri Sugars,532183,,INE622E01023,Agricultural Food & other Products,Sugar,8.75,64.38,65.02,0.00,46.50,19.69,243.81,24.86,12.40,39.60
GEE,504028,,INE064H01021,Electrical Equipment,Other Electrical Equipment,79.05,26.87,410.88,0.00,3.54,135.88,112.16,27.50,11.12,43.36
Gensol Engineer.,542851,GENSOL,INE06H201014,Electrical Equipment,Other Electrical Equipment,18.87,0.71,72.55,0.00,17.86,32.52,344.51,56.42,14.33,95.10
Gian Lifecare,542918,,INE063601012,Healthcare Services,Healthcare Service Provider,5.74,,5.94,0.00,0.10,-71.43,1.12,-29.56,2.40,65.08
Globesecure Tech,,GSTL,INE00WS01056,IT - Services,IT Enabled Services,21.65,,34.51,0.00,-0.89,-470.83,7.88,-25.10,-4.85,72.82
GMR Urban,543490,GMRP&UI,INE0CU601026,Power,Power Generation,109.52,,8553.70,0.00,-113.56,-7.90,2004.09,15.35,11.96,75.26
Gokaldas Exports,532630,GOKEX,INE887G01027,Textiles & Apparels,Garments & Apparels,691.80,50.62,5069.07,0.00,35.96,-31.97,1068.85,5.27,8.39,96.28
GP Eco Solutions,,GPECO,INE0S7E01015,Electrical Equipment,Other Electrical Equipment,453.40,13.37,536.41,0.00,32.94,424.16,292.91,79.56,38.27,29.08
GPT Infraproject,533761,GPTINFRA,INE390G01014,Construction,Civil Construction,115.51,15.00,1459.64,2.60,29.78,31.52,414.68,8.91,21.31,50.77
Him Teknoforg.,505712,,INE705G01021,Auto Components,Auto Components & Equipments,216.35,17.72,223.51,0.23,3.79,-8.23,119.54,12.13,9.08,43.66
Hind.Construct.,500185,HCC,INE549A01026,Construction,Civil Construction,22.81,43.47,5975.01,0.00,58.94,-34.57,992.20,-27.77,22.84,79.74
HLV,500193,HLVLTD,INE102A01024,Leisure Services,Hotels & Resorts,8.04,103.73,530.04,0.00,8.60,-29.74,63.45,7.07,1.62,36.49
Impex Ferro Tech,532614,IMPEXFERRO,INE691G01015,Ferrous Metals,Ferro & Silica Manganese,1.89,,16.62,0.00,-1.81,1.09,0.00,,,100.00
India Finsec,535667,,INE474O01010,Finance,Non Banking Financial Company (NBFC),193.00,36.63,563.40,0.00,5.72,25.69,24.41,35.24,28.63,71.10
India Power Corp,,DPSCLTD,INE360C01024,Power,Integrated Power Utilities,8.47,121.12,824.80,0.59,1.85,-30.19,155.32,-2.35,3.17,67.42
Indian Acrylics,514165,,INE862B01013,Chemicals & Petrochemicals,Petrochemicals,6.04,,81.73,0.00,-11.42,-100.70,74.00,-10.76,-3.31,26.36
Indo Borax & Ch.,524342,INDOBORAX,INE803D01021,Chemicals & Petrochemicals,Commodity Chemicals,344.20,25.76,1104.54,0.29,14.53,35.84,63.01,25.72,15.60,100.00
Indo Tech.Trans.,532717,INDOTECH,INE332H01014,Electrical Equipment,Heavy Electrical Equipment,2516.80,28.81,2672.84,0.00,23.92,14.01,238.99,15.98,37.71,77.24
Indowind Energy,532894,INDOWIND,INE227G01018,Power,Power Generation,9.73,,156.66,0.00,-7.51,-30.69,5.27,-20.51,2.22,25.26
Inducto Steel,532001,,INE146H01018,Industrial Products,Iron & Steel Products,50.70,37.72,20.37,0.00,1.39,2216.67,64.84,61.33,5.94,43.28
IndusInd Bank,532187,INDUSINDBK,INE095A01012,Banks,Private Sector Bank,914.35,80.10,71240.00,0.16,594.17,125.51,11005.42,3.49,5.68,42.78
Jai Balaji Inds.,532976,JAIBALAJI,INE091G01026,Ferrous Metals,Iron & Steel,72.37,49.94,6602.24,0.00,21.37,-69.48,1745.17,9.79,9.73,31.09
Jain Irrigation,500219,JISLJALEQS,INE175A01038,Industrial Products,Plastic Products - Industrial,29.85,,2178.74,0.00,-19.04,-164.41,1823.97,4.30,5.31,40.77
Jayaswal Neco,522285,JAYNECOIND,INE854B01010,Industrial Products,Iron & Steel Products,102.34,21.11,9937.20,0.00,190.87,87.79,1974.24,17.85,20.67,99.87
Jet Freight,543420,JETFREIGHT,INE982V01025,Transport Services,Logistics Solution Provider,22.91,15.63,106.31,0.00,3.08,1711.76,128.01,12.87,28.51,26.16
JP Power Ven.,532627,JPPOWER,INE351F01018,Power,Power Generation,21.87,33.26,14988.51,0.00,-13.37,-108.59,1386.43,3.39,6.97,72.99
Jyoti,504076,,INE511D01012,Electrical Equipment,Heavy Electrical Equipment,62.71,8.05,144.81,0.00,3.04,-63.00,83.31,-22.93,12.45,97.41
Kanoria Chem.,506525,KANORICHEM,INE138C01024,Industrial Manufacturing,Industrial Products,98.60,10.78,430.88,0.00,31.62,388.83,304.39,-29.44,5.95,29.57
Keerthi Indus,518011,,INE145L01012,Cement & Cement Products,Cement & Cement Products,45.81,,36.74,0.00,-1.76,-133.82,24.64,39.05,-25.32,44.65
Khaitan (India),590068,KHAITANLTD,INE731C01018,Consumer Durables,Consumer Electronics,136.00,10.66,64.60,0.00,2.94,-14.53,36.16,41.42,20.10,32.85
Kirl. Electric,533193,KECL,INE134B01017,Electrical Equipment,Other Electrical Equipment,117.71,48.29,781.76,0.00,-0.63,83.64,163.57,26.67,18.25,75.33
KPI Green Energy,542323,KPIGREEN,INE542W01025,Power,Power Generation,420.95,17.50,8307.07,0.16,155.48,46.50,795.81,39.76,13.85,44.74
Lactose (India),524202,,INE058I01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,114.45,23.78,144.08,0.00,1.88,193.75,45.77,64.82,11.29,26.07
Lagnam Spintex,,LAGNAM,INE548Z01017,Textiles & Apparels,Other Textile Products,77.51,9.52,136.95,0.00,8.35,-2.22,179.65,10.31,10.07,48.16
Lambodhara Text.,590075,LAMBODHARA,INE112F01022,Textiles & Apparels,Other Textile Products,100.82,9.51,104.63,0.50,3.13,1322.73,57.23,5.26,12.31,39.28
LCC Infotech,532019,LCCINFOTEC,INE938A01021,Other Consumer Services,Education,4.39,,55.57,0.00,-0.28,-1500.00,0.00,-100.00,-1.88,58.23
Lotus Eye Hospit,532998,LOTUSEYE,INE947I01017,Healthcare Services,Hospital,108.57,2822.38,225.79,0.00,-0.32,-224.00,13.61,18.25,1.16,87.15
Magellanic Cloud,538891,MCLOUD,INE613C01026,IT - Software,Computers - Software & Consulting,26.75,13.64,1575.75,0.11,30.27,32.06,205.55,31.47,19.79,33.88
Mangalam Alloys,,MAL,INE00C401011,Industrial Products,Iron & Steel Products,38.75,6.52,95.66,0.00,2.91,-76.55,219.13,-6.31,13.06,54.25
Maral Overseas,521018,MARALOVER,INE882A01013,Textiles & Apparels,Other Textile Products,56.28,60.52,233.62,0.00,13.31,5886.96,258.22,-6.00,7.50,48.03
Max Financial,500271,MFSL,INE180A01020,Insurance,Life Insurance,1674.00,695.39,57772.21,0.00,-31.52,-184.35,10801.94,-12.72,2.95,42.07
Medplus Health,543427,MEDPLUS,INE804L01022,Retailing,Pharmacy Retail,895.20,48.93,10747.29,0.00,63.97,24.62,1864.39,23.50,12.65,60.74
MEP Infrast.,539126,MEP,INE776I01010,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",0.92,,16.88,0.00,-604.90,-767.36,20.49,1.84,-401.21,77.90
Mindspace Busine,543217,MINDSPACE,INE0CCU25019,Realty,Real Estate Investment Trusts (REITs),462.49,45.24,30616.54,9.18,208.74,127.77,889.95,30.67,7.64,47.58
MIRC Electronics,500279,MIRCELECTR,INE831A01028,Consumer Durables,Consumer Electronics,42.19,,1558.47,0.00,-47.36,-1382.86,143.81,-28.35,-16.44,28.42
MSP Steel & Pow.,532650,MSPL,INE752G01015,Industrial Products,Iron & Steel Products,42.72,149.65,2421.36,0.00,5.49,-26.40,638.92,-10.87,6.43,71.27
MT Educare,534312,MTEDUCARE,INE472M01018,Other Consumer Services,Education,1.59,,11.48,0.00,2.60,112.77,9.88,-23.41,2.10,50.74
Nagarjuna Fert.,539917,NAGAFERT,INE454M01024,Fertilizers & Agrochemicals,Fertilizers,3.70,,221.28,0.00,-5.75,-118.63,8.46,105.01,,37.58
Nazara Technolo.,543280,NAZARA,INE418L01047,Entertainment,Digital Entertainment,277.75,10.65,10289.67,0.00,55.70,196.09,397.78,-23.53,27.23,55.94
Nexus Select,543913,NXST,INE0NDH25011,Realty,Real Estate Investment Trusts (REITs),155.20,58.28,23512.80,5.86,12.18,-89.34,652.37,12.41,6.18,77.38
Nihar Info Glob.,531083,,INE876E01033,IT - Software,Software Products,6.46,9.74,6.72,0.00,0.03,100.88,3.73,-10.55,10.05,26.90
Nisus Finance,544296,,INE0DQN01013,Finance,Holding Company,214.55,7.02,512.30,0.00,46.15,210.17,420.62,1222.29,32.00,32.03
Nitco,532722,NITCO,INE858F01012,Consumer Durables,Ceramics,98.35,71.90,2365.48,0.00,-7.79,-171.23,152.33,62.85,7.07,67.13
Northern Spirits,542628,,INE01BL01012,Commercial Services & Supplies,Trading & Distributors,127.45,7.54,204.57,0.24,4.98,138.28,615.92,32.04,15.71,44.80
