Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Pledged percentage
Sarup Industries,514412,,INE305D01019,Consumer Durables,Footwear,120.45,53.63,39.15,0.00,0.05,-61.54,3.54,-24.36,5.25,28.94
SBC Exports,542725,SBC,INE04AK01028,Textiles & Apparels,Garments & Apparels,39.32,74.09,1872.38,0.00,8.22,104.99,141.60,47.04,18.17,32.93
SDC Techmedia,535647,,INE807O01011,Entertainment,"Film Production, Distribution & Exhibition",18.05,,11.71,0.00,-0.60,-300.00,5.07,-1.74,11.80,100.00
Sea TV Network,533268,,INE351L01016,Entertainment,TV Broadcasting & Software Production,3.79,8.77,4.56,0.00,0.14,-54.84,2.79,-20.29,,51.19
SEL Mfg. Co,532886,SELMC,INE105I01020,Textiles & Apparels,Other Textile Products,29.79,,98.71,0.00,-41.86,-1.28,2.32,-18.31,-13.90,36.00
SEPC,532945,SEPC,INE964H01014,Construction,Civil Construction,7.78,26.99,1470.50,0.00,13.73,40.72,273.83,132.45,5.03,71.45
Setco Automotive,505075,SETCO,INE878E01021,Auto Components,Auto Components & Equipments,28.06,,375.35,46.33,-57.19,-76.62,196.55,9.26,21.06,94.59
Sh. Krishna Pap.,500388,,INE970C01012,"Paper, Forest & Jute Products",Paper & Paper Products,135.45,49.77,183.15,0.00,17.28,12.79,60.65,14.69,10.13,84.38
Shalimar Paints,509874,SHALPAINTS,INE849C01026,Consumer Durables,Paints,51.07,,427.51,0.00,-7.39,22.37,155.93,-12.32,-7.92,70.51
Shalimar Wires,532455,,INE655D01025,Textiles & Apparels,Other Textile Products,19.08,10.59,81.58,0.00,2.32,707.69,38.33,5.45,16.74,45.03
Share India Sec.,540725,SHAREINDIA,INE932X01026,Capital Markets,Stockbroking & Allied,138.09,9.34,3021.76,0.98,58.04,208.26,415.91,73.70,18.41,42.87
Shree Bhavya,521131,,INE363D01018,Textiles & Apparels,Other Textile Products,23.25,9.69,22.09,0.00,0.66,-26.67,43.82,-9.22,9.15,40.25
Shrem InvIT,,SHREMINVIT,INE0GTI23014,Construction,Civil Construction,101.00,7.24,6169.53,13.54,281.89,-3.00,523.74,-38.26,9.68,48.40
Shrenik,,SHRENIK,INE632X01030,"Paper, Forest & Jute Products",Paper & Paper Products,0.38,122.42,23.26,0.00,-1.03,-1387.50,11.65,145.26,,99.94
Sical Logistics,520086,SICALLOG,INE075B01020,Transport Services,Logistics Solution Provider,65.56,402.68,523.07,0.00,-8.78,-134.67,105.17,29.65,9.85,56.01
Sigachi Indust.,543389,SIGACHI,INE0D0K01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,21.30,20.27,813.91,0.47,-0.01,-96.49,117.21,-15.93,15.54,27.71
Silgo Retail,,SILGO,INE01II01013,Consumer Durables,"Gems, Jewellery And Watches",82.48,45.69,263.18,0.00,1.91,9.77,13.38,-19.06,8.17,38.65
Simplex Infra,523838,SIMPLEXINF,INE059B01024,Construction,Civil Construction,250.66,50.30,1982.60,0.00,18.80,-43.16,282.90,0.34,2.40,33.09
Solara Active,541540,SOLARA,INE624Z01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,532.70,,2541.61,0.00,9.60,516.19,387.29,41.86,4.86,36.57
SpiceJet,500285,SPICEJET,INE285B01017,Transport Services,Airline,12.75,,1945.78,0.00,-269.27,-1104.04,1384.31,12.45,9.10,39.77
Standard Battery,504180,,INE502C01039,Finance,Non Banking Financial Company (NBFC),51.54,,26.65,0.00,-0.13,7.14,0.00,,-41.32,84.27
Star Paper Mills,516022,STARPAPER,INE733A01018,"Paper, Forest & Jute Products",Paper & Paper Products,137.43,6.55,214.53,2.55,-1.29,-125.75,112.59,-1.31,5.03,47.21
Steel Exchange,534748,STEELXIND,INE503B01021,Industrial Products,Iron & Steel Products,12.80,60.49,1632.66,0.00,12.37,159.87,287.33,-1.40,10.31,99.95
Sterling & Wils.,542760,SWSOLAR,INE00M201021,Construction,Civil Construction,187.58,16.82,4380.59,0.00,141.59,142.99,1945.61,-22.77,26.21,27.62
Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,1111.80,17.71,10247.76,0.36,129.28,28.10,1323.47,11.18,18.65,27.27
Sudal Industries,506003,,INE618D01015,Non - Ferrous Metals,Aluminium,49.75,23.00,41.63,0.00,-2.57,-6325.00,45.39,12.13,25.50,82.28
Super Tannery,523842,,INE460D01038,Consumer Durables,Leather And Leather Products,7.36,11.26,79.47,0.68,1.16,-33.33,59.87,-18.44,8.54,51.12
Supertex Inds.,526133,,INE881B01054,Textiles & Apparels,Other Textile Products,5.41,,6.14,0.00,-0.12,-175.00,10.72,-48.83,5.73,32.66
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals,Petrochemicals,329.30,37.65,10322.14,0.03,251.32,1693.84,869.65,1.62,3.87,36.89
SwarnsaritaJewel,526365,,INE967A01012,Consumer Durables,"Gems, Jewellery And Watches",33.87,6.68,70.72,0.00,1.67,-27.07,217.84,-0.37,7.40,57.66
Swastik Pipe,,SWASTIK,INE0DGC01025,Industrial Products,Iron & Steel Products,22.20,,51.57,0.00,-47.88,-396.84,146.07,-61.60,-20.60,38.09
TajGVK Hotels,532390,TAJGVK,INE586B01026,Leisure Services,Hotels & Resorts,346.30,14.09,2171.35,0.58,319.75,36.09,158.52,27.06,13.25,30.27
Tarapur Trans,533203,TARAPUR,INE747K01017,Electrical Equipment,Heavy Electrical Equipment,20.79,,40.54,0.00,-1.26,94.74,0.00,,5.72,93.31
Tembo Global,,TEMBO,INE869Y01010,Industrial Products,Iron & Steel Products,603.15,12.25,1118.55,0.33,30.07,83.56,345.96,26.27,22.84,35.69
TGB Banquets,532845,TGBHOTELS,INE797H01018,Leisure Services,Hotels & Resorts,9.17,18.78,26.86,0.00,0.38,-58.24,10.43,-10.01,3.14,30.41
Thyrocare Tech.,539871,THYROCARE,INE594H01019,Healthcare Services,Healthcare Service Provider,506.30,48.10,8058.54,1.38,48.70,117.14,223.95,19.66,36.72,100.00
Transwar.Fin.,532812,TFL,INE804H01012,Finance,Non Banking Financial Company (NBFC),12.37,,68.18,0.00,-1.40,-58.70,4.05,16.05,-0.38,47.16
Tree House Edu.,533540,TREEHOUSE,INE040M01013,Other Consumer Services,Education,6.69,,28.31,0.00,-9.05,-1075.32,0.62,-67.02,-6.97,83.17
Tricom Fruit,531716,,INE843F01014,Food Products,Other Food Products,1.79,,3.42,0.00,-0.07,,0.00,,,62.69
TruAlt Bioenergy,544545,TRUALT,INE0MWH01014,Agricultural Food & other Products,Other Agricultural Products,487.55,43.57,4180.87,0.00,60.94,-46.39,595.52,-34.34,10.44,36.85
