Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 3Years
Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components,Auto Components & Equipments,4089.35,51.15,63918.03,0.85,319.71,20.46,2506.96,18.81,27.90,17.45,23.16,20.94,202603.00,80.01,20.45,11.33,26.77
SEAMEC Ltd,526807,SEAMECLTD,INE497B01018,Transport Services,Shipping,1650.10,16.66,4195.39,0.00,103.70,141.04,327.07,63.85,20.04,46.12,230.17,86.59,202603.00,98.88,40.70,106.32,13.70
Sharda Cropchem,538666,SHARDACROP,INE221J01015,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,923.75,12.23,8334.09,0.96,318.72,56.53,2064.90,12.93,30.37,21.94,127.73,75.00,202603.00,75.47,35.32,27.39,17.05
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,525.35,10.88,1205.35,0.00,54.10,124.67,445.75,95.87,37.14,94.19,101.89,106.32,202603.00,48.39,23.58,63.20,32.80
Star Cement,540575,STARCEMENT,INE460H01021,Cement & Cement Products,Cement & Cement Products,214.95,21.59,8687.86,0.93,147.03,23.59,1173.55,11.54,16.68,19.38,137.55,61.71,202603.00,9.73,3.66,17.51,13.85
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,998.25,38.35,8034.21,0.10,74.23,47.34,276.53,50.20,25.13,18.87,11.44,12.70,202603.00,25.98,9.22,32.55,24.91
Time Technoplast,532856,TIMETECHNO,INE508G01029,Industrial Products,Plastic Products - Industrial,174.45,18.35,8611.47,0.72,134.31,20.38,1676.67,14.16,16.71,11.88,21.05,13.65,202603.00,9.50,2.67,25.34,16.56
Timex Group,500414,TIMEX,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",459.00,58.44,4633.65,0.00,27.34,212.12,235.20,73.69,92.77,48.41,151.89,137.16,202603.00,7.47,2.71,19.43,56.24
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,677.35,39.92,8658.63,1.94,59.06,92.94,103.93,32.41,122.19,20.86,34.45,33.43,202603.00,16.96,4.62,41.79,111.61
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1245.00,37.19,16394.11,0.00,122.60,17.45,460.68,25.67,42.37,-2.37,21.67,17.04,202603.00,33.49,9.17,-62.11,39.49
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1106.55,52.51,63899.62,0.24,351.76,22.39,5336.41,17.85,19.70,17.19,30.25,20.14,202603.00,20.73,5.64,23.03,19.49
V-Guard Industri,532953,VGUARD,INE951I01027,Consumer Durables,Household Appliances,303.55,48.23,13259.18,0.49,95.35,22.15,1687.16,13.99,17.03,7.21,7.44,-1.14,202603.00,5.94,2.18,14.86,16.76
Vijaya Diagnost.,543350,VIJAYA,INE043W01024,Healthcare Services,Healthcare Service Provider,1241.00,73.85,12769.50,0.15,47.93,34.56,219.38,26.63,21.29,19.49,25.35,23.32,202603.00,16.81,4.66,26.92,20.57
Vikram Solar,544488,VIKRAMSOLR,INE078V01014,Electrical Equipment,Other Electrical Equipment,198.90,15.19,7206.77,0.00,110.42,21.86,1452.82,21.73,30.53,40.28,239.34,86.30,202603.00,12.98,3.05,180.73,26.58
Vinati Organics,524200,VINATIORGA,INE410B01037,Chemicals & Petrochemicals,Specialty Chemicals,1320.00,28.04,13683.85,0.58,137.51,7.79,610.55,-5.84,21.33,-0.88,17.47,17.36,202603.00,47.05,13.26,4.88,20.16
Viyash Scientific,512529,VIYASH,INE807F01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,265.45,58.08,11596.84,0.00,66.38,455.37,919.96,129.02,19.05,120.47,815.72,303.29,202603.00,4.06,1.19,56.42,9.32
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,1384.85,22.64,36531.08,0.36,371.46,19.76,4312.56,9.87,22.91,19.98,33.05,32.73,202603.00,61.15,14.04,116.92,21.45
