Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
Globe Intl. Car.,,GICL,INE947T01022,Transport Services,Logistics Solution Provider,23.80,26.77,266.47,0.00,1.62,10.12,37.18,5.03,15.88,9.55,72.62,85.73,202606.00,0.89,0.17,65.65,15.45
Go Digit General,544179,GODIGIT,INE03JT01014,Insurance,General Insurance,251.00,47.13,23207.55,0.00,86.39,-37.55,2427.02,8.54,13.10,7.32,6.60,-27.77,202606.00,5.33,0.93,143.47,19.35
Godfrey Phillips,500163,GODFRYPHLP,INE260B01028,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,1913.45,21.82,29846.33,2.57,198.39,-44.32,1205.51,-18.89,30.25,1.69,11.70,14.73,202606.00,87.71,12.72,31.55,21.51
Gokul Agro,539725,GOKULAGRO,INE314T01033,Agricultural Food & other Products,Edible Oil,219.60,15.43,6480.07,0.00,122.64,71.26,5281.95,7.26,36.69,21.05,59.07,36.73,202606.00,14.25,4.16,40.78,30.88
Goldiam Intl.,526729,GOLDIAM,INE025B01025,Consumer Durables,"Gems, Jewellery And Watches",326.50,23.28,4915.63,0.61,73.98,119.59,326.03,41.92,25.79,27.01,64.00,32.03,202606.00,14.01,4.91,28.18,22.36
GPT Infraproject,533761,GPTINFRA,INE390G01014,Construction,Civil Construction,110.25,14.15,1393.20,2.50,24.34,4.90,302.07,-3.38,21.40,1.62,13.47,31.51,202606.00,7.79,1.95,42.14,16.82
Gravita India,533282,GRAVITA,INE024L01027,Minerals & Mining,Industrial Minerals,1630.50,30.70,12034.50,0.38,106.37,14.08,1475.06,41.84,17.02,17.48,15.85,31.74,202606.00,53.10,14.41,20.01,15.05
Gulshan Polyols,532457,GULPOLY,INE255D01024,Agricultural Food & other Products,Other Agricultural Products,169.15,7.19,1055.04,0.88,53.51,306.30,639.87,7.86,18.60,9.30,422.43,156.15,202606.00,23.65,8.58,36.50,25.15
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,717.75,24.80,19895.58,0.42,109.14,-25.07,638.03,6.03,59.30,62.97,133.59,125.54,202606.00,28.16,3.94,104.74,34.13
HDFC AMC,541729,HDFCAMC,INE127D01025,Capital Markets,Asset Management Company,2394.00,34.76,102657.24,2.20,838.36,12.09,1098.50,13.51,42.88,15.14,13.24,13.55,202606.00,68.86,19.56,26.00,23.00
