Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
Sonal Adhesives,526901,,INE344I01017,Chemicals & Petrochemicals,Commodity Chemicals,43.05,19.61,26.09,0.00,0.23,-48.89,27.52,-2.72,12.87,10.51,-15.82,-9.81,202606.00,1.91,0.38,-14.08,2.10,1.88
Soni Medicare,539378,,INE848R01018,Healthcare Services,Hospital,69.35,,29.58,0.00,-1.20,-313.79,4.78,-36.18,-12.07,-25.07,-1005.00,-185.94,202606.00,-8.49,-2.81,,8.16,-1.60
South Ind.Bank,532218,SOUTHBANK,INE683A01023,Banks,Private Sector Bank,45.13,7.82,11820.86,0.96,377.63,17.29,2627.81,11.23,6.42,6.88,13.54,16.50,202606.00,5.77,1.44,23.30,10.97,1.31
Space Incubatric,541890,,INE797Z01028,IT - Software,Computers - Software & Consulting,0.18,,6.23,0.00,-9.70,-19500.00,10.63,,0.35,,-146.67,30.30,202603.00,-0.01,-0.28,,2.49,0.16
Spel Semiconduct,517166,SPELS,INE252A01019,Electrical Equipment,Other Electrical Equipment,138.55,,639.00,0.00,-1.34,44.86,0.08,-95.85,0.06,-42.30,56.56,74.53,202606.00,-4.25,-0.29,,6.84,-0.07
SRG Housing,534680,SRGHFL,INE559N01010,Finance,Housing Finance Company,140.40,6.45,220.53,0.00,8.47,24.93,53.95,26.58,11.77,30.60,35.05,31.85,202606.00,21.78,5.39,16.39,2.89,1.50
Sri Havisha,531322,HAVISHA,INE293B01029,Leisure Services,Hotels & Resorts,1.30,,19.95,0.00,-1.82,-2.25,2.88,3.23,-1.34,-7.36,-15.75,-90.29,202606.00,-0.33,-0.12,,2.37,-0.18
Sri Nacha. Cott.,521234,,INE443E01016,Textiles & Apparels,Other Textile Products,27.00,,11.60,0.00,-0.15,-25.00,12.91,-7.19,-5.16,-3.86,-295.34,-27.78,202606.00,-21.70,-0.35,,3.98,-0.56
Star Housing Fin,539017,,INE526R01028,Finance,Housing Finance Company,4.83,5.74,38.13,2.07,0.49,-75.98,25.82,7.45,12.10,23.79,-38.86,22.44,202512.00,0.47,0.03,146.13,2.67,1.16
Std. Capital Mkt,511700,,INE625D01028,Finance,Non Banking Financial Company (NBFC),0.35,30.37,85.89,0.00,-62.82,-523.03,10.83,-81.50,16.80,124.04,-93.18,82.60,202606.00,0.01,-0.26,178.56,5.00,1.10
Steelco Gujarat,500399,,INE629B01032,Industrial Products,Iron & Steel Products,238.15,,149.94,0.00,-14.98,-222.84,52.18,15712.12,-12.21,2527.86,-116.41,-119.45,202606.00,-34.74,-23.79,,83.38,-1.04
