Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
Sambhv Steel,544430,SAMBHV,INE12NJ01018,Industrial Products,Iron & Steel Products,103.65,21.31,3054.25,0.00,55.78,238.88,685.31,38.37,19.07,59.67,147.06,78.68,202603.00,4.86,1.89,-45.55,37.06
Samvardh. Mothe.,517334,MOTHERSON,INE775A01035,Auto Components,Auto Components & Equipments,145.00,37.03,153039.43,0.39,1561.56,55.33,34309.31,17.03,13.08,10.95,11.36,12.80,202603.00,3.66,1.42,37.18,16.97
Sandhar Tech,541163,SANDHAR,INE278H01035,Auto Components,Auto Components & Equipments,688.05,20.66,4141.39,0.49,63.82,56.31,1306.99,28.88,14.41,24.91,46.10,14.19,202603.00,33.01,10.60,41.24,18.59
Sandur Manganese,504918,SANDUMA,INE149K01016,Consumable Fuels,Coal,232.35,16.54,11294.68,0.18,236.28,50.94,1511.39,14.39,24.40,62.31,53.30,54.70,202603.00,13.51,4.85,37.12,33.77
Sanghvi Movers,530073,SANGHVIMOV,INE989A01032,Commercial Services & Supplies,Diversified Commercial Services,359.70,16.39,3114.10,0.55,68.79,27.10,351.41,31.41,16.68,36.87,44.25,21.03,202603.00,21.29,7.95,24.74,32.92
Sarveshwar Foods,543688,SARVESHWAR,INE324X01026,Agricultural Food & other Products,Other Agricultural Products,3.83,14.28,472.12,0.00,9.22,30.27,326.78,15.82,13.14,26.98,47.28,0.67,202512.00,0.27,0.07,81.96,23.31
Schneider Elect.,534139,SCHNEIDER,INE839M01018,Electrical Equipment,Heavy Electrical Equipment,1244.25,133.48,29750.02,0.00,21.97,-71.64,589.69,0.48,29.63,9.63,-12.52,-3.26,202603.00,8.89,0.92,27.13,17.60
Scoda Tubes,544411,SCODATUBES,INE090501011,Industrial Products,Iron & Steel Products,120.35,18.55,721.01,0.00,6.32,-7.47,123.57,-0.12,16.54,6.96,22.37,-2.31,202603.00,6.48,1.05,,19.34
SEAMEC Ltd,526807,SEAMECLTD,INE497B01018,Transport Services,Shipping,1650.10,16.66,4195.39,0.00,103.70,141.04,327.07,63.85,20.04,46.12,230.17,86.59,202603.00,98.88,40.70,106.32,29.63
Senores Pharma.,544319,SENORES,INE0RB801010,Pharmaceuticals & Biotechnology,Pharmaceuticals,1118.35,44.65,5150.35,0.00,36.67,77.29,175.19,53.39,15.13,58.85,96.99,87.65,202603.00,25.05,6.86,42.87,161.59
Shaily Engineer.,501423,SHAILY,INE151G01028,Industrial Products,Plastic Products - Industrial,3024.95,86.26,13913.31,0.07,48.68,64.85,224.07,10.23,30.17,24.80,127.63,76.58,202603.00,35.10,10.59,75.13,15.38
Shakti Pumps,531431,SHAKTIPUMP,INE908D01010,Industrial Products,"Compressors, Pumps & Diesel Engines",517.20,24.80,6382.16,0.19,38.33,-65.23,857.77,28.93,23.73,7.21,-36.97,-30.11,202603.00,20.87,3.11,112.10,40.74
Shankara Buildpro,544517,BUILDPRO,INE24OJ01011,Retailing,Speciality Retail,1127.00,21.09,2732.90,0.43,41.50,41.69,1996.30,27.95,39.02,29.58,65.85,51.20,202603.00,52.68,17.06,,19.20
Sharat Industrie,519397,SHINDL,INE220Z01013,Food Products,Seafood,154.22,38.02,604.77,0.16,0.05,-90.57,117.24,24.84,12.92,37.89,59.64,26.19,202603.00,4.05,0.01,34.72,16.50
Shree Refrigerat,544458,,INE0FMZ01045,Aerospace & Defense,Aerospace & Defense,256.05,42.58,916.57,0.00,19.96,343.56,103.16,116.00,13.90,55.53,58.31,21.34,202603.00,6.04,5.60,,44.83
Shriram Pistons,544344,SHRIPISTON,INE526E01018,Auto Components,Auto Components & Equipments,3351.20,25.76,14761.97,0.29,159.10,7.65,1455.80,47.29,21.02,25.60,14.22,20.92,202603.00,125.43,35.48,25.53,19.55
Sigma Solve,543917,SIGMA,INE0A0S01028,IT - Services,IT Enabled Services,41.75,17.97,429.07,0.12,5.37,-21.26,24.64,4.67,48.33,25.53,25.95,9.50,202603.00,2.32,0.52,26.93,19.64
Silver Touch,543525,SILVERTUC,INE625X01026,IT - Software,Computers - Software & Consulting,176.80,62.76,2242.00,0.03,13.22,43.54,100.53,17.35,28.93,19.84,64.65,69.34,202603.00,2.82,1.04,53.99,28.26
Simplex Castings,513472,,INE658D01011,Industrial Products,Other Industrial Products,508.95,19.03,417.29,0.00,6.18,83.33,54.76,-18.39,24.28,18.05,44.75,20.30,202603.00,25.93,7.54,58.15,20.28
Skipper,538562,SKIPPER,INE439E01022,Electrical Equipment,Heavy Electrical Equipment,554.00,29.08,6256.75,0.02,75.61,70.33,1666.58,29.42,23.32,20.07,46.41,25.98,202603.00,18.36,6.69,87.75,41.01
