Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Price to book value
Route Mobile,543228,ROUTE,INE450U01017,Telecom - Services,Other Telecom Services,487.25,8.65,3069.80,2.22,68.55,17.67,1151.51,9.58,17.41,-0.31,15.71,8.99,202606.00,39.43,9.94,-0.29,1.13
S P I C,590030,SPIC,INE147A01011,Fertilizers & Agrochemicals,Fertilizers,68.11,6.77,1386.95,2.94,60.18,-9.79,848.81,8.73,16.77,-2.84,28.22,-4.10,202606.00,10.06,2.96,-13.94,1.04
Sai Silks,543989,KALAMANDIR,INE438K01021,Retailing,Speciality Retail,79.90,8.98,1225.40,1.86,25.64,-14.68,375.08,-1.04,14.41,4.83,20.43,2.20,202606.00,8.90,1.67,5.98,1.00
Saksoft,590051,SAKSOFT,INE667G01023,IT - Software,Computers - Software & Consulting,144.05,14.27,1909.44,0.67,29.29,-9.46,248.62,-0.18,25.48,8.13,15.89,18.83,202606.00,9.82,2.21,18.46,2.40
Sharda Cropchem,538666,SHARDACROP,INE221J01015,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,753.15,10.85,6794.92,1.96,88.02,-38.34,1073.77,9.03,30.25,18.52,49.11,44.85,202606.00,69.40,9.76,25.64,2.20
Siyaram Silk,503811,SIYSIL,INE076B01028,Textiles & Apparels,Other Textile Products,525.30,10.07,2383.30,2.27,11.01,137.28,445.66,14.42,18.82,14.08,24.71,14.96,202606.00,52.29,2.43,-5.16,1.64
Surya Roshni,500336,SURYAROSNI,INE335A01020,Industrial Products,Iron & Steel Products,211.30,14.77,4598.66,2.39,59.60,77.22,2046.48,27.54,15.60,11.69,8.34,6.39,202606.00,14.33,2.74,-6.10,1.75
The Bombay Burmah,501425,BBTC,INE050A01025,Food Products,Packaged Foods,1430.00,8.05,9977.33,1.19,582.67,17.47,5088.69,8.00,32.98,6.63,9.81,12.68,202606.00,184.91,41.30,31.31,1.45
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,407.40,13.09,5469.57,0.73,107.88,1.95,1736.03,4.59,33.56,14.95,9.71,8.93,202606.00,30.17,8.04,-13.48,2.42
Vaibhav Global,532156,VAIBHAVGBL,INE884A01027,Consumer Durables,"Gems, Jewellery And Watches",210.00,12.42,3523.16,2.87,56.38,49.83,917.07,12.70,16.43,10.41,74.33,33.96,202606.00,17.05,3.37,36.09,2.12
Veedol Corporat,590005,VEEDOL,INE484C01030,Petroleum Products,Lubricants,1396.90,11.06,2433.96,4.11,77.92,56.88,608.57,18.49,24.09,12.89,17.22,25.87,202606.00,126.19,44.72,18.32,2.37
Zensar Tech.,504067,ZENSARTECH,INE520A01027,IT - Software,Computers - Software & Consulting,444.85,12.65,10123.88,3.39,183.80,0.99,1508.30,8.90,22.75,8.06,18.00,11.47,202606.00,34.14,8.08,33.74,2.21
